"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"219","Eriogonum lonchophyllum",164,22203527.0845335,24467510.2116044,244675102.116044,24174445.1310846
"220","Eriogonum scabrellum",15,3795426.49890736,4861093.29184012,48610932.9184012,4861093.29184012
"221","Eriogonum shockleyi",262,52078844.7752257,52628422.8033483,526284230.280743,52587895.0225521
"222","Eriogonum tumulosum",4,NA,NA,2530692.99546005,NA
"223","Eriogonum wetherillii",47,7150333.96820448,10447634.024343,104476508.484036,10318881.0322197
"224","Eriophorum angustifolium",2645,2429853363.47621,2476059780.17077,24678673551.6887,2467864664.56329
"225","Eriophorum chamissonis",544,12326911.7435109,49473968.0535147,451514437.536011,45158899.285241
"226","Eriophorum gracile",503,1483922885.18371,1504397404.07624,15035641267.6597,1503557019.54703
"227","Eriophorum scheuchzeri",836,1919660884.06691,2012863433.00512,20116830703.5258,2011614385.90568
"228","Euthamia graminifolia",1384,1068080916.22031,1139743542.28131,11397435422.8131,1139743542.28131
"229","Eutrochium maculatum",819,797955506.576264,843814662.900565,8438146629.00565,843814662.900565
"230","Evax prolifera",33,75374255.1492846,92772610.9838703,915074832.12537,91507483.212537
"231","Fendlera rupicola",293,69239368.1349163,82353276.9017538,823192538.333615,82319253.8333615
"232","Festuca baffinensis",515,1291096100.54438,1627487829.27744,16034698200.2009,1603097937.55258
"233","Festuca dasyclada",48,5809010.56225075,7764693.49981154,77727196.5623,7704509.86903629
"234","Festuca hallii",85,210320501.58837,215801621.357729,2158016213.57729,214824024.044833
"235","Festuca idahoensis",4002,268121338.841713,277966370.366702,2779663703.66702,277583194.077953
"236","Flaveria campestris",54,98151381.5432067,135510159.044799,1366922158.4245,126626136.312229
"237","Fragaria vesca",1,NA,NA,0,NA
"238","Fritillaria atropurpurea",208,148330688.843046,152083662.446021,1520836624.46021,152021952.243444
"239","Fritillaria pudica",490,119754795.670629,126541411.612954,1265414116.12954,126242262.534677
"240","Funastrum crispum",28,155699777.176448,164148099.037893,1643401075.03435,159474058.771888
"241","Gaillardia aristata",1629,528168651.253908,581134983.600495,5811349836.00495,575230419.820687
"242","Gaillardia pinnatifida",603,169222522.18665,172874277.00694,1728742770.0694,172667494.066526
"243","Gaillardia spathulata",20,1367959.90835715,6055200.59553687,64562249.6020716,5784456.5925389
"244","Gayophytum decipiens",125,122176138.791506,127969918.938984,1279699461.19487,126852783.378518
"245","Gayophytum racemosum",200,184696930.413902,207317295.748058,2073181277.34214,205602051.655785
"246","Gentianopsis barbellata",49,34334723.9552297,38701189.3471273,387011893.471273,38603818.1197843
"247","Geranium caespitosum",1135,215938392.183669,232908849.603093,2329092946.28205,232680420.53909
"248","Geum rivale",703,750057058.23238,811475296.726548,7677868350.15173,767786835.015173
"249","Gilia tweedyi",17,14919395.1985326,17487050.3068427,170594846.842034,17059484.6842034
"250","Glaux maritima",420,975674405.316137,1015733699.03971,10157336990.3971,1015733699.03971
"251","Glyceria striata",4070,1732725874.89429,1929862806.17262,19280952148.7305,1928095214.87305
"252","Grindelia subalpina",83,7770530.46814187,17438896.422644,175838701.462596,17300088.3135592
"253","Hackelia micrantha",666,169731254.517705,188205184.793955,1880190474.83026,187888571.481989
"254","Hedeoma drummondii",529,436841073.903402,446526184.28973,4467974054.48601,444266994.515238
"255","Helenium autumnale",1114,1114346288.09012,1150733273.27817,11507332732.7817,1149452275.25491
"256","Helianthella microcephala",43,17616346.020204,22662619.6764597,226626196.764597,22572066.8444471
"257","Helianthemum bicknellii",271,289175570.767199,312305780.932005,3123060268.01065,311541355.650172
"258","Helianthus petiolaris",928,861675767.49047,884848522.612486,8848485226.12486,880777615.563055
"259","Helictotrichon mortonianum",49,5981029.34268074,10445002.8867487,104450028.867487,10350281.8234283
"260","Heliotropium convolvulaceum",201,201650706.677035,259868026.887656,2598680300.49615,259211975.627361
"261","Hesperostipa neomexicana",220,123855258.90306,141737768.824027,1417377688.27983,138251911.88021
"262","Heteranthera dubia",431,1000879171.92423,1076714344.70743,10767143447.0743,1076333727.50246
"263","Heteranthera limosa",525,1916759745.92136,2386671470.35941,23866714703.5941,2386205356.57885
"264","Heuchera parvifolia",552,158076522.575191,177715338.812586,1782901912.81002,176066002.758124
"265","Hoffmannseggia drepanocarpa",101,63558114.7383659,71254034.6629679,712540346.629679,71160469.638808
"266","Hordeum pusillum",823,625953649.227388,693943960.576046,6939439605.76046,692007233.428985
"267","Huperzia haleakalae",288,47265033.3696617,74113535.7397941,524105326.122326,52410532.6122326
"268","Hybanthus verticillatus",288,288719625.908299,296088644.832999,2960886448.32999,296035193.787577
"269","Ipomopsis pumila",109,46770434.7997023,51611402.2282947,516114022.282947,51569471.8752903
"270","Ipomopsis tenuituba",71,85439022.2245374,94393624.3405781,943936243.405781,94391855.2282248
"271","Iris missouriensis",1208,256307037.580596,257657185.747966,2576571857.47966,257629001.310271
"272","Ivesia gordonii",264,114232654.364274,129883366.732801,1298531416.75029,128957244.62178
"273","Juncus brevicaudatus",1548,892606181.918585,1060098776.44128,10600987764.4128,1060025708.17987
"274","Juncus effusus",3036,8384009791.70757,8648015807.27002,86480158072.7002,8647332971.81963
"275","Juncus ensifolius",1142,24111812.0982806,156457603.793807,276797440.08174,28939815.9497082
"276","Juncus hallii",23,23213010.2283761,28220890.5138417,282561925.324245,27594798.4005499
"277","Juncus interior",1064,711596543.734058,760140899.861103,7599445638.71536,731211819.710315
"278","Juncus mertensianus",924,62138151.0821585,68755793.7956412,623937650.177361,62393765.0177361
"279","Juncus nevadensis",568,253686204.996149,288328169.526057,2883281695.26057,288144128.204575
"280","Juncus parryi",819,232060632.373102,239605359.249911,2396053592.49911,239457415.71537
"281","Juncus tenuis",2639,2067725614.55966,2597382315.0207,25973823150.207,2596043550.19121
"282","Juncus torreyi",1410,865402804.895896,890825672.347266,8908256723.47266,886717308.157979
"283","Kalmia microphylla",720,586324179.167769,660444891.369632,6550528254.82348,654983023.97457
"284","Lactuca biennis",849,1207053147.84338,1263228033.53197,12112184476.2542,1211177062.16032
"285","Laennecia coulteri",442,287224854.068034,297118792.635389,2971187926.35389,296170144.824411
"286","Laennecia schiedeana",175,352561560.931644,413844820.452742,4038828684.40662,403876078.907421
"287","Leersia oryzoides",1516,959082052.274884,1042053737.20116,10420537372.0116,1040235027.61039
"288","Lemna minor",1139,1393259659.85036,1800490013.1578,17604863223.8319,1760232191.20288
"289","Lemna minuta",371,3185488195.00389,4974516024.12793,49671468207.733,4967112121.4089
"290","Lemna trisulca",799,1444608249.71355,1613201941.50029,15099409473.3513,1508817828.50763
"291","Lepidium crenatum",30,8150175.50795049,15693122.0675446,156945713.166717,14436444.1926784
"292","Lepidium virginicum",2981,2189037242.75218,2572469815.98258,25724698159.8258,2571972500.28067
"293","Leptochloa dubia",350,1404752231.03241,1466093927.28798,14660939272.8798,1466090118.362
"294","Leptosiphon septentrionalis",100,161783901.134604,172858607.217576,1728785798.65584,170984761.926643
"295","Lesquerella montana",44,18623203.1358483,33038968.5014998,338542037.134906,31659705.1517379
"296","Lesquerella parvula",5,NA,NA,406979.568856857,NA
"297","Lewisia nevadensis",159,147881944.013515,158970141.496544,1589701414.96544,158961113.221986
"298","Linanthus pungens",776,182242028.05562,185622834.234866,1856228342.34866,185533375.519582
"299","Linum australe",86,224375361.996587,279218676.356987,2782856157.79349,277308615.575947
"300","Linum lewisii",1696,1309522094.44581,1332170771.27311,13321707712.7311,1331978436.93281
"301","Lithospermum incisum",1368,634479265.84896,656679048.201306,6569508592.78592,653967080.462684
"302","Lithospermum multiflorum",525,91853996.3495619,93567475.8077662,935674763.928486,93409276.2387163
"303","Lithospermum ruderale",1692,179295647.812979,196463894.598306,1956857090.33523,194780215.079032
"304","Lobelia cardinalis",1657,1244600544.70298,1315790790.5306,13157240893.4949,1315717556.31889
"305","Lomatium latilobum",5,NA,NA,2083381.44001328,NA
"306","Lonicera involucrata",2296,924936240.337496,1072856920.43283,10728569204.3283,1072678514.56757
"307","Lupinus parviflorus",99,77238590.8800935,104571097.797247,1046272139.35627,103385292.238293
"308","Luzula spicata",987,2003699922.913,2216932275.51889,20867777727.6909,2086777772.76909
"309","Luzula subcapitata",37,1181282.166176,1395407.86489629,13954078.6489629,1382259.83945851
"310","Lycium pallidum",548,192610620.766054,216857121.264154,2167920183.23136,216743619.2827
"311","Lycopus americanus",2203,1235905097.82638,1246895754.54701,12468957545.4701,1246895754.54701
"312","Lycurus phleoides",210,341229528.314294,501031108.507682,5003585014.79737,499675329.813931
"313","Lygodesmia arizonica",3,NA,NA,170092.614867323,NA
"314","Lygodesmia doloresensis",4,NA,NA,18309.278890202,NA
"315","Lygodesmia grandiflora",77,39654931.3072721,46029931.8993178,460299351.294344,45544411.6624116
"316","Machaeranthera canescens",754,307328002.104672,312345846.300935,3123119600.11359,310936009.474161
"317","Mahonia fremontii",280,36192818.8122407,40597861.0560556,405981215.575579,40432684.6166963
"318","Mahonia repens",1491,212683324.349506,237051820.20975,2364580421.60294,235924659.009827
"319","Melampodium leucanthum",966,149152067.537068,152479462.949959,1525028736.46993,152292793.197002
"320","Melica spectabilis",273,183856951.364313,198507102.918185,1985071029.18185,198155857.748318
"321","Menodora scabra",751,183697311.448822,191639534.968478,1916395349.68478,191605866.42474
"322","Mentzelia albicaulis",1334,284448263.850838,298858088.847129,2988734511.22723,297879870.462844
"323","Mentzelia decapetala",165,161292261.326377,209764402.3262,2096089439.57286,208710743.721494
"324","Mentzelia dispersa",506,261097591.307031,284531188.210619,2845311882.10619,283696485.1908
"325","Mentzelia nuda",421,136911014.447311,157532106.307993,1575542969.14607,154543878.067518
"326","Mentzelia oligosperma",210,169352900.963024,172989927.824093,1729899278.24093,171467819.362319
"327","Mentzelia pumila",89,112836318.858096,159482689.997589,1594826903.1313,158814096.632304
"328","Mentzelia rusbyi",96,43710582.364842,45455355.7487857,454553557.487857,45455355.3676886
"329","Menyanthes trifoliata",1320,1736022932.84231,1833419437.77431,17806605766.971,1780660576.6971
"330","Mertensia alpina",67,20348875.9952229,23549935.2989547,235500211.319504,23469282.9921305
"331","Mertensia arizonica",76,9957105.11658078,19534309.1677204,195343091.677204,19534309.1677204
"332","Mertensia lanceolata",590,121296842.347264,122409970.678535,1224099706.78535,122375987.972908
"333","Microseris nutans",534,197868318.103488,206689139.558398,2066891395.58398,203915989.282353
"334","Mimosa nuttallii",41,147223159.85412,215990379.837478,2159903798.37478,214900914.449986
"335","Mirabilis linearis",1021,699589419.911142,722616378.121901,7223919052.61586,722391905.261586
"336","Mirabilis melanotricha",21,85691223.9424024,98310290.4293536,984685842.203718,97808846.8195326
"337","Mirabilis multiflora",779,204249518.682435,211587411.468566,2115874114.68566,210691749.85928
"338","Monardella odoratissima",1030,138065420.561974,143712023.389679,1437075766.7538,143662359.903068
"339","Muhlenbergia andina",173,292277023.236616,310835859.274753,3108358592.74753,309599366.83026
"340","Muhlenbergia arenicola",359,121755838.896691,126832630.373885,1268270733.56327,126826821.285726
"341","Muhlenbergia asperifolia",1026,2688530994.80338,2886571567.67401,28865715676.7401,2886169811.22234
"342","Muhlenbergia cuspidata",405,254679581.907809,268673845.366749,2686738453.66749,265375701.726728
"343","Muhlenbergia depauperata",180,134632681.265545,147487372.524003,1475006266.1764,145420952.956023
"344","Muhlenbergia richardsonis",1056,1224522828.29528,1477886189.92541,14711103744.0966,1471110374.40966
"345","Muhlenbergia thurberi",20,16901012.7902147,17691026.5959318,177853104.793326,17338428.4553874
"346","Muhlenbergia torreyi",380,602652488.540418,644148247.173165,6441482471.73165,643960164.229571
"347","Munroa squarrosa",162,167838522.530845,198897818.125621,1974756380.42898,197358936.143938
"348","Myosotis asiatica",220,276743031.162073,304489505.07022,3046050739.54933,303553613.984866
"349","Myosurus cupulatus",152,44471023.7527566,46795621.1976709,467956279.851711,46492500.3016502
"350","Navarretia saximontana",15,9315766.66077412,15172866.1599753,151965828.297561,14789080.0127491
"351","Nicotiana attenuata",640,266175744.529527,291869985.66558,2918699856.6558,290719161.999424
"352","Nothocalais cuspidata",189,170204403.552594,175087699.660046,1748966248.00431,174842912.516414
"353","Nuttallanthus texanus",516,508763813.779212,604330229.392035,6043302293.92035,603266712.842607
"354","Oenothera albicaulis",470,198236481.714272,209623550.704712,2096556498.79792,208690562.190202
"355","Oenothera biennis",1291,1302015278.6263,1336327521.98941,13363275219.8941,1336327521.98941
"356","Oenothera caespitosa",674,249537956.112207,262490189.007182,2625335782.7061,260160519.615904
"357","Oenothera coronopifolia",290,93853189.4384254,100971379.713945,1009705100.20522,100968516.117296
"358","Oenothera flava",222,402728661.852696,462432176.178316,4624321761.78316,461383614.157751
"359","Oonopsis foliosa",75,3502268.51915827,5623757.40509862,56540476.8393753,5013177.76380508
"360","Oreoxis bakeri",33,3480638.77094662,4297170.9528218,42976508.5738292,4274526.96879708
"361","Orobanche ludoviciana",200,576782179.791794,589219229.387163,5893032849.44676,582660463.530404
"362","Orobanche uniflora",705,1261796457.48196,1460215336.07322,12921414783.5502,1290270446.92491
"363","Orthocarpus luteus",593,509987337.156614,522333162.530056,5215408191.29876,521486914.073301
"364","Orthocarpus purpureoalbus",132,37170745.9039107,38358890.434808,383339073.540544,38306474.1001471
"365","Oryzopsis asperifolia",1205,903562024.973498,969014252.581686,9690142525.81686,968186244.898513
"366","Osmorhiza berteroi",1048,3901860857.57813,4185989139.44112,41859891394.4112,4185989139.22567
"367","Osmorhiza depauperata",1069,4367471396.95702,4785700528.24596,46898400725.1357,4689840072.51357
"368","Osmorhiza longistylis",1107,537072562.162634,593020788.211956,5729343411.24686,572908801.092122
"369","Oxalis corniculata",637,1289148017.41243,1372510454.08927,13725104540.8927,1371969287.00598
"370","Oxalis stricta",1576,717431292.264823,872823127.660441,8696305216.97672,851549520.994975
"371","Oxalis violacea",644,438891416.178259,472053235.660196,4720920808.15512,470704678.545034
"372","Oxyria digyna",1620,314982306.645975,426617479.765936,3635012441.8426,363552405.328524
"373","Oxytropis campestris",1147,1365527795.01465,1429009727.8706,14033728252.0301,1403372825.20301
"374","Oxytropis podocarpa",108,533544512.167789,648369697.882974,6482690925.57829,647767506.379936
"375","Oxytropis splendens",439,597705398.734608,703799507.49386,6293283921.64621,629328392.164621
"376","Packera crocata",79,16512891.0941074,30931104.2781992,310257281.746137,30668084.0503274
"377","Packera debilis",20,11456857.1113011,14458259.3040743,144582593.040743,14446188.9099961
"378","Packera fendleri",374,24408443.5891487,26739248.8912344,267392528.8241,26533069.2061957
"379","Packera porteri",17,436009.316565894,446815.495874314,4474845.97311357,445045.654666052
"380","Packera streptanthifolia",886,518453353.25704,562064974.283502,5620649742.83502,550571727.065836
"381","Palafoxia rosea",65,76152793.2092788,97597363.0633036,975973630.633036,96942849.5416894
"382","Panicum obtusum",378,137595254.258986,155794218.766239,1557942187.66239,155683502.735337
"383","Parthenium tetraneuris",8,NA,NA,1554834.67949118,NA
"384","Parthenocissus quinquefolia",6330,1018121617.76329,1070347807.17428,10656621390.0353,1065504477.03942
"385","Parthenocissus vitacea",370,707759134.815755,728092388.444231,7280923884.44231,727837740.05178
"386","Paspalum pubiflorum",442,518405182.90974,613524172.387078,6135241723.87078,612971150.078995
"387","Pedicularis centranthera",285,84400435.8794395,121699105.859201,1216991058.59201,121334667.322524
"388","Pedicularis crenulata",80,35180285.5549884,46141359.516268,461523096.697187,45898834.6978402
"389","Pediomelum digitatum",23,8553095.34509088,20458800.7079136,204588007.079136,20458800.7079136
"390","Pediomelum megalanthum",171,37472370.6715538,37831483.5676736,378314835.676736,37764030.5298386
"391","Pellaea gastonyi",42,43586264.0204208,122801688.879446,1228029109.98974,122626950.779175
"392","Pennellia micrantha",90,151598686.669822,162633384.256271,1626333842.56271,161037159.704587
"393","Penstemon albidus",597,233239777.027387,246495787.707437,2464957877.07437,240229966.852028
"394","Penstemon comarrhenus",111,17353340.64772,18504679.9536556,185046799.536556,18478262.2214287
"395","Penstemon cyanocaulis",72,10574533.3834611,21951955.7012291,220065210.649367,21345497.6656673
"396","Penstemon cyathophorus",33,452272.592395934,600560.39570364,6014913.42927821,587221.192838024
"397","Penstemon degeneri",22,157383.299807973,183306.926754041,1833069.26754041,172269.951803254
"398","Penstemon eriantherus",273,136641348.071995,154091842.358392,1540918423.58392,153898286.542491
"399","Penstemon retrorsus",15,40371.2329819243,157437.534884042,1725912.44156369,153863.001778565
"400","Penstemon strictiformis",46,16924511.5590608,18365979.4071868,183695515.999998,18004217.8736798
"401","Penstemon strictus",475,80533590.9546682,86120435.2008183,861273281.172023,85877919.5908963
"402","Penstemon unilateralis",18,8161926.53756325,10218970.419969,102189704.19969,10204850.6073416
"403","Penstemon virens",276,5852259.05990256,7848587.67530249,78485923.0744452,7679791.5500368
"404","Penstemon yampaensis",14,119409.878345132,146519.108169067,1465191.08169067,146517.399881261
"405","Peraphyllum ramosissimum",222,91053931.4595061,92354412.2301881,923544122.301881,92334146.0753604
"406","Phacelia alba",105,42808046.9525564,46599615.3743427,466142145.180857,45900707.6476203
"407","Phacelia constancei",17,1672201.01032715,3944876.02700688,39448760.2700688,3902236.89068572
"408","Phacelia incana",57,21642577.605131,23530984.427315,235309844.27315,23530422.2487243
"409","Phacelia splendens",15,1311170.61938821,1497084.49206179,14994381.3637418,1427903.55466103
"410","Phleum alpinum",2168,521172092.478747,962873000.287589,8471695525.16906,847169552.516906
"411","Phlox condensata",153,65461712.3421252,82631552.2568717,826326648.836281,82562711.4225808
"412","Phlox multiflora",161,50800162.2266951,58903798.4241526,589123571.508178,58455791.5246481
"413","Phlox pulvinata",108,96190474.0283488,102782995.089156,1027829950.89156,102695716.265074
"414","Phyla lanceolata",463,550907073.538081,553393148.357469,5533672258.67175,553341842.352466
"415","Physaria acutifolia",262,57053361.888801,72114338.3448521,721143383.448521,69767062.7248939
"416","Physaria rollinsii",13,64041.6315589394,241134.087949048,2437971.37434763,213613.243968411
"417","Physocarpus monogynus",313,77507240.4239972,88569821.6202013,885698216.202013,88418806.9516611
"418","Picradeniopsis oppositifolia",270,84271196.963607,94498103.5952901,945826767.836201,93810620.8136636
"419","Picradeniopsis woodhousei",95,44356073.6100738,49406001.5593996,494060015.593996,48896892.953096
"420","Pinus aristata",1452,24462414.5606858,27078988.3995536,270789883.995536,27061313.7798953
"421","Plantago elongata",340,506303862.82997,535129094.596212,5350950503.27098,534946371.487575
"422","Platyschkuhria integrifolia",67,15597116.6939439,16899234.5748286,169441855.813662,16790779.8031945
"423","Poa arctica",2695,311874886.687405,336905318.436332,3174878751.89824,317528565.803627
"424","Poa cusickii",1264,529766754.489273,532024185.985461,5320220810.75419,531995951.178854
"425","Poa occidentalis",53,11528152.2826214,13581483.2634927,136311225.057544,13355764.5743169
"426","Poa secunda",9261,4305613679.47946,4557074847.9567,45494229056.3733,4471837952.69188
"427","Polemonium foliosissimum",365,90427485.892932,93668682.9786963,936686829.786963,93559419.1567333
"428","Polemonium viscosum",427,148159168.803325,156209630.478766,1562096304.78766,156172511.82136
"429","Polygala subspinosa",128,40611724.3317033,42791080.6942582,427691095.640219,42731692.6569035
"430","Polygonum lapathifolium",507,749842468.465033,1120711962.79604,11207119627.9604,1120111662.12894
"431","Polygonum ramosissimum",1088,1033412246.01029,1090880130.18505,10908801301.8505,1090544353.38666
"432","Polygonum sagittatum",682,465833893.385948,547878037.67416,5478780376.7416,547853218.071944
"433","Polygonum viviparum",618,1318961177.7001,1418800808.04508,13851498447.9884,1384826093.96171
"434","Polypodium hesperium",253,330061459.121528,349246250.683224,3492462535.4875,348578765.667704
"435","Polypogon interruptus",476,2257134826.13015,2309224407.46577,22886464224.6372,2288421652.72962
"436","Pomaria jamesii",293,110411788.271351,129377574.038414,1291926195.52324,128626035.127009
"437","Potamogeton alpinus",852,1456821887.41695,1590088144.99016,15629488582.8034,1562620469.85281
"438","Potamogeton foliosus",1470,2255654587.26238,2518957896.29106,25189578962.9106,2518957894.91126
"439","Potamogeton natans",1340,1448724489.72947,1558588591.52766,14560488226.1251,1456048822.61251
"440","Potamogeton perfoliatus",475,1062761319.11223,1294414594.56374,12944145945.6374,1294414594.56374
"441","Potamogeton praelongus",582,1465634405.18491,1699967908.67563,16991644796.2096,1699080859.15394
"442","Potamogeton richardsonii",1242,1584707049.63245,1611892332.26548,16099488459.4162,1609888072.861
"443","Potentilla ambigens",22,7653462.15944714,8021727.51273072,80217287.1673521,7939645.76105704
"444","Potentilla gracilis",2166,1195343661.84476,1329159709.69644,13291597096.9644,1328445411.30004
"445","Potentilla paradoxa",106,419008127.473896,451858401.456909,4518584014.56909,451741765.415753
"446","Prenanthes racemosa",298,511190939.111404,551872804.842912,5379700423.32499,536245974.264466
"447","Proatriplex pleiantha",4,NA,NA,1638916.0754036,NA
"448","Prunus americana",1964,588750719.374752,617258806.127327,6172588061.27327,613387452.664516
"449","Prunus angustifolia",313,367874559.526776,383469449.720791,3834694497.2079,383469449.720791
"450","Prunus gracilis",53,48716666.4007646,53888896.1749407,538888961.749407,53635858.8991567
"451","Pseudognaphalium canescens",668,326239353.446397,357059336.524939,3570593365.24939,357044694.355056
"452","Pseudognaphalium stramineum",1058,553130555.158726,600975070.139764,6009155668.09064,600915566.809064
"453","Pseudoroegneria spicata",4797,615335025.475808,735040983.448025,7350409834.48025,733992308.819666
"454","Psoralidium lanceolatum",365,260264236.936087,284885212.832642,2848852128.32642,284549816.708389
"455","Psoralidium tenuiflorum",918,259555483.439474,290980193.802731,2903618777.36995,290288716.671608
"456","Puccinellia nuttalliana",836,1537779230.77953,1615053144.15086,15734387113.039,1573116390.791
"457","Purshia stansburiana",1068,96326117.3092054,98475577.7517323,984755777.517323,98155993.8940463
"458","Purshia tridentata",2997,208056062.415713,222988903.6657,2219452877.26674,221322831.931378
"459","Ranunculus acriformis",71,44644743.9905687,50505065.4228643,505050654.264073,49875991.5505221
"460","Ranunculus karelinii",1,NA,NA,0,NA
"461","Ranunculus macounii",624,1102987305.58588,1169058525.69999,11150713052.9869,1114954603.53726
"462","Ranunculus pensylvanicus",554,1255036186.52205,1351337918.90157,13513379189.0157,1351337918.90157
"463","Ratibida tagetes",254,68328993.8096668,77471923.6016409,774719236.016409,77434806.9358493
"464","Rhodiola integrifolia",707,713408527.260531,815643107.404316,8152280636.42546,815228063.642546
"465","Ribes niveum",93,60868034.4669699,61567773.3081803,611802187.445751,61180218.7445751
"466","Robinia hispida",274,503516817.478747,557226647.570607,5311188810.14234,530767342.165467
"467","Robinia neomexicana",1628,116491382.469612,124999117.448398,1249997888.60114,121702623.803874
"468","Rorippa sphaerocarpa",91,117663936.051644,126620201.267106,1266202012.73446,126137257.059672
"469","Rorippa tenerrima",60,178290185.347184,275361316.969788,2748064314.43254,274298794.539056
"470","Rumex densiflorus",80,58367023.6476202,64080156.4667451,640802663.272183,63950936.4853175
"471","Rumex venosus",269,247509451.882723,254044623.128968,2540466585.9532,253658411.620926
"472","Ruppia cirrhosa",127,1691255895.78377,1932785382.04397,19209807787.4363,1920980778.74363
"473","Sagina caespitosa",65,265426732.480651,347633524.477643,3478287990.73677,337773613.496903
"474","Sagina saginoides",551,11971166.4569939,2577162996.76502,1778324368.07409,187519616.250526
"475","Sagittaria brevirostra",174,100974843.068674,116588945.981458,1167210128.52044,110463851.165967
"476","Salix calcicola",222,699905731.213866,729017744.029616,7289434838.18152,728042570.27314
"477","Salix candida",1177,1063551402.96729,1163244433.11312,10718184556.1117,1071818455.61117
"478","Salix drummondiana",1313,388058076.568316,397047740.825262,3970477408.25262,396963153.601625
"479","Salix eriocephala",1263,713261724.064076,929376431.556179,8841667111.75009,884166711.175009
"480","Salix lutea",439,375034261.407895,421912117.329691,4219512554.01281,413537483.19711
"481","Salix petiolaris",1143,689514956.892494,707399909.583126,7073999095.83126,707399909.583126
"482","Salix petrophila",199,181757577.568451,200476116.605138,2004761166.05138,199333695.765229
"483","Salix scouleriana",2746,914912707.806383,950186523.599769,9501887932.94864,948762244.581734
"484","Salvia reflexa",598,676040902.693039,739474288.457389,7372051275.52019,737205127.552019
"485","Sambucus racemosa",2951,1451479160.16337,1576761906.36371,14621203715.1718,1462120371.51718
"486","Sarcobatus vermiculatus",2822,248989881.582364,250067794.459124,2500570646.49503,250057064.62101
"487","Saxifraga adscendens",217,257222983.36976,335361814.241197,2860407316.8573,284573255.26018
"488","Saxifraga hirculus",695,1285841159.42538,1330667188.63407,13061566203.9723,1306059423.93498
"489","Saxifraga oregana",87,120537753.462328,124133746.734871,1241337467.34871,124131846.469027
"490","Scabrethia scabra",109,42478550.0412457,45593441.1377323,455942624.460479,45025101.076121
"491","Schedonnardus paniculatus",550,386005932.104821,410158074.271845,4101585038.63993,408114803.755211
"492","Scirpus nevadensis",34,123307170.347533,127392268.175233,1273922681.75233,125685751.668211
"493","Scirpus pallidus",309,341815681.075509,354204973.706546,3542055624.66036,353631521.21935
