OBJECTID,RecKey,subPlotID,subPlotDesc,SpeciesList,DateLoadedInDb,PrimaryKey,DBKey,created_user,created_date,last_edited_user,last_edited_date,GlobalID,abundance,distribution
1286158,1506250746584568,6,,BRTE,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{6825A4C8-3984-42F6-A8C5-5C1831B4B743},,
1286159,1506250746584568,6,,ARTRV,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{22DD8DF8-0AC8-433B-9594-62A457A4E228},,
1286160,1506250746584568,6,,ARNO4,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{ABFD6965-E57A-4135-A0A8-980396798BA6},,
1286161,1506250746584568,6,,ACHY,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{89107BD1-569D-4BA1-8DEA-29F39452BFF7},,
1286162,1506250746584568,6,,GUSA2,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{DDD8AAF4-65DA-418B-ACA8-64A3E369CD3D},,
1286163,1506250746584568,6,,EREN,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{F8FD8B1D-9A19-4B9A-8D93-35B5A8A5A4ED},,
1286164,1506250746584568,6,,POSE,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{B60F70EA-4005-4007-B678-DACCABF15ECC},,
1286165,1506250746584568,6,,PIED,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{926FDE30-F448-4942-AB48-ABBA2CF9AE67},,
1286166,1506250746584568,6,,OPFR,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{71E19530-25DD-423F-BDF3-F6709811BA3A},,
1286167,1506250746584568,6,,CAAND,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{7EDCEAD8-DE3B-4A35-ABCB-B3A38DB97BCD},,
1286168,1506250746584568,6,,AGCR,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{662F3809-AF27-4520-A2CE-8FB76FACDF08},,
1286169,1506250746584568,6,,ALLIU,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{B1527D2F-BBD2-42A1-A227-6DC101E18440},,
1286170,1506250746584568,6,,HECOC8,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{E84BCFC1-F466-4ECE-89A2-214D8FA36E58},,
1286171,1506250746584568,6,,TRDU,2015-09-01,1506241932073162015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{10DA6614-93B8-4A69-8F80-BE47E8EA292F},,
1286172,150625094309599,6,,PASM,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{991168C4-D0B5-46CF-A39C-3462BC3CCAFB},,
1286173,150625094309599,6,,AGCR,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{7162FBD2-D0B5-42F5-82A8-739ABE845E11},,
1286174,150625094309599,6,,EREN,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{7E7FB022-5684-4AD1-BCB9-4B430D3BA249},,
1286175,150625094309599,6,,TEAC,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{C9672751-53C3-4E25-BCDD-44135E43A759},,
1286176,150625094309599,6,,HEVIV,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{03C66654-888C-46E9-99AE-CD53EB362A03},,
1286177,150625094309599,6,,QUGA,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{32A848DB-B6E5-49EC-90AC-5E80B6FC2015},,
1286178,150625094309599,6,,PIED,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{148F6D7B-42D6-4E42-9B35-900581EF7D49},,
1286179,150625094309599,6,,JUOS,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{9D7D0641-F2C2-4C5E-BEA5-CE2CA95FF689},,
1286180,150625094309599,6,,CEMO2,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{17B82D97-2C72-43DF-994C-7C0EDA7A9FA9},,
1286181,150625094309599,6,,ARNO4,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{AC6EE479-6EE6-4CF5-9381-EADFFDD37379},,
1286182,150625094309599,6,,ERNA10,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{21590A81-63D5-487C-B095-4D917283F601},,
1286183,150625094309599,6,,POSE,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{3DFFBBFF-0E65-477E-A223-B6E0E83B05D7},,
1286184,150625094309599,6,,OPFR,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{4D7E18EC-746F-479A-B48C-EE9B41AD3DC4},,
1286185,150625094309599,6,,PEPU7,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{9B8E585D-DD0A-487B-94B0-59577CFF2371},,
1286186,150625094309599,6,,ALLIU,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{AE40A2E0-E609-45FA-8F8B-5E645D8B6F81},,
1286187,150625094309599,6,,TRDU,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{34663CBB-E63F-41BC-AB60-8F9B096DDFB8},,
1286188,150625094309599,6,,VERBA,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{490C7861-3968-4E84-9F79-4B1BE1F2589F},,
1286189,150625094309599,6,,CIAR4,2015-09-01,15062508012828012015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:22:12,{6901C66C-6595-45E7-891D-693BE68CEE43},,
1286190,150625104342557,6,,PIED,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{059A5D29-FC27-4FAF-A936-62283372AEB8},,
1286191,150625104342557,6,,SAMI3,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{F51CD1A5-9667-4953-A551-06E4EE98C31B},,
1286192,150625104342557,6,,SCLI,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{3B5B4B01-3B33-43A3-9957-EC18FED7F752},,
1286193,150625104342557,6,,TOIN,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{BEA917A5-7795-489E-B229-05C320BEA10E},,
1286194,150625104342557,6,,VERBA,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{608BC371-74E4-4539-947B-A03944E5410E},,
1286195,150625104342557,6,,PASM,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{FBE8F8B5-BF92-48B2-B5AA-BA4739D33F5B},,
1286196,150625104342557,6,,TRDU,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{340415F7-E1C2-4FC7-B2EF-FE00660D9663},,
1286197,150625104342557,6,,TEAC,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{FDDCE25C-7091-4407-A52C-CC19B598129D},,
1286198,150625104342557,6,,PEPU7,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{8830339D-E0A7-4724-BEB6-50A9C7790AAC},,
1286199,150625104342557,6,,PHRE9,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{E0DBE6D7-CD4C-449D-9E22-126B677F91C5},,
1286200,150625104342557,6,,PAMU11,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{0EDFEBA1-2A38-437E-A55E-370522B7DA84},,
1286201,150625104342557,6,,OPPO,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{9E21C588-7AC8-4B82-9C1F-6A7F314EA805},,
1286202,150625104342557,6,,JUOS,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:33:51,{1DA4D942-17DB-444C-9D3E-D1E9E7D8CA69},,
1286203,150625104342557,6,,POSE,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{C1CAD9BE-BBF9-4578-9DAD-B2057F893FB8},,
1286204,150625104342557,6,,EREN,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{37D1459E-F01A-43B9-B042-3E5AA7AFD588},,
1286205,150625104342557,6,,ERCI6,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{126E253A-74E0-490D-AB93-0A8CA71DFB38},,
1286206,150625104342557,6,,ELEL5,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{1F46D08D-D4BD-4A6C-B69D-C56338F6FC07},,
1286207,150625104342557,6,,ERNA10,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{EDB00E3F-F08D-4E31-A02D-E23470BAB416},,
1286208,150625104342557,6,,CHDOD,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{474FC076-393E-49C9-A7AD-C6F6072FEB50},,
1286209,150625104342557,6,,CEMO2,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{00C926FC-4BD8-457F-BCA5-827C6B52A822},,
1286210,150625104342557,6,,CAAND,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{04C6E734-3D1D-4978-85FF-62AFA323C78E},,
1286211,150625104342557,6,,ARTRW8,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{369FEECC-F40F-4072-B5FD-DEAC2D1E0047},,
1286212,150625104342557,6,,ARNO4,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{BE640FFE-E1AC-4A98-B0ED-52E0F532F65D},,
1286213,150625104342557,6,,ACHY,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{1160ABAB-47EE-4B06-B8DF-A39C2E34E812},,
1286214,150625104342557,6,,YUHA,2015-09-01,15062509535650522015-09-01,Colorado Uncompagre FO 2015,DBROWNING,9/13/2018 15:39:01,ILMOCAIMDBO,3/12/2019 17:41:58,{C6FF5E41-1D04-413B-A1A3-E7851C133689},,
