MAJORGROUP,SELEMENTID,GNAME,SNAME,SCOMNAME,GRANK,SRANK,ENDEMIC,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,AQDEP,TRACK
Natural Communities,24865,Amelanchier utahensis / Pseudoroegneria spicata Shrubland,Amelanchier utahensis  /  Pseudoroegneria spicata Shrubland,Mixed Mountain Shrublands,G2G3,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,364531,Amelanchier utahensis Shrubland,Amelanchier utahensis Shrubland,-,G4,S4,N,-,-,-,N,N,Partial Tracking
Natural Communities,24870,Andropogon gerardii - Schizachyrium scoparium Northwestern Plains Grassland,Andropogon gerardii  -  Schizachyrium scoparium Northwestern Plains Grassland,Xeric Tallgrass Prairie,G2?,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,24811,Andropogon gerardii - Sorghastrum nutans West-Central Plains Grassland,Andropogon gerardii  -  Sorghastrum nutans West - Central Plains Grassland,Mesic Tallgrass Prairie,G2,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,24483,Andropogon gerardii - Sporobolus heterolepis Western Foothills Grassland,Andropogon gerardii  -  Sporobolus heterolepis Western Foothills Grassland,Xeric Tallgrass Prairie,G2,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,24742,Andropogon hallii - Calamovilfa longifolia Grassland,Andropogon hallii  -  Calamovilfa longifolia Grassland,Northern Sandhill Prairie,G4G5,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,24759,Aquilegia coerulea - Cirsium scopulorum Scree Sparse Vegetation,Aquilegia coerulea  -  Cirsium scopulorum Scree Sparse Vegetation,Alpine Fellfields,GU,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,364747,Aquilegia micrantha - Calamagrostis scopulorum Hanging Garden,Aquilegia micrantha  -  Calamagrostis scopulorum Hanging Garden,-,GNR,S1S2,N,-,-,-,N,Y,Fully Tracked
Natural Communities,24552,Aquilegia micrantha - Mimulus eastwoodiae Hanging Garden,Aquilegia micrantha  -  Mimulus eastwoodiae Hanging Garden,Hanging Gardens,G2G3,S2,N,-,-,-,N,Y,Fully Tracked
Natural Communities,364752,Aquilegia micrantha Hanging Garden,Aquilegia micrantha Hanging Garden,-,GNR,S1S2,N,-,-,-,N,Y,Fully Tracked
Natural Communities,364532,"Arctostaphylos patula - Artemisia tridentata (ssp. vaseyana, ssp. wyomingensis) Shrubland","Arctostaphylos patula  -  Artemisia tridentata (ssp. vaseyana, ssp. wyomingensis) Shrubland",-,GNR,S2S3,N,-,-,-,N,N,Fully Tracked
Natural Communities,364667,Arctostaphylos patula Shrubland,Arctostaphylos patula Shrubland,Montane Shrublands,GNR,S2S3,N,-,-,-,N,N,Fully Tracked
Natural Communities,24919,Arenaria hookeri Barrens Vegetation,Arenaria hookeri Barrens Vegetation,Shortgrass Prairies (Sandstone Breaks),GU,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,364684,Aristida purpurea Grassland,Aristida purpurea Grassland,-,GNR,S2S3,N,-,-,-,N,N,Fully Tracked
