MAJORGROUP,SELEMENTID,GNAME,SNAME,SCOMNAME,GRANK,SRANK,ENDEMIC,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,AQDEP,TRACK
Amphibians,22167,Acris blanchardi,Acris blanchardi,Northern Cricket Frog,G5,SH,N,-,SC,"BLM, SWAP Tier 2",N,Y,Fully Tracked
Amphibians,20351,Anaxyrus boreas pop. 1,Anaxyrus boreas pop. 1,Boreal Toad (Southern Rocky Mountain Population),G4T1T2Q,S1,N,-,SE,"SWAP Tier 1, USFS",N,Y,Fully Tracked
Amphibians,18880,Anaxyrus debilis,Anaxyrus debilis,Green Toad,G5,S2,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Amphibians,19160,Dryophytes arenicolor,Dryophytes arenicolor,Canyon Treefrog,G5,S2,N,-,-,"BLM, SWAP Tier 2",N,Y,Fully Tracked
Amphibians,19180,Gastrophryne olivacea,Gastrophryne olivacea,Western Narrow- mouthed Toad,G5,S1,N,-,SC,SWAP Tier 2,N,Y,Fully Tracked
Amphibians,21637,Lithobates blairi,Lithobates blairi,Plains Leopard Frog,G5,S3,N,-,SC,"BLM, SWAP Tier 2, USFS",N,Y,Fully Tracked
Amphibians,18389,Lithobates pipiens,Lithobates pipiens,Northern Leopard Frog,G5,S3,N,-,SC,"BLM, SWAP Tier 1, USFS",N,Y,Fully Tracked
Amphibians,17095,Lithobates sylvaticus,Lithobates sylvaticus,Wood Frog,G5,S3,N,-,SC,"SWAP Tier 2, USFS",N,Y,Fully Tracked
Amphibians,22335,Scaphiopus couchii,Scaphiopus couchii,Couch's Spadefoot,G5,S1,N,-,SC,SWAP Tier 2,N,Y,Fully Tracked
Amphibians,21598,Spea intermontana,Spea intermontana,Great Basin Spadefoot,G5,S3,N,-,-,"BLM, SWAP Tier 2",N,Y,Fully Tracked
Birds,21151,Accipiter gentilis,Accipiter gentilis,Northern Goshawk,G5,S3B,N,-,-,"BLM, SWAP Tier 2, USFS",Y,N,Watchlisted Only
Birds,24327,Aegolius funereus,Aegolius funereus,Boreal Owl,G5,S2,N,-,-,"SWAP Tier 2, USFS",N,N,Fully Tracked
Birds,16762,Aimophila ruficeps,Aimophila ruficeps,Rufous- crowned Sparrow,G5,S2,N,-,-,-,N,N,Fully Tracked
Birds,23668,Antigone canadensis tabida,Antigone canadensis tabida,Greater Sandhill Crane,G5T5,"S2B, S4N",N,-,SC,SWAP Tier 1,N,Y,Fully Tracked
Birds,21213,Artemisiospiza nevadensis,Artemisiospiza nevadensis,Sagebrush Sparrow,G5,S3B,N,-,-,"SWAP Tier 2, USFS",N,N,Fully Tracked
Birds,17129,Asio flammeus,Asio flammeus,Short- eared Owl,G5,S2B,N,-,-,"SWAP Tier 2, USFS",N,Y,Fully Tracked
Birds,23421,Athene cunicularia,Athene cunicularia,Burrowing Owl,G4,S4B,N,-,ST,"BLM, SWAP Tier 1, USFS",N,N,Watchlisted Only
Birds,22472,Bucephala islandica,Bucephala islandica,Barrow's Goldeneye,G5,S2B,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Birds,19973,Buteo regalis,Buteo regalis,Ferruginous Hawk,G4,"S3B, S4N",N,-,SC,"BLM, SWAP Tier 2, USFS",N,N,Fully Tracked
Birds,21730,Calcarius ornatus,Calcarius ornatus,Chestnut- collared Longspur,G5,S1B,N,-,-,"SWAP Tier 2, USFS",N,N,Fully Tracked
Birds,19767,Catharus fuscescens,Catharus fuscescens,Veery,G5,S3B,N,-,-,SWAP Tier 2,N,Y,Watchlisted Only
Birds,17758,Centrocercus minimus,Centrocercus minimus,Gunnison Sage Grouse,G2G3,S1,N,LT,SC,"BLM, SWAP Tier 1",Y,Y,Fully Tracked
Birds,21935,Centrocercus urophasianus,Centrocercus urophasianus,Greater Sage- Grouse,G3G4,S4,N,-,SC,"BLM, SWAP Tier 1, USFS",Y,Y,Fully Tracked
Birds,24443,Centronyx bairdii,Centronyx bairdii,Baird's Sparrow,G4,S1B,N,-,-,-,N,N,Watchlisted Only
Birds,22781,Charadrius melodus,Charadrius melodus,Piping Plover,G3,S1B,N,"LE, LT",ST,SWAP Tier 2,N,Y,Fully Tracked
Birds,18609,Charadrius montanus,Charadrius montanus,Mountain Plover,G3,S2B,N,-,SC,"BLM, SWAP Tier 1, USFS",N,N,Fully Tracked
Birds,17170,Charadrius nivosus nivosus,Charadrius nivosus nivosus,Western Snowy Plover,G3T3,S1B,N,-,SC,"BLM, SWAP Tier 2",N,Y,Fully Tracked
Birds,18175,Coccyzus americanus occidentalis,Coccyzus americanus occidentalis,Western Yellow- billed Cuckoo,G5T2T3,S1B,N,LT,SC,"BLM, SWAP Tier 1, USFS",N,Y,Fully Tracked
Birds,23518,Cypseloides niger,Cypseloides niger,Black Swift,G4,S3B,N,-,-,"BLM, SWAP Tier 2, USFS",N,Y,Fully Tracked
Birds,19425,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Bobolink,G5,S3B,N,-,-,SWAP Tier 2,N,N,Watchlisted Only
Birds,17271,Egretta thula,Egretta thula,Snowy Egret,G5,S2B,N,-,-,-,N,Y,Fully Tracked
Birds,20034,Empidonax traillii,Empidonax traillii,Willow Flycatcher,G5,S4,N,PS,-,-,N,Y,Watchlisted Only
Birds,21881,Empidonax traillii extimus,Empidonax traillii extimus,Southwestern Willow Flycatcher,G5T2,SU,N,LE,SE,SWAP Tier 1,N,Y,Fully Tracked
Birds,22879,Falco mexicanus,Falco mexicanus,Prairie Falcon,G5,"S4B, S4N",N,-,-,SWAP Tier 2,Y,N,Watchlisted Only
Birds,21725,Falco peregrinus anatum,Falco peregrinus anatum,American Peregrine Falcon,G4T4,S2B,N,-,SC,"BLM, SWAP Tier 2, USFS",Y,N,Fully Tracked
Birds,17078,Glaucidium gnoma,Glaucidium gnoma,Northern Pygmy- owl,G4G5,S3B,N,-,-,-,N,N,Watchlisted Only
Birds,19695,Grus americana,Grus americana,Whooping Crane,G1,SNA,N,"LE, XN",SE,SWAP Tier 2,N,N,Fully Tracked
Birds,18223,Gymnorhinus cyanocephalus,Gymnorhinus cyanocephalus,Pinyon Jay,G3,S3,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Birds,21249,Haliaeetus leucocephalus,Haliaeetus leucocephalus,Bald Eagle,G5,"S3B, S3N",N,-,SC,"BGEPA, BLM, SWAP Tier 2, USFS",Y,Y,Fully Tracked
Birds,21817,Himantopus mexicanus,Himantopus mexicanus,Black- necked Stilt,G5,S3B,N,-,-,-,N,Y,Fully Tracked
Birds,24462,Lagopus leucura,Lagopus leucura,White- tailed Ptarmigan,G5,S4,N,-,-,"SWAP Tier 1, USFS",N,N,Fully Tracked
Birds,22929,Leucosticte australis,Leucosticte australis,Brown- capped Rosy- finch,G4,"S3B, S4N",N,-,-,SWAP Tier 1,N,N,Fully Tracked
Birds,22107,Loxia leucoptera,Loxia leucoptera,White- winged Crossbill,G5,S1B,N,-,-,-,N,N,Watchlisted Only
Birds,23250,Melanerpes lewis,Melanerpes lewis,Lewis's Woodpecker,G4,S4,N,-,-,"SWAP Tier 2, USFS",N,Y,Fully Tracked
Birds,17214,Numenius americanus,Numenius americanus,Long- billed Curlew,G5,S2B,N,-,SC,"BLM, SWAP Tier 2, USFS",N,Y,Fully Tracked
Birds,19495,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,American White Pelican,G4,S1B,N,-,-,"BLM, SWAP Tier 2",N,Y,Fully Tracked
Birds,19553,Peucaea cassinii,Peucaea cassinii,Cassin's Sparrow,G5,S4B,N,-,-,"SWAP Tier 2, USFS",N,N,Watchlisted Only
Birds,22049,Phalaropus tricolor,Phalaropus tricolor,Wilson's Phalarope,G5,"S4B, S4N",N,-,-,-,N,Y,Fully Tracked
Birds,20637,Plegadis chihi,Plegadis chihi,White- faced Ibis,G5,S2B,N,-,-,"BLM, SWAP Tier 2",N,Y,Fully Tracked
Birds,18461,Rhynchophanes mccownii,Rhynchophanes mccownii,Thick- billed Longspur,G4,S2B,N,-,-,"SWAP Tier 2, USFS",N,N,Fully Tracked
Birds,20309,Seiurus aurocapilla,Seiurus aurocapilla,Ovenbird,G5,S2B,N,-,-,-,N,Y,Fully Tracked
Birds,22571,Setophaga graciae,Setophaga graciae,Grace's Warbler,G5,S3B,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Birds,18432,Sternula antillarum,Sterna antillarum,Least Tern,G4,S1B,N,LE,SE,SWAP Tier 2,N,Y,Fully Tracked
Birds,18431,Sterna forsteri,Sterna forsteri,Forster's Tern,G5,"S2B, S4N",N,-,-,-,N,Y,Fully Tracked
Birds,17954,Strix occidentalis lucida,Strix occidentalis lucida,Mexican Spotted Owl,G3G4T3T4,"S1B, SUN",N,LT,ST,SWAP Tier 2,Y,N,Fully Tracked
Birds,17726,Toxostoma curvirostre,Toxostoma curvirostre,Curve- billed Thrasher,G5,S3,N,-,-,-,N,N,Watchlisted Only
Birds,17407,Tringa semipalmata,Tringa semipalmata,Willet,G5,S1B,N,-,-,-,N,Y,Fully Tracked
Birds,23410,Tympanuchus cupido pinnatus,Tympanuchus cupido pinnatus,Greater Prairie Chicken,G4T4,S3,N,-,-,USFS,Y,N,Fully Tracked
Birds,18701,Tympanuchus pallidicinctus,Tympanuchus pallidicinctus,Lesser Prairie- chicken,G3,S2,N,-,ST,"BLM, SWAP Tier 1",Y,N,Fully Tracked
Birds,21307,Tympanuchus phasianellus columbianus,Tympanuchus phasianellus columbianus,Columbian Sharp- tailed Grouse,G5T3,S2,N,-,SC,"BLM, SWAP Tier 1, USFS",N,N,Fully Tracked
Birds,17586,Tympanuchus phasianellus jamesi,Tympanuchus phasianellus jamesi,Plains Sharp- tailed Grouse,G5T4,S1,N,-,SE,SWAP Tier 1,N,Y,Fully Tracked
Birds,18668,Vireo vicinior,Vireo vicinior,Gray Vireo,G5,S2B,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Crayfish,21868,Faxonius neglectus,Faxonius neglectus,Ringed Crayfish,G5,S2,N,-,-,-,N,Y,Fully Tracked
Fish,23002,Catostomus latipinnis,Catostomus latipinnis,Flannelmouth Sucker,G3G4,S3,N,-,-,"BLM, SWAP Tier 1, USFS",N,Y,Watchlisted Only
Fish,21756,Catostomus platyrhynchus,Catostomus platyrhynchus,Mountain Sucker,G5,S2?,N,-,SC,"BLM, SWAP Tier 1, USFS",N,Y,Fully Tracked
Fish,24074,Catostomus plebeius,Catostomus plebeius,Rio Grande Sucker,G3G4,S1,N,-,SE,"BLM, SWAP Tier 1, USFS",N,Y,Fully Tracked
Fish,18749,Cottus beldingii,Cottus beldingi,Paiute Sculpin,G5,SU,N,-,-,-,N,Y,Fully Tracked
Fish,24119,Couesius plumbeus,Couesius plumbeus,Lake Chub,G5,S1,N,-,SE,"SWAP Tier 2, USFS",N,Y,Fully Tracked
Fish,20664,Etheostoma cragini,Etheostoma cragini,Arkansas Darter,G3G4,S2,N,-,ST,"BLM, SWAP Tier 1",N,Y,Fully Tracked
Fish,17219,Etheostoma exile,Etheostoma exile,Iowa Darter,G5,S3,N,-,SC,SWAP Tier 2,N,Y,Fully Tracked
Fish,19268,Etheostoma spectabile,Etheostoma spectabile,Orangethroat Darter,G5,S3,N,-,SC,SWAP Tier 1,N,Y,Fully Tracked
Fish,19424,Gila cypha,Gila cypha,Humpback Chub,G1,S1,N,LT,ST,SWAP Tier 1,N,Y,Fully Tracked
Fish,22268,Gila elegans,Gila elegans,Bonytail Chub,G1,SX,N,LE,SE,SWAP Tier 1,N,Y,Fully Tracked
Fish,19189,Gila pandora,Gila pandora,Rio Grande Chub,G3,S1?,N,-,SC,"BLM, SWAP Tier 1, USFS",N,Y,Fully Tracked
Fish,20765,Gila robusta,Gila robusta,Roundtail Chub,G3,S2,N,-,SC,"BLM, SWAP Tier 1, USFS",N,Y,Fully Tracked
Fish,19760,Hybognathus hankinsoni,Hybognathus hankinsoni,Brassy Minnow,G5,S3,N,-,ST,SWAP Tier 1,N,Y,Fully Tracked
Fish,22884,Hybognathus placitus,Hybognathus placitus,Plains Minnow,G4,SH,N,-,SE,"SWAP Tier 1, USFS",N,Y,Fully Tracked
Fish,17455,Luxilus cornutus,Luxilus cornutus,Common Shiner,G5,S2,N,-,ST,SWAP Tier 1,N,Y,Fully Tracked
Fish,22407,Nocomis biguttatus,Nocomis biguttatus,Hornyhead Chub,G5,SX,N,-,-,USFS,N,Y,Fully Tracked
Fish,18320,Noturus flavus,Noturus flavus,Stonecat,G5,S1,N,-,SC,SWAP Tier 1,N,Y,Fully Tracked
Fish,21796,Oncorhynchus clarkii pleuriticus,Oncorhynchus clarkii pleuriticus,Colorado River Cutthroat Trout,G5T3,S3,N,-,SC,"BLM, SWAP Tier 1, USFS",Y,Y,Fully Tracked
Fish,16680,Oncorhynchus clarkii stomias,Oncorhynchus clarkii stomias,Greenback Cutthroat Trout,G5T1Q,S2,Y,LT,ST,SWAP Tier 1,Y,Y,Fully Tracked
Fish,20205,Oncorhynchus clarkii virginalis,Oncorhynchus clarkii virginalis,Rio Grande Cutthroat Trout,G5T3,S3,N,-,SC,"BLM, SWAP Tier 1, USFS",Y,Y,Fully Tracked
Fish,21444,Phenacobius mirabilis,Phenacobius mirabilis,Suckermouth Minnow,G5,S2,N,-,SE,SWAP Tier 1,N,Y,Fully Tracked
Fish,24121,Chrosomus eos,Phoxinus eos,Northern Redbelly Dace,G5,S1,N,-,SE,"SWAP Tier 1, USFS",N,Y,Fully Tracked
Fish,19970,Chrosomus erythrogaster,Phoxinus erythrogaster,Southern Redbelly Dace,G5,S1,N,-,SE,"SWAP Tier 1, USFS",N,Y,Fully Tracked
Fish,22485,Platygobio gracilis,Platygobio gracilis,Flathead Chub,G5,S3,N,-,SC,"SWAP Tier 1, USFS",N,Y,Fully Tracked
Fish,21422,Prosopium williamsoni,Prosopium williamsoni,Mountain Whitefish,G5,S3,N,-,-,-,N,Y,Fully Tracked
Fish,20983,Ptychocheilus lucius,Ptychocheilus lucius,Colorado Pikeminnow,G1,S1,N,"LE, XN",ST,SWAP Tier 1,N,Y,Fully Tracked
Fish,23729,Xyrauchen texanus,Xyrauchen texanus,Razorback Sucker,G1,S1,N,LE,SE,SWAP Tier 1,N,Y,Fully Tracked
Insects,18155,Acentrella parvula,Acentrella parvula,Ringed Small Minnow Mayfly,G5,S1,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,24154,Acerpenna pygmaea,Acerpenna pygmaea,Pygmy Small Minnow Mayfly,G5,S2,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,20210,Acronicta albarufa,Acronicta albarufa,Barrens Daggermoth,G3G4,SH,N,-,-,-,N,N,Fully Tracked
Insects,399013,Acronicta barnesii,Acronicta barnesii,Barnes' Dagger Moth,GNR,S3,N,-,-,-,N,N,Fully Tracked
Insects,399012,Acronicta exempta,Acronicta exempta,A Dagger Moth,GNR,S3,N,-,-,-,N,N,Fully Tracked
Insects,399024,Admetovis icarus,Admetovis icarus,A Noctuid Moth,GNR,S1,N,-,-,-,N,N,Fully Tracked
Insects,20148,Agapema homogena,Agapema homogena,A Giant Silkmoth,G4,S2,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,403976,Alexicles aspersa,Alexicles aspersa,A Tiger Moth,GU,S2,N,-,-,-,N,N,Fully Tracked
Insects,398011,Allomyia kondratieffi,Allomyia kondratieffi,Kondratieff's Hump- backed Caddisfly,GNR,S1,Y,-,-,-,N,Y,Fully Tracked
Insects,19530,Alloperla pilosa,Alloperla pilosa,A Stonefly,G3,S2,N,-,-,-,N,Y,Fully Tracked
Insects,23369,Amblyderus triplehorni,Amblyderus triplehorni,Great Sand Dunes Anthicid Beetle,GNR,S1,Y,-,-,-,N,N,Fully Tracked
Insects,23311,Amblyderus werneri,Amblyderus werneri,Great Sand Dunes Anthicid Beetle,G1?,S1,Y,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,17735,Notamblyscirtes simius,Amblyscirtes simius,Simius Roadside Skipper,G3,S3,N,-,-,-,N,N,Fully Tracked
Insects,16726,Ametropus neavei,Ametropus fragilis,Neave's Sand Minnow Mayfly,G4G5,S2,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,23104,Anisota oslari,Anisota oslari,Oslar's Oakworm Moth,G2G4,S1,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,399019,Apamea alticola,Apamea alticola,A Noctuid Moth,GNR,S2,N,-,-,-,N,N,Fully Tracked
Insects,398013,Apamea contradicta,Apamea contradicta,A Noctuid Moth,GNR,S1,N,-,-,-,N,N,Fully Tracked
Insects,17076,Apantesis bowmani,Apantesis bowmani,A Tiger Moth,G2G3,S2,Y,-,-,-,N,N,Fully Tracked
Insects,399009,Apantesis cervinoides,Apantesis cervinoides,A Tiger Moth,G4,S2,Y,-,-,-,N,N,Fully Tracked
Insects,399008,Apantesis favorita,Apantesis favorita,A Tiger Moth,G5,S1,N,-,-,-,N,N,Fully Tracked
Insects,40390,Apobaetis etowah,Apobaetis etowah,Etowah Small Minnow Mayfly,G5,S1,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,25197,Arctia sp. 1,Arctia sp. 1,A Tiger Moth,G1,S1,Y,-,-,-,N,N,Fully Tracked
Insects,24351,Arcynopteryx dichroa,Arcynopteryx dichroa,A Stonefly,G5,S1,N,-,-,-,N,Y,Fully Tracked
Insects,18287,Arigomphus cornutus,Arigomphus cornutus,Horned Clubtail,G4,S1,N,-,-,-,N,Y,Fully Tracked
Insects,399021,Aseptis harpi,Aseptis harpi,A Noctuid Moth,GNR,S1,N,-,-,-,N,N,Fully Tracked
Insects,16895,Atrytone arogos,Atrytone arogos,Arogos Skipper,G2G3,S2,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,17734,Atrytonopsis hianna,Atrytonopsis hianna,Dusted Skipper,G4G5,S2,N,-,-,-,N,N,Fully Tracked
Insects,399011,Autographa flavida,Autographa flavida,A Looper Moth,GNR,S1,N,-,-,-,N,N,Fully Tracked
Insects,18698,Boloria improba acrocnema,Boloria improba acrocnema,Uncompahgre Fritillary,G5T1?,S1,Y,LE,-,SWAP Tier 2,Y,N,Fully Tracked
Insects,18204,Boloria selene sabulocollis,Boloria selene sabulocollis,Sandhill Fritillary,G5T3,S1S2,N,-,-,-,Y,Y,Fully Tracked
Insects,44528,Bombus fraternus,Bombus (Cullumanobombus) fraternus,Southern Plains Bumble Bee,G2G4,S2S3,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,44525,Bombus morrisoni,Bombus (Cullumanobombus) morrisoni,Morrison's Bumble Bee,G3,S2S4,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,44555,Bombus pensylvanicus,Bombus (Thoracobombus) pensylvanicus,American Bumble Bee,G3G4,S2S3,N,-,-,SWAP Tier 2,N,N,Watchlisted Only
Insects,44554,Bombus occidentalis,Bombus occidentalis,Western Bumble Bee,G3,S3S4,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,397276,Bombus suckleyi,Bombus suckleyi,Suckley's Cuckoo Bumble Bee,G2G3,S2,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,397782,Bombus variabilis,Bombus variabilis,Variable Cuckoo Bumble Bee,G1G2,SH,N,-,-,-,N,N,Fully Tracked
Insects,19068,Callophrys sheridanii comstocki,Callophrys comstocki,Comstock's Hairstreak,G5T3T4,S1,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,19323,Callophrys mcfarlandi,Callophrys mcfarlandi,Sandia Hairstreak,G4,S1,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,17546,Callophrys mossii schryveri,Callophrys mossii schryveri,Moss's Elfin,G4T4,S2S3,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,21085,Camelobaetidius warreni,Camelobaetidius warreni,Warren's Small Minnow Mayfly,G5,S2,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,44522,Capnia nelsoni,Capnia nelsoni,Coffee Pot Snowfly,GNR,S1,Y,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,20146,Celastrina humulus,Celastrina humulus,Hops Feeding Azure,G2G3,S2,Y,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,404010,Chelis brucei,Chelis brucei,A Tiger Moth,G4,S1,N,-,-,-,N,N,Fully Tracked
Insects,20424,Cicindela formosa gibsoni,Cicindela formosa gibsoni,A Tiger Beetle,G5T3,S1,N,-,-,-,Y,N,Fully Tracked
Insects,18665,Ellipsoptera lepida,Cicindela lepida,Little White Tiger Beetle,G3G4,S3,N,-,-,-,N,N,Fully Tracked
Insects,20621,Cicindela scutellaris yampae,Cicindela scutellaris yampae,A Tiger Beetle,G5T1,S1,Y,-,-,-,Y,N,Fully Tracked
Insects,17593,Cicindela theatina,Cicindela theatina,San Luis Dunes Tiger Beetle,G1,S1,Y,-,-,SWAP Tier 2,Y,N,Fully Tracked
Insects,399004,Cochisea barnesi,Cochisea barnesi,A Geometrid Moth,GU,S1,N,-,-,-,N,N,Fully Tracked
Insects,22423,Coloradia luski,Coloradia luski,Lusk's Pinemoth,G4,S3,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,399027,Copablepharon flavum,Copablepharon flavum,A Noctuid Moth,GNR,S1,Y,-,-,-,N,N,Fully Tracked
Insects,399026,Copablepharon pictum,Copablepharon pictum,A Noctuid Moth,GNR,S1,Y,-,-,-,N,N,Fully Tracked
Insects,404017,Coranarta luteola,Coranarta luteola,A Noctuid Moth,G5,S2,N,-,-,-,N,N,Fully Tracked
Insects,20960,Cordulegaster dorsalis,Cordulegaster dorsalis,Pacific Spiketail,G5,S2,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,21837,Daihinibaenetes giganteus,Daihinibaenetes giganteus,Giant Sand Treader Cricket,GNR,S1,Y,-,-,-,N,N,Fully Tracked
Insects,18024,Decodes stevensi,Decodes stevensi,Stevens' Tortricid Moth,GNR,S1,Y,-,-,-,N,N,Fully Tracked
Insects,22043,Doa ampla,Doa ampla,A Moth,GNR,S1,Y,-,-,-,N,N,Fully Tracked
Insects,21032,Eleodes hirtipennis,Eleodes hirtipennis,A Circus Beetle,GNR,S1,Y,-,-,-,N,N,Fully Tracked
Insects,19316,Ephemera compar,Ephemera compar,Colorado Burrowing Mayfly,GU,SX,N,-,-,-,N,Y,Fully Tracked
Insects,18444,Ephemerella apopsis,Ephemerella apopsis,A Spiny Crawler Mayfly,G1Q,SH,Y,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,17388,Erebia pawloskii,Erebia pawloskii,Theano Alpine,G5,S3,N,-,-,-,N,Y,Fully Tracked
Insects,22007,Erebia pawloskii demmia,Erebia pawloskii demmia,Demmia Alpine,G5T3,S2,N,-,-,-,N,N,Fully Tracked
Insects,19678,Erynnis martialis,Erynnis martialis,Mottled Dusky Wing,G3,S2S3,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,17266,Erythemis vesiculosa,Erythemis vesiculosa,Great Pondhawk,G5,S2,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,19401,Ethmia monachella,Ethmia monachella,Lost Ethmiid Moth,GH,SH,Y,-,-,-,N,N,Fully Tracked
Insects,18242,Ethmia orestella,Ethmia orestella,A Glass Miner Moth,GNR,SH,Y,-,-,-,N,N,Fully Tracked
Insects,23494,Eucosma insignata,Eucosma insignata,A Tortricid Moth,GNR,S2,Y,-,-,-,N,N,Fully Tracked
Insects,19520,Euphilotes ellisii,Euphilotes ellisi,Ellis' Blue,G3?,S1S2,N,-,-,-,N,N,Fully Tracked
Insects,18074,Euphilotes rita coloradensis,Euphilotes rita coloradensis,Colorado Blue,G3G4T3,S2,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,22328,Euphilotes pallescens emmeli,Euphilotes rita emmeli,Desert Buckwheat Blue,G3?T2,S1,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,24425,Euphilotes spaldingi,Euphilotes spaldingi,Spalding's Blue,G3G4,S2S3,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,405430,Euphilotes stanfordorum,Euphilotes stanfordorum,Stanford's Blue,GU,S1S2,N,-,-,-,N,N,Fully Tracked
Insects,21887,Euphyes bimacula,Euphyes bimacula,Two- spotted Skipper,G4,S2,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,24080,Euproserpinus wiesti,Euproserpinus wiesti,Wiest's Sphinx Moth,G3,S2,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,399020,Eupsilia colorado,Eupsilia colorado,A Sallow Moth,GNR,S3,Y,-,-,-,N,N,Watchlisted Only
Insects,22075,Satyrium favonius ontario,Euristrymon favonius ontario,Northern Hairstreak,G4G5T4,S1,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,404019,Euxoa churchillensis,Euxoa churchillensis,A Noctuid Moth,GNR,S1,N,-,-,-,N,N,Fully Tracked
Insects,399028,Euxoa montana,Euxoa montana,A Dart Moth,GNR,S2,N,-,-,-,N,N,Fully Tracked
Insects,399022,Fishia dispar,Fishia dispar,A Noctuid Moth,GNR,S1,Y,-,-,-,N,N,Fully Tracked
Insects,399007,Furcula vargoi,Furcula vargoi,A Notodontid Moth,GNR,S1,Y,-,-,-,N,N,Fully Tracked
Insects,24412,Gumaga griseola,Gumaga griseola,A Bushtailed Caddisfly,G5,S1,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,399017,Heliothis australis,Heliothis australis,Southern Gem Moth,GNR,S1,N,-,-,-,N,N,Fully Tracked
Insects,20823,Hemileuca grotei diana,Hemileuca grotei diana,A Buckmoth,G4T3T4,S2,N,-,-,-,N,N,Fully Tracked
Insects,20485,Hemileuca hera magnifica,Hemileuca hera magnifica,A Buckmoth,G5T3,S1,N,-,-,-,N,N,Fully Tracked
Insects,21737,Hemileuca neumoegeni,Hemileuca neumoegeni,A Buckmoth,G4,S1,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,20843,Hesperia leonardus montana,Hesperia leonardus montana,Pawnee Montane Skipper,G4T1,S1,Y,LT,-,SWAP Tier 2,Y,N,Fully Tracked
Insects,19893,Hesperia ottoe,Hesperia ottoe,Ottoe Skipper,G3,S2,N,-,-,"SWAP Tier 2, USFS",Y,N,Fully Tracked
Insects,19345,Hesperopsis libya,Hesperopsis libya,Mohave Sooty- wing,G4,S2,N,-,-,-,N,N,Fully Tracked
Insects,19178,Homoeoneuria alleni,Homoeoneuria alleni,A Sand- dwelling Mayfly,G4,S1,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,397770,Hydropsyche vanaca,Hydropsyche vanaca,A Net- spinning Caddisfly,G1,S1,N,-,-,-,N,Y,Fully Tracked
Insects,406010,Icaricia shasta minnehaha,Icaricia shasta minnehaha,Minnehaha Blue,G5T5,S1,N,-,-,-,N,N,Fully Tracked
Insects,16779,Callophrys fotis,Incisalia fotis,Early Elfin,G4,S2S3,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Insects,20038,Ischnura barberi,Ischnura barberi,Desert Forktail,G4,S2,N,-,-,-,N,Y,Fully Tracked
Insects,23391,Isocapnia vedderensis,Isocapnia vedderensis,A Stonefly,G4,S1,N,-,-,-,N,Y,Fully Tracked
Insects,22998,Isoperla jewetti,Isoperla jewetti,A Stonefly,G1,SH,N,-,-,-,N,Y,Fully Tracked
Insects,17498,Labiobaetis apache,Labiobaetis apache,A Small Minnow Mayfly,G4,S1,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Insects,20514,Lachlania saskatchewanensis,Lachlania saskatchewanensis,Saskatchewan Brush- legged Mayfly,G4,S2,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
