"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"125","Elymus canadensis",2042,1137284498.49402,1217392552.80386,11605451836.3525,1160519112.37852
"126","Elymus elymoides",6163,567626750.270934,586467385.195706,5789874025.016,578836633.031358
"127","Elymus lanceolatus",830,757834784.249558,911753293.521838,9118712907.51679,895232734.747806
"128","Elymus trachycaulus",5010,2211520578.86762,2535874496.85137,25357652038.0377,2535759932.38245
"129","Enceliopsis nudicaulis",152,52954985.7880775,54394513.340552,543975324.624039,54348983.5846691
"130","Ephedra torreyana",750,90577965.7508501,140182266.1977,1401822661.977,139534963.966046
"131","Ephedra viridis",2318,133695456.111849,147506517.026851,1475065170.26851,147439026.454658
"132","Epilobium brachycarpum",1614,441985801.894166,656503751.926288,6542336560.99646,654162190.063671
"133","Eragrostis spectabilis",779,765064596.711768,778410161.303074,7738345302.53462,773103667.367728
"134","Ericameria nauseosa",4803,386858303.689539,414440603.369447,4144406033.69447,414102833.343908
"135","Ericameria parryi",349,145560210.376217,154436243.519793,1544362435.19793,154386316.094866
"136","Erigeron caespitosus",479,432365354.144501,493764184.62357,4611930966.94819,461116830.596001
"137","Erigeron canus",159,72564333.1746321,77381094.0287021,773688180.069868,77334612.9216452
"138","Erigeron compositus",1463,1578626988.46246,1613393455.22308,16037840957.0273,1603784095.70273
"139","Erigeron consimilis",6,NA,NA,31175549.7697982,NA
"140","Erigeron divergens",2346,406899197.505102,427467733.193321,4274677331.93321,427348014.446442
"141","Erigeron elatior",134,12543405.3061159,13468992.337437,134689923.37437,13304236.8473992
"142","Erigeron eximius",247,60902424.6328195,65583509.5444744,655835095.444744,65535571.7278493
"143","Erigeron flagellaris",984,342164662.854777,425276130.626413,4252771032.89553,424887826.191359
"144","Erigeron formosissimus",568,78899785.6581413,82070083.5867313,820700386.448422,81960410.1678123
"145","Erigeron nematophyllus",39,5256280.75661033,8580874.10240222,85802964.8677979,8339595.67103448
"146","Erigeron pulcherrimus",52,23055015.7986126,25824390.1801209,257889625.227679,25657087.8083618
"147","Erigeron pumilus",698,311896066.771819,337209611.056607,3372531700.50684,335372103.4871
"148","Erigeron speciosus",1325,325342843.596671,347588620.67079,3475886206.7079,347482758.751192
"149","Eriogonum alatum",522,112459788.115466,119971614.80167,1199716148.0167,119968355.957003
"150","Eriogonum cernuum",412,193196695.432424,201318659.238012,2013186592.38012,200034188.560681
"151","Eriogonum corymbosum",296,42311288.4874758,48277243.958587,482780594.700509,48205220.2249931
"152","Eriogonum gordonii",95,41935711.1305358,46797308.3928018,467975112.480359,46564709.7294177
"153","Eriogonum inflatum",1291,156380148.962018,163404402.41004,1634048445.12542,162264698.857583
"154","Eriogonum leptophyllum",64,13213685.0705827,15980007.8609772,160326604.467437,15356882.3840893
"155","Eriogonum microthecum",782,175572268.082627,181673791.999609,1816737919.99609,181447632.990523
"156","Eriogonum ovalifolium",1222,199609702.363243,205117534.539225,2051175345.39225,205084029.147227
"157","Eriogonum racemosum",639,51565032.0525247,54543057.4298275,545430574.298275,54196945.6730429
"158","Eriogonum umbellatum",4179,281279244.83941,284884229.20308,2843916152.55566,284173533.126918
"159","Erysimum capitatum",2363,875370659.580387,882809381.272579,8828252911.96455,881762520.523358
"160","Erysimum inconspicuum",785,1348866888.6369,1427369694.41829,14273696206.8339,1427369620.68339
"161","Eucephalus engelmannii",538,120294052.018838,156623019.118731,1567123503.7555,155265223.195778
"162","Festuca thurberi",347,73825809.2214579,78744647.8765827,791602677.167162,75841975.4611835
"163","Fragaria virginiana",6403,1735627841.47781,1779943780.07726,17736617333.1703,1773661714.07684
"164","Fraxinus anomala",489,113676969.974768,131937178.170319,1317880008.67071,131744527.449715
"165","Galium bifolium",303,174438229.303911,213533944.861674,2135339448.61674,213533820.949863
"166","Galium boreale",4636,1625651408.81413,1662587436.76913,16501328759.6964,1649508959.74528
"167","Galium coloradoense",44,11438037.5409505,33359279.7282735,333547319.724335,33161113.9138143
"168","Galium triflorum",5859,2217457644.0067,2271434044.25473,22368988336.9627,2236545566.73977
"169","Geranium richardsonii",2022,422608951.849693,518633917.737594,4995322697.79311,499420410.048127
"170","Gilia ophthalmoides",251,112053767.403126,124759375.928581,1248356095.31711,121538403.950336
