"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"239","Penstemon eatonii",554,105907846.38227,121814313.13283,1219950846.60166,117596316.386183
"240","Penstemon palmeri",388,126117264.41246,143857151.90778,1438571519.0778,143317907.705094
"241","Penstemon rydbergii",856,175482388.387729,204788543.835166,2047885438.35166,204611581.470955
"242","Penstemon teucrioides",34,583604.719588883,1267023.95043978,12746082.1009742,1251082.29186958
"243","Penstemon watsonii",247,36774739.7755058,37812958.7446087,376970896.468035,37625852.0586677
"244","Phlox austromontana",441,150911255.649091,168730686.931259,1687306869.31259,168713627.427109
"245","Phlox hoodii",1246,524238822.674083,534537086.292958,5348353711.38228,529845199.752324
"246","Phlox longifolia",920,159034557.286209,161700552.442398,1617126604.91774,161213046.389522
"247","Phoradendron juniperinum",495,231473564.656139,238948444.177985,2389484441.77985,238834171.375696
"248","Physaria bellii",33,103086.996640939,174436.655998381,1749712.85456404,147272.219273664
"249","Physaria floribunda",78,6438159.075913,7756745.29088723,77567452.9088723,7722434.82695015
"250","Physaria rectipes",188,28844545.2199979,31011704.7174008,310117055.818096,30751444.7598142
"251","Picrothamnus desertorum",357,102064445.313981,104746322.972844,1047463229.72844,104742953.25476
"252","Pinus edulis",91021,131038969.017113,136947084.938582,1369470849.38582,136947084.938582
"253","Plantago patagonica",2149,3484331040.81021,3619969026.18384,35616712082.2127,3561616912.41083
"254","Pleuraphis jamesii",2877,117943873.558376,124446141.023617,1244723538.92665,124250504.700937
"255","Poa arida",264,428435297.257105,458486945.095802,4584869450.95802,456914338.717298
"256","Poa fendleriana",3721,461046835.442439,501306495.467858,5013113243.65155,493471175.476573
"257","Poa palustris",3399,1854513724.18108,2303713754.5902,22805399850.7649,2279922970.87441
"258","Poa pratensis",10620,301041341.368158,640558427.387656,4987960155.29039,498799380.298129
"259","Poa tracyi",40,11495424.3339539,13259657.1938869,132596571.938869,13255648.2406684
"260","Polygonum douglasii",1396,896523130.085495,981851374.565912,9795140703.66795,972006438.889285
"261","Polypodium saximontanum",33,7965634.8191521,9143886.83848617,91443689.9296098,8862328.98718289
"262","Populus angustifolia",1985,241948675.762384,269827721.770966,2698290150.69131,269660973.616256
"263","Populus deltoides",11737,999337871.215424,1035446586.26123,10354465862.6123,1033143015.95981
"264","Populus tremuloides",271365,1770798787.16318,1827489249.12822,17889340135.3801,1788917213.94939
"265","Potentilla arguta",598,785707913.317365,817717703.586409,8039238206.05994,803236678.744853
"266","Potentilla pulcherrima",581,602446758.957413,694494951.08471,6943415198.21565,689620554.311443
"267","Prosartes trachycarpa",1058,436351320.659255,469231669.033853,4635705401.96658,463440518.71285
"268","Pseudocymopterus montanus",602,82236581.0476064,106713436.382187,1067405564.27025,106549273.680527
"269","Pseudognaphalium macounii",350,715815206.751369,816354256.680015,8018409221.84886,801644767.657341
"270","Pseudostellaria jamesiana",633,187350899.102096,194795996.445178,1947959964.45178,194749947.693068
"271","Psilostrophe bakeri",27,547527.224076913,626205.480296799,6502074.47059872,591787.188045525
"272","Pyrola chlorantha",1733,1305660717.63356,1348446426.33417,13464036091.8304,1346403609.18304
"273","Quercus gambelii",64223,128713190.808337,131155321.213426,1311553212.13426,131125386.564723
"274","Rhus glabra",1336,804262960.234882,854407259.072234,8544072590.72233,853743854.941083
"275","Rhus trilobata",2001,526598799.718973,533750161.593555,5337501615.93555,533015154.556146
"276","Ribes cereum",2223,292290834.586793,296785839.467661,2967895382.33689,296541028.039974
"277","Ribes inerme",1094,253579599.949661,321673144.286436,3180540806.23206,317814958.455924
"278","Ribes lacustre",2810,1203698397.98118,1311661071.00424,12446410419.315,1244641041.9315
"279","Rosa woodsii",4322,826729031.819078,851617534.389503,8489639183.62485,848963918.362485
"280","Rumex hymenosepalus",446,186993304.499021,198134841.253563,1981248454.5239,198015672.645757
"281","Salix exigua",3163,1006479185.96506,1248515101.69161,12485151016.9161,1248496122.42682
"282","Salix geyeriana",1229,226416316.74239,230375645.171786,2303756451.71786,230373615.202829
"283","Salix monticola",886,51410228.3785818,57471921.7376358,574719217.376358,57412328.5171596
"284","Schoenocrambe linearifolia",252,64512125.5646059,68132224.2058581,681322242.058581,68112013.9817091
"285","Schoenocrambe linifolia",233,132430381.807983,169958668.093267,1703599262.94372,161988785.704313
"286","Senecio atratus",153,23620779.203464,24417799.7690261,244183049.031308,24395859.7981972
"287","Senecio integerrimus",1663,374657090.120476,457073063.633654,4453778046.44071,444663650.39982
"288","Senecio triangularis",2871,572399116.318335,590759825.9223,5907598351.3873,590657207.929443
"289","Shepherdia canadensis",2903,1313222932.69281,1565870187.66534,15590837846.9288,1559050796.85236
"290","Silene drummondii",320,323258536.904709,365786530.656726,3609357918.41708,360643540.789136
"291","Solanum rostratum",1079,1009798852.3458,1028733907.46227,10224348481.7362,1022150311.5776
"292","Solidago canadensis",4249,1639752691.3835,1744411458.68848,17437945194.0672,1743794519.40672
"293","Solidago velutina",1425,412529065.758538,425582962.721999,4255829627.21999,425568085.141433
"294","Sphaeralcea coccinea",1533,394711112.679699,407256132.10371,4072212638.62956,405724654.143907
"295","Sphaeralcea parvifolia",242,77106098.0311142,82472929.5642591,824729295.642591,82326841.6436191
"296","Sporobolus cryptandrus",3201,1096725332.41513,1109382093.07077,11093750165.3905,1109369878.65631
"297","Stephanomeria pauciflora",1405,234939398.340483,252915931.157131,2529181002.77564,252062331.350636
"298","Streptopus amplexifolius",2104,91338480.5174891,813839466.134152,7356241411.9194,735601183.337085
"299","Symphoricarpos rotundifolius",1141,224939777.306666,233771440.948636,2337714409.48635,232287361.729417
"300","Symphyotrichum ascendens",755,279669496.222131,285498252.270775,2854982522.70775,285234430.707697
"301","Symphyotrichum spathulatum",1178,260674851.109864,266607549.07281,2666075490.7281,266450759.704231
"302","Tetradymia canescens",970,207739215.919416,216792629.727803,2167926297.27803,216624921.398724
"303","Tetradymia spinosa",218,101222201.103289,103154020.542362,1031540205.42362,103103084.293251
"304","Tetraneuris grandiflora",84,27255061.0159441,29986040.4709598,299871929.002226,29488334.5721341
"305","Tetraneuris torreyana",34,27600897.7284659,30958946.14057,310875006.984655,29245995.9027764
"306","Thalictrum fendleri",2111,343869386.451946,369267427.794811,3690562436.63053,367533493.003684
"307","Thelesperma subnudum",194,84204106.6695583,97863291.944858,978634187.56663,97621557.5614835
"308","Thelypodiopsis aurea",20,2047295.02866779,3358692.78265169,33658998.9049498,3223531.28589016
"309","Thelypodiopsis elegans",59,14721425.9118876,21793522.0215926,217970474.789043,21523944.9394266
"310","Thelypodium laxiflorum",28,21415881.6783642,23282209.1103674,232822091.103674,23157843.7856826
"311","Thermopsis rhombifolia",338,210794810.591882,263753620.353362,2637536203.53362,263753620.353362
"312","Townsendia annua",124,37529345.6043443,44762383.9505387,447697602.321729,44580087.2905501
"313","Townsendia incana",309,58973383.9520802,61139833.7191563,608069188.049738,60704414.3629817
"314","Toxicodendron rydbergii",600,912444474.557847,992139938.452614,9820075952.48473,981924252.461121
"315","Trifolium gymnocarpon",151,90062305.8872492,92195434.4664492,921954344.664491,92148622.8373718
"316","Urtica dioica",40,72920437.9085304,96858934.2553381,968589342.553381,96438468.9962707
"317","Vaccinium cespitosum",547,981760813.130593,1025534439.92477,10255344399.2477,1025523284.59182
"318","Vaccinium myrtillus",1324,245692449.60637,262991847.864482,2625458270.69683,262492955.475774
"319","Valeriana acutiloba",192,149130540.077636,154063626.475631,1540636264.75631,153427148.756714
"320","Vicia americana",4264,1443258105.42752,1484813306.8882,14830013814.6957,1482469632.49249
"321","Viola adunca",2370,1450227803.81545,1526493414.84959,15246047633.863,1524597737.42007
"322","Vulpia octoflora",1874,971175630.043653,2486249916.58272,24737930842.4927,2473684944.32926
"323","Wyethia amplexicaulis",378,108648398.3857,110166522.627692,1101665226.27692,109989282.589959
"324","Xanthium spinosum",45,1043006162.15832,1499570654.78166,14635368058.3015,1462059693.35963
"325","Xylorhiza venusta",53,5363517.20608411,6698541.27954658,66985413.0166076,6543575.83640684
"326","Yucca baccata",1370,136988461.509224,156126493.393886,1561401887.1582,155069450.982619
"327","Yucca glauca",1183,206512947.548853,221422286.053425,2214222860.53425,221158245.398742
"328","Yucca harrimaniae",89,25554289.0698998,30854638.3577549,308546619.850501,30771788.5061798
"329","Zigadenus paniculatus",212,196780526.17597,215515575.88655,2155155758.8655,213461521.16733
