"SYMBOL","SYNONYM_SYMBOL","JOIN_SYMBOL","FULL_NAME","GENUS","SPECIES","FAMILY"
"BRICK",NA,"BRICK","Brickellia Elliott","Brickellia","Elliott","Asteraceae"
"BRIN2",NA,"BRIN2","Bromus inermis Leyss.","Bromus","inermis","Poaceae"
"BRINI",NA,"BRINI","Bromus inermis Leyss. ssp. inermis","Bromus","inermis","Poaceae"
"BRINI2",NA,"BRINI2","Bromus inermis Leyss. ssp. inermis var. inermis","Bromus","inermis","Poaceae"
"BRINI2","BRIN7","BRIN7","Bromopsis inermis (Leyss.) Holub","Bromopsis","inermis","Poaceae"
"BRINP",NA,"BRINP","Bromus inermis Leyss. ssp. pumpellianus (Scribn.) Wagnon","Bromus","inermis","Poaceae"
"BRINP","BRSI4","BRSI4","Bromus sibiricus Drobow","Bromus","sibiricus","Poaceae"
"BRINP5",NA,"BRINP5","Bromus inermis Leyss. ssp. pumpellianus (Scribn.) Wagnon var. pumpellianus (Scribn.) C.L. Hitchc.","Bromus","inermis","Poaceae"
"BRINP5","BRDI10","BRDI10","Bromopsis dicksonii (Mitchell & Wilton) Á. Löve & D. Löve","Bromopsis","dicksonii","Poaceae"
"BRINP5","BRINP3","BRINP3","Bromopsis inermis (Leyss.) Holub ssp. pumpelliana (Scribn.) W.A. Weber","Bromopsis","inermis","Poaceae"
"BRINP5","BRPU9","BRPU9","Bromopsis pumpelliana (Scribn.) Holub","Bromopsis","pumpelliana","Poaceae"
"BRINP5","BRCIC","BRCIC","Bromus ciliatus L. var. coloradensis Vasey ex Beal","Bromus","ciliatus","Poaceae"
"BRINP5","BRINP6","BRINP6","Bromus inermis Leyss. var. purpurascens (Hook.) Wagnon","Bromus","inermis","Poaceae"
"BRINP5","BRINT2","BRINT2","Bromus inermis Leyss. var. tweedyi (Scribn. ex Beal) C.L. Hitchc.","Bromus","inermis","Poaceae"
"BRINP5","BRPU3","BRPU3","Bromus pumpellianus Scribn.","Bromus","pumpellianus","Poaceae"
"BRINP5","BRPUD","BRPUD","Bromus pumpellianus Scribn. ssp. dicksonii Mitchell & Wilton","Bromus","pumpellianus","Poaceae"
"BRINP5","BRPUT","BRPUT","Bromus pumpellianus Scribn. var. tweedyi Scribn. ex Beal","Bromus","pumpellianus","Poaceae"
"BRINP5","BRPUV","BRPUV","Bromus pumpellianus Scribn. var. villosissimus Hultén","Bromus","pumpellianus","Poaceae"
"BRIZA",NA,"BRIZA","Briza L.","Briza","L","Poaceae"
"BRJU",NA,"BRJU","Brassica juncea (L.) Czern.","Brassica","juncea","Brassicaceae"
"BRJU","BRIN16","BRIN16","Brassica integrifolia (Vahl) O.E.Schulz, non Rupr.","Brassica","integrifolia","Brassicaceae"
"BRJU","BRIN3","BRIN3","Brassica integrifolia Rupr.","Brassica","integrifolia","Brassicaceae"
"BRJU","BRJA2","BRJA2","Brassica japonica Thunb.","Brassica","japonica","Brassicaceae"
"BRJU","BRJUC","BRJUC","Brassica juncea (L.) Czern. var. crispifolia L.H. Bailey","Brassica","juncea","Brassicaceae"
"BRJU","BRJUJ","BRJUJ","Brassica juncea (L.) Czern. var. japonica (Thunb.) L.H. Bailey","Brassica","juncea","Brassicaceae"
"BRJU","BRWI2","BRWI2","Brassica willdenowii Boiss.","Brassica","willdenowii","Brassicaceae"
"BRJU","SIJU2","SIJU2","Sinapis juncea L.","Sinapis","juncea","Brassicaceae"
"BRLA6",NA,"BRLA6","Bromus lanatipes (Shear) Rydb.","Bromus","lanatipes","Poaceae"
"BRLA6","BRLA10","BRLA10","Bromopsis lanatipes (Shear) Holub","Bromopsis","lanatipes","Poaceae"
"BRLA6","BRANL2","BRANL2","Bromus anomalus Rupr. ex Fourn. var. lanatipes (Shear) Hitchc.","Bromus","anomalus","Poaceae"
"BRLA6","BRPOL2","BRPOL2","Bromus porteri (J.M. Coult.) Nash var. lanatipes Shear","Bromus","porteri","Poaceae"
"BRLO",NA,"BRLO","Brickellia longifolia S. Watson","Brickellia","longifolia","Asteraceae"
"BRLOL3",NA,"BRLOL3","Brickellia longifolia S. Watson var. longifolia","Brickellia","longifolia","Asteraceae"
"BRMA",NA,"BRMA","Briza maxima L.","Briza","maxima","Poaceae"
"BRMA4",NA,"BRMA4","Bromus marginatus Nees ex Steud.","Bromus","marginatus","Poaceae"
"BRMA4","BRBR4","BRBR4","Bromus breviaristatus Buckley","Bromus","breviaristatus","Poaceae"
"BRMA4","BRCAL2","BRCAL2","Bromus carinatus Hook. & Arn. var. linearis Shear","Bromus","carinatus","Poaceae"
"BRMA4","BRCAM2","BRCAM2","Bromus carinatus Hook. & Arn. var. marginatus (Nees ex Steud.) Barkworth & Anderton","Bromus","carinatus","Poaceae"
"BRMA4","BRMAB","BRMAB","Bromus marginatus Nees ex Steud. var. breviaristatus (Buckley) Beetle","Bromus","marginatus","Poaceae"
"BRMA4","BRMAL","BRMAL","Bromus marginatus Nees ex Steud. var. latior Shear","Bromus","marginatus","Poaceae"
"BRMA4","BRMAS","BRMAS","Bromus marginatus Nees ex Steud. var. seminudus Shear","Bromus","marginatus","Poaceae"
"BRMA4","BRSIM","BRSIM","Bromus sitchensis Trin. var. marginatus (Nees ex Steud.) B. Boivin","Bromus","sitchensis","Poaceae"
"BRMA4","CEMA10","CEMA10","Ceratochloa marginata Steud ex B.D. Jacks., nom. inval.","Ceratochloa","marginata","Poaceae"
"BRMA4","CEMA11","CEMA11","Ceratochloa marginata (Nees ex Steud.) W.A. Weber","Ceratochloa","marginata","Poaceae"
"BRME",NA,"BRME","Briza media L.","Briza","media","Poaceae"
"BRMI",NA,"BRMI","Brickellia microphylla (Nutt.) A. Gray","Brickellia","microphylla","Asteraceae"
"BRMIS",NA,"BRMIS","Brickellia microphylla (Nutt.) A. Gray var. scabra A. Gray","Brickellia","microphylla","Asteraceae"
"BRMIS","BRMIS2","BRMIS2","Brickellia microphylla (Nutt.) A. Gray ssp. scabra (A. Gray) W.A. Weber","Brickellia","microphylla","Asteraceae"
"BRMIS","BRSC5","BRSC5","Brickellia scabra (A. Gray) A. Nelson ex B.L. Rob.","Brickellia","scabra","Asteraceae"
"BRNA",NA,"BRNA","Brassica napus L.","Brassica","napus","Brassicaceae"
"BRNI",NA,"BRNI","Brassica nigra (L.) W.D.J. Koch","Brassica","nigra","Brassicaceae"
"BRNI","SINI4","SINI4","Sinapis nigra L.","Sinapis","nigra","Brassicaceae"
"BROB",NA,"BROB","Brickellia oblongifolia Nutt.","Brickellia","oblongifolia","Asteraceae"
"BROBL",NA,"BROBL","Brickellia oblongifolia Nutt. var. linifolia (D.C. Eaton) B.L. Rob.","Brickellia","oblongifolia","Asteraceae"
"BROBL","BRLI2","BRLI2","Brickellia linifolia D.C. Eaton","Brickellia","linifolia","Asteraceae"
"BROMU",NA,"BROMU","Bromus L.","Bromus","L","Poaceae"
"BRPO",NA,"BRPO","Bromus polyanthus Scribn. ex Shear","Bromus","polyanthus","Poaceae"
"BRPO2",NA,"BRPO2","Bromus porteri (J.M. Coult.) Nash","Bromus","porteri","Poaceae"
"BRPO2","BRPO5","BRPO5","Bromopsis porteri J.M. Coult.","Bromopsis","porteri","Poaceae"
"BRPO2","BRAN13","BRAN13","Bromus anomalus auct. non Rupr. ex Fourn.","Bromus","anomalus","Poaceae"
"BRPOP",NA,"BRPOP","Bromus polyanthus Scribn. ex Shear var. paniculatus Shear","Bromus","polyanthus","Poaceae"
"BRPOP","BRPA8","BRPA8","Bromus paniculatus (Shear) Rydb.","Bromus","paniculatus","Poaceae"
"BRPOP2",NA,"BRPOP2","Bromus polyanthus Scribn. ex Shear var. polyanthus","Bromus","polyanthus","Poaceae"
"BRPOP2","CEPO3","CEPO3","Ceratochloa polyantha (Scribn. ex Shear) Tzvelev","Ceratochloa","polyantha","Poaceae"
"BRPU6",NA,"BRPU6","Bromus pubescens Muhl. ex Willd.","Bromus","pubescens","Poaceae"
"BRPU6","BRPU11","BRPU11","Bromopsis pubescens (Muhl. ex Willd.) Holub","Bromopsis","pubescens","Poaceae"
"BRPU6","BRCIL2","BRCIL2","Bromus ciliatus L. var. laeviglumis Scribn. ex Shear","Bromus","ciliatus","Poaceae"
"BRPU6","BRPUL3","BRPUL3","Bromus pubescens Muhl. ex Willd. var. laeviglumis (Scribn. ex Shear) Swallen","Bromus","pubescens","Poaceae"
"BRPU6","BRPUL","BRPUL","Bromus purgans L. var. laeviglumis (Scribn. ex Shear) Swallen","Bromus","purgans","Poaceae"
"BRRA",NA,"BRRA","Brassica rapa L.","Brassica","rapa","Brassicaceae"
"BRRA2",NA,"BRRA2","Bromus racemosus L.","Bromus","racemosus","Poaceae"
"BRRA2","BRCO4","BRCO4","Bromus commutatus Schrad.","Bromus","commutatus","Poaceae"
"BRRA2","BRCOA","BRCOA","Bromus commutatus Schrad. var. apricorum Simonkai","Bromus","commutatus","Poaceae"
"BRRA2","BRPO7","BRPO7","Bromus popovii Drobow","Bromus","popovii","Poaceae"
"BRRAR",NA,"BRRAR","Brassica rapa L. var. rapa","Brassica","rapa","Brassicaceae"
"BRRAR","BRCA2","BRCA2","Brassica campestris L.","Brassica","campestris","Brassicaceae"
"BRRAR","BRCAR2","BRCAR2","Brassica campestris L. ssp. rapifera (Metzger) Sinsk.","Brassica","campestris","Brassicaceae"
"BRRAR","BRCAR","BRCAR","Brassica campestris L. var. rapa (L.) Hartm.","Brassica","campestris","Brassicaceae"
"BRRAR","BRRAC","BRRAC","Brassica rapa L. ssp. campestris (L.) Clapham","Brassica","rapa","Brassicaceae"
"BRRAR","BRRAO","BRRAO","Brassica rapa L. ssp. olifera DC.","Brassica","rapa","Brassicaceae"
"BRRAR","BRRAR2","BRRAR2","Brassica rapa L. ssp. rapa","Brassica","rapa","Brassicaceae"
"BRRAR","BRRAR3","BRRAR3","Brassica rapa L. ssp. rapifera Metzger","Brassica","rapa","Brassicaceae"
"BRRAR","BRRAS8","BRRAS8","Brassica rapa L. ssp. sylvestris Janchen","Brassica","rapa","Brassicaceae"
"BRRAR","BRRAC2","BRRAC2","Brassica rapa L. var. campestris (L.) W.D.J. Koch","Brassica","rapa","Brassicaceae"
"BRRAR","CASU20","CASU20","Caulanthus sulfureus Payson","Caulanthus","sulfureus","Brassicaceae"
"BRSE",NA,"BRSE","Bromus secalinus L.","Bromus","secalinus","Poaceae"
"BRSES",NA,"BRSES","Bromus secalinus L. var. secalinus","Bromus","secalinus","Poaceae"
"BRSES","BRSEH","BRSEH","Bromus secalinus L. var. hirsutus Kindb.","Bromus","secalinus","Poaceae"
"BRSES","BRSEH2","BRSEH2","Bromus secalinus L. var. hirtus (F.W. Schultz) Hegi","Bromus","secalinus","Poaceae"
"BRSQ2",NA,"BRSQ2","Bromus squarrosus L.","Bromus","squarrosus","Poaceae"
"BRST2",NA,"BRST2","Bromus sterilis L.","Bromus","sterilis","Poaceae"
"BRST2","ANST4","ANST4","Anisantha sterilis (L.) Nevski","Anisantha","sterilis","Poaceae"
"BRTE",NA,"BRTE","Bromus tectorum L.","Bromus","tectorum","Poaceae"
"BRTE","ANTE6","ANTE6","Anisantha tectorum (L.) Nevski","Anisantha","tectorum","Poaceae"
"BRTE","BRTEG","BRTEG","Bromus tectorum L. var. glabratus Spenner","Bromus","tectorum","Poaceae"
"BRTE","BRTEH","BRTEH","Bromus tectorum L. var. hirsutus Regel","Bromus","tectorum","Poaceae"
"BRTE","BRTEN","BRTEN","Bromus tectorum L. var. nudus Klett & Richt.","Bromus","tectorum","Poaceae"
"BUAM2",NA,"BUAM2","Bupleurum americanum J.M. Coult. & Rose","Bupleurum","americanum","Apiaceae"
"BUAM2","BUTRA2","BUTRA2","Bupleurum triradiatum J.E. Adams ex Hoffm. ssp. arcticum (Regel) Hultén","Bupleurum","triradiatum","Apiaceae"
"BUAR3",NA,"BUAR3","Buglossoides arvensis (L.) I.M. Johnst.","Buglossoides","arvensis","Boraginaceae"
"BUAR3","LIAR4","LIAR4","Lithospermum arvense L.","Lithospermum","arvense","Boraginaceae"
"BUGLO",NA,"BUGLO","Buglossoides Moench","Buglossoides","Moench","Boraginaceae"
"BUPLE",NA,"BUPLE","Bupleurum L.","Bupleurum","L","Apiaceae"
"CAAC",NA,"CAAC","Carduus acanthoides L.","Carduus","acanthoides","Asteraceae"
"CAAL",NA,"CAAL","Callirhoe alcaeoides (Michx.) A. Gray","Callirhoe","alcaeoides","Malvaceae"
"CAAL","SIAL8","SIAL8","Sida alcaeoides Michx.","Sida","alcaeoides","Malvaceae"
"CAAL6",NA,"CAAL6","Carex albonigra Mack.","Carex","albonigra","Cyperaceae"
"CAAN14",NA,"CAAN14","Camissonia andina (Nutt.) P.H. Raven","Camissonia","andina","Onagraceae"
"CAAN14","HOAN4","HOAN4","Holmgrenia andina (Nutt.) W.L. Wagner & Hoch","Holmgrenia","andina","Onagraceae"
"CAAN14","NEAN4","NEAN4","Neoholmgrenia andina (Nutt.) W.L. Wagner & Hoch","Neoholmgrenia","andina","Onagraceae"
"CAAN14","OEAN3","OEAN3","Oenothera andina Nutt.","Oenothera","andina","Onagraceae"
"CAAN7",NA,"CAAN7","Castilleja angustifolia (Nutt.) G. Don","Castilleja","angustifolia","Scrophulariaceae"
"CAAND",NA,"CAAND","Castilleja angustifolia (Nutt.) G. Don var. dubia A. Nelson","Castilleja","angustifolia","Scrophulariaceae"
"CAAND","CACH7","CACH7","Castilleja chromosa A. Nelson","Castilleja","chromosa","Scrophulariaceae"
"CAAND","CAEW","CAEW","Castilleja ewanii Eastw.","Castilleja","ewanii","Scrophulariaceae"
"CAAND","CAMAE2","CAMAE2","Castilleja martinii Abrams ssp. ewanii (Eastw.) Munz","Castilleja","martinii","Scrophulariaceae"
"CAAND","CAMAE","CAMAE","Castilleja martinii Abrams var. ewanii (Eastw.) N.H. Holmgren","Castilleja","martinii","Scrophulariaceae"
"CAAND","CAPY7","CAPY7","Castilleja pyramidalis Edwin","Castilleja","pyramidalis","Scrophulariaceae"
"CAAP2",NA,"CAAP2","Campanula aparinoides Pursh","Campanula","aparinoides","Campanulaceae"
"CAAP2","CAAPG","CAAPG","Campanula aparinoides Pursh var. grandiflora Holz.","Campanula","aparinoides","Campanulaceae"
"CAAP2","CAAPU","CAAPU","Campanula aparinoides Pursh var. uliginosa (Rydb.) Gleason","Campanula","aparinoides","Campanulaceae"
"CAAP2","CAUL3","CAUL3","Campanula uliginosa Rydb.","Campanula","uliginosa","Campanulaceae"
"CAAQ",NA,"CAAQ","Carex aquatilis Wahlenb.","Carex","aquatilis","Cyperaceae"
"CAAQ3",NA,"CAAQ3","Catabrosa aquatica (L.) P. Beauv.","Catabrosa","aquatica","Poaceae"
"CAAQA",NA,"CAAQA","Carex aquatilis Wahlenb. var. aquatilis","Carex","aquatilis","Cyperaceae"
"CAAQA","CAAC10","CAAC10","Carex acutinella Mack.","Carex","acutinella","Cyperaceae"
"CAAQA","CAAQA4","CAAQA4","Carex aquatilis Wahlenb. ssp. altior (Rydb.) Hultén","Carex","aquatilis","Cyperaceae"
"CAAQA","CAAQA5","CAAQA5","Carex aquatilis Wahlenb. var. altior (Rydb.) Fernald","Carex","aquatilis","Cyperaceae"
"CAAQA","CAAQS2","CAAQS2","Carex aquatilis Wahlenb. var. substricta Kük.","Carex","aquatilis","Cyperaceae"
"CAAQA","CASU24","CASU24","Carex substricta (Kük.) Mack.","Carex","substricta","Cyperaceae"
"CAAQA","CASU23","CASU23","Carex suksdorfii Kük.","Carex","suksdorfii","Cyperaceae"
"CAAQA6",NA,"CAAQA6","Catabrosa aquatica (L.) P. Beauv. var. aquatica","Catabrosa","aquatica","Poaceae"
"CAAQA6","AIAQ","AIAQ","Aira aquatica L.","Aira","aquatica","Poaceae"
"CAAQA6","CAAQU","CAAQU","Catabrosa aquatica (L.) P. Beauv. var. uniflora Gray","Catabrosa","aquatica","Poaceae"
"CAAQS",NA,"CAAQS","Carex aquatilis Wahlenb. var. stans (Drejer) Boott","Carex","aquatilis","Cyperaceae"
"CAAQS","CAAQS3","CAAQS3","Carex aquatilis Wahlenb. ssp. stans (Drejer) Hultén","Carex","aquatilis","Cyperaceae"
"CAAQS","CAST39","CAST39","Carex stans Drejer","Carex","stans","Cyperaceae"
"CAAR13",NA,"CAAR13","Carex arapahoensis Clokey","Carex","arapahoensis","Cyperaceae"
"CAAR18",NA,"CAAR18","Caragana arborescens Lam.","Caragana","arborescens","Fabaceae"
"CAAR18","CAARP2","CAARP2","Caragana arborescens Lam. var. pendula Carrière","Caragana","arborescens","Fabaceae"
"CAAR18","CAFR20","CAFR20","Caragana fruticosa (Pall.) Besser","Caragana","fruticosa","Fabaceae"
"CAAT2",NA,"CAAT2","Carex atherodes Spreng.","Carex","atherodes","Cyperaceae"
"CAAT3",NA,"CAAT3","Carex athrostachya Olney","Carex","athrostachya","Cyperaceae"
"CAAT8",NA,"CAAT8","Carex atrosquama Mack.","Carex","atrosquama","Cyperaceae"
"CAAT8","CAAP6","CAAP6","Carex apoda Clokey","Carex","apoda","Cyperaceae"
"CAAT8","CAATA4","CAATA4","Carex atrata L. ssp. atrosquama (Mack.) Hultén","Carex","atrata","Cyperaceae"
"CAAT8","CAATA5","CAATA5","Carex atrata L. var. atrosquama (Mack.) Cronquist","Carex","atrata","Cyperaceae"
"CAAU10",NA,"CAAU10","Caragana aurantiaca Koehne","Caragana","aurantiaca","Fabaceae"
"CAAU3",NA,"CAAU3","Carex aurea Nutt.","Carex","aurea","Cyperaceae"
"CAAU8",NA,"CAAU8","Calochortus aureus S. Watson","Calochortus","aureus","Liliaceae"
"CAAU8","CANUA","CANUA","Calochortus nuttallii Torr. & A. Gray var. aureus (S. Watson) Ownbey","Calochortus","nuttallii","Liliaceae"
"CABA3",NA,"CABA3","Carex backii Boott","Carex","backii","Cyperaceae"
"CABA3","CABAS2","CABAS2","Carex backii Boott var. subrostrata (Bates) Dorn","Carex","backii","Cyperaceae"
"CABA3","CADU10","CADU10","Carex durifolia L.H. Bailey","Carex","durifolia","Cyperaceae"
"CABA3","CADUS","CADUS","Carex durifolia L.H. Bailey var. subrostrata Bates","Carex","durifolia","Cyperaceae"
"CABE2",NA,"CABE2","Carex bebbii Olney ex Fernald","Carex","bebbii","Cyperaceae"
"CABE3",NA,"CABE3","Carex bella L.H. Bailey","Carex","bella","Cyperaceae"
"CABE3","CAUN8","CAUN8","Carex uncompahgre L. Kelso","Carex","uncompahgre","Cyperaceae"
"CABE6",NA,"CABE6","Calylophus berlandieri Spach","Calylophus","berlandieri","Onagraceae"
"CABEB2",NA,"CABEB2","Calylophus berlandieri Spach ssp. berlandieri","Calylophus","berlandieri","Onagraceae"
"CABEB2","CADRB","CADRB","Calylophus drummondianus Spach ssp. berlandieri (Spach) Towner & P.H. Raven","Calylophus","drummondianus","Onagraceae"
"CABEB2","OESED","OESED","Oenothera serrulata Nutt. ssp. drummondii (Torr. & A. Gray) Munz","Oenothera","serrulata","Onagraceae"
"CABI5",NA,"CABI5","Carex bigelowii Torr. ex Schwein.","Carex","bigelowii","Cyperaceae"
"CABI5","CABIH2","CABIH2","Carex bigelowii Torr. ex Schwein. ssp. hyperborea (Drejer) Böcher","Carex","bigelowii","Cyperaceae"
"CABI5","CACO51","CACO51","Carex consimilis T. Holm","Carex","consimilis","Cyperaceae"
"CABR10",NA,"CABR10","Carex brevior (Dewey) Mack.","Carex","brevior","Cyperaceae"
"CABR10","CAFEB","CAFEB","Carex festucacea Schkuhr ex Willd. var. brevior (Dewey) Fernald","Carex","festucacea","Cyperaceae"
"CABR15",NA,"CABR15","Carex brunnescens (Pers.) Poir.","Carex","brunnescens","Cyperaceae"
"CABR22",NA,"CABR22","Camissonia breviflora (Torr. & A. Gray) P.H. Raven","Camissonia","breviflora","Onagraceae"
"CABR22","OEBR4","OEBR4","Oenothera breviflora Torr. & A. Gray","Oenothera","breviflora","Onagraceae"
"CABR22","TABR5","TABR5","Taraxia breviflora (Torr. & A. Gray) Nutt. ex Small","Taraxia","breviflora","Onagraceae"
"CABR6",NA,"CABR6","Cardamine breweri S. Watson","Cardamine","breweri","Brassicaceae"
"CABRB",NA,"CABRB","Cardamine breweri S. Watson var. breweri","Cardamine","breweri","Brassicaceae"
"CABRB","CAHE17","CAHE17","Cardamine hederifolia Greene","Cardamine","hederifolia","Brassicaceae"
"CABRB","CAOR12","CAOR12","Cardamine oregona Piper","Cardamine","oregona","Brassicaceae"
"CABRL",NA,"CABRL","Cardamine breweri S. Watson var. leibergii (Holz.) C.L. Hitchc.","Cardamine","breweri","Brassicaceae"
"CABRL","CACA57","CACA57","Cardamine callosicrenata Piper","Cardamine","callosicrenata","Brassicaceae"
"CABRL","CAFO7","CAFO7","Cardamine foliacea Greene","Cardamine","foliacea","Brassicaceae"
"CABRL","CALE31","CALE31","Cardamine leibergii Holz.","Cardamine","leibergii","Brassicaceae"
"CABRL","CAVA4","CAVA4","Cardamine vallicola Greene","Cardamine","vallicola","Brassicaceae"
"CABRS",NA,"CABRS","Carex brunnescens (Pers.) Poir. ssp. sphaerostachya (Tuck.) Kalela","Carex","brunnescens","Cyperaceae"
"CABRS","CABRS2","CABRS2","Carex brunnescens (Pers.) Poir. var. sphaerostachya (Tuck.) Kük.","Carex","brunnescens","Cyperaceae"
"CABU",NA,"CABU","Calypso bulbosa (L.) Oakes","Calypso","bulbosa","Orchidaceae"
"CABU2",NA,"CABU2","Capsella bursa-pastoris (L.) Medik.","Capsella","bursa","Brassicaceae"
"CABU2","BUBU3","BUBU3","Bursa bursa-pastoris (L.) Britton","Bursa","bursa","Brassicaceae"
"CABU2","BUBUB","BUBUB","Bursa bursa-pastoris (L.) Britton var. bifida Crép.","Bursa","bursa","Brassicaceae"
"CABU2","BUGR","BUGR","Bursa gracilis Gren.","Bursa","gracilis","Brassicaceae"
"CABU2","CARU22","CARU22","Capsella rubella Reut.","Capsella","rubella","Brassicaceae"
"CABU2","THBU2","THBU2","Thlaspi bursa-pastoris L.","Thlaspi","bursa","Brassicaceae"
"CABU6",NA,"CABU6","Carex buxbaumii Wahlenb.","Carex","buxbaumii","Cyperaceae"
"CABUA",NA,"CABUA","Calypso bulbosa (L.) Oakes var. americana (R. Br.) Luer","Calypso","bulbosa","Orchidaceae"
"CABUA","CYBU5","CYBU5","Cytherea bulbosa (L.) House p.p.","Cytherea","bulbosa","Orchidaceae"
"CACA11",NA,"CACA11","Carex canescens L.","Carex","canescens","Cyperaceae"
"CACA12",NA,"CACA12","Carex capillaris L.","Carex","capillaris","Cyperaceae"
"CACA12","CABO21","CABO21","Carex boecheriana Á. Löve, D. Löve & Raymond","Carex","boecheriana","Cyperaceae"
"CACA12","CACAC13","CACAC13","Carex capillaris L. ssp. chlorostachys (Stev.) Á. Löve, D. Löve & Raymond","Carex","capillaris","Cyperaceae"
"CACA12","CACAR4","CACAR4","Carex capillaris L. ssp. robustior (Drejer ex Lange) Böcher","Carex","capillaris","Cyperaceae"
"CACA12","CACAE","CACAE","Carex capillaris L. var. elongata Olney ex Fernald","Carex","capillaris","Cyperaceae"
"CACA12","CACAF","CACAF","Carex capillaris L. var. fuscidula (Krecz.) Á. Löve & D. Löve","Carex","capillaris","Cyperaceae"
"CACA12","CACAM2","CACAM2","Carex capillaris L. var. major Blytt","Carex","capillaris","Cyperaceae"
"CACA13",NA,"CACA13","Carex capitata L.","Carex","capitata","Cyperaceae"
"CACA19",NA,"CACA19","Carum carvi L.","Carum","carvi","Apiaceae"
"CACA19","CAVE20","CAVE20","Carum velenovskyi Rohlena","Carum","velenovskyi","Apiaceae"
"CACA4",NA,"CACA4","Calamagrostis canadensis (Michx.) P. Beauv.","Calamagrostis","canadensis","Poaceae"
"CACAA2",NA,"CACAA2","Carex capitata L. ssp. arctogena (Harry Sm.) Hiitonen","Carex","capitata","Cyperaceae"
"CACAA2","CAAR15","CAAR15","Carex arctogena Harry Sm.","Carex","arctogena","Cyperaceae"
"CACAA2","CACAA5","CACAA5","Carex capitata L. var. arctogena (Harry Sm.) Hultén","Carex","capitata","Cyperaceae"
"CACAC10",NA,"CACAC10","Calamagrostis canadensis (Michx.) P. Beauv. var. canadensis","Calamagrostis","canadensis","Poaceae"
"CACAC10","CAAN20","CAAN20","Calamagrostis anomala Suksd.","Calamagrostis","anomala","Poaceae"
"CACAC10","CAAT14","CAAT14","Calamagrostis atropurpurea Nash","Calamagrostis","atropurpurea","Poaceae"
"CACAC10","CACAI","CACAI","Calamagrostis canadensis (Michx.) P. Beauv. var. imberbis (Stebbins) C.L. Hitchc.","Calamagrostis","canadensis","Poaceae"
"CACAC10","CACAP4","CACAP4","Calamagrostis canadensis (Michx.) P. Beauv. var. pallida (Vasey & Scribn.) Stebbins","Calamagrostis","canadensis","Poaceae"
"CACAC10","CACAR","CACAR","Calamagrostis canadensis (Michx.) P. Beauv. var. robusta Vasey","Calamagrostis","canadensis","Poaceae"
"CACAC10","CACAT","CACAT","Calamagrostis canadensis (Michx.) P. Beauv. var. typica Stebbins","Calamagrostis","canadensis","Poaceae"
"CACAC10","CAEXR","CAEXR","Calamagrostis expansa (Munro ex Hillebr.) Hitchc. var. robusta (Vasey) Stebbins","Calamagrostis","expansa","Poaceae"
"CACAC10","CAHY12","CAHY12","Calamagrostis hyperborea Lange","Calamagrostis","hyperborea","Poaceae"
"CACAC10","CAINC","CAINC","Calamagrostis inexpansa A. Gray var. cuprea Kearney","Calamagrostis","inexpansa","Poaceae"
"CACAC10","CAINR","CAINR","Calamagrostis inexpansa A. Gray var. robusta (Vasey) Stebbins","Calamagrostis","inexpansa","Poaceae"
"CACAC10","CASC2","CASC2","Calamagrostis scribneri Beal","Calamagrostis","scribneri","Poaceae"
"CACAC6",NA,"CACAC6","Carex canescens L. ssp. canescens","Carex","canescens","Cyperaceae"
"CACAC6","CACAC5","CACAC5","Carex canescens L. var. canescens","Carex","canescens","Cyperaceae"
"CACAC6","CACU9","CACU9","Carex curta Goodenough","Carex","curta","Cyperaceae"
"CACAL3",NA,"CACAL3","Calamagrostis canadensis (Michx.) P. Beauv. var. langsdorffii (Link) Inman","Calamagrostis","canadensis","Poaceae"
"CACAL3","CACAL5","CACAL5","Calamagrostis canadensis (Michx.) P. Beauv. ssp. langsdorffii (Link) Hultén","Calamagrostis","canadensis","Poaceae"
"CACAL3","CACAL2","CACAL2","Calamagrostis canadensis (Michx.) P. Beauv. var. lactea (Beal) C.L. Hitchc.","Calamagrostis","canadensis","Poaceae"
"CACAL3","CACAS","CACAS","Calamagrostis canadensis (Michx.) P. Beauv. var. scabra (J. Presl) Hitchc.","Calamagrostis","canadensis","Poaceae"
"CACAL3","CALA3","CALA3","Calamagrostis ×lactea Beal (pro sp.), database artifact","Calamagrostis","lactea","Poaceae"
"CACAL3","CALA83","CALA83","Calamagrostis lactea Beal","Calamagrostis","lactea","Poaceae"
"CACAL3","CALA43","CALA43","Calamagrostis langsdorffii (Link) Trin.","Calamagrostis","langsdorffii","Poaceae"
"CACAL3","CANU6","CANU6","Calamagrostis nubila Louis-Marie","Calamagrostis","nubila","Poaceae"
"CACH42",NA,"CACH42","Cardaria chalepensis (L.) Hand.-Maz.","Cardaria","chalepensis","Brassicaceae"
"CACH42","CACH10","CACH10","Cardaria chalapensis (L.) Hand.-Maz., orth. var.","Cardaria","chalapensis","Brassicaceae"
"CACH42","CADRC","CADRC","Cardaria draba (L.) Desv. ssp. chalapensis (L.) O.E. Schulz, orth. var.","Cardaria","draba","Brassicaceae"
"CACH42","CADRC3","CADRC3","Cardaria draba (L.) Desv. ssp. chalepensis (L.) O.E. Schulz","Cardaria","draba","Brassicaceae"
"CACH42","CADRR","CADRR","Cardaria draba (L.) Desv. var. repens (Schrenk) O.E. Schulz","Cardaria","draba","Brassicaceae"
