"SYMBOL","SYNONYM_SYMBOL","JOIN_SYMBOL","FULL_NAME","GENUS","SPECIES","FAMILY"
"ACCOC3","ACGE3","ACGE3","Aconitum geranioides Greene","Aconitum","geranioides","Ranunculaceae"
"ACCOC3","ACLE6","ACLE6","Aconitum leibergii Greene","Aconitum","leibergii","Ranunculaceae"
"ACCOC3","ACMO3","ACMO3","Aconitum mogollonicum Greene","Aconitum","mogollonicum","Ranunculaceae"
"ACER",NA,"ACER","Acer L.","Acer","L","Aceraceae"
"ACGL",NA,"ACGL","Acer glabrum Torr.","Acer","glabrum","Aceraceae"
"ACGLG2",NA,"ACGLG2","Acer glabrum Torr. var. glabrum","Acer","glabrum","Aceraceae"
"ACGLG2","ACGLT3","ACGLT3","Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax","Acer","glabrum","Aceraceae"
"ACGLG2","ACGLT4","ACGLT4","Acer glabrum Torr. var. typicum (Wesmael) Keller","Acer","glabrum","Aceraceae"
"ACGLG2","ACTR3","ACTR3","Acer tripartitum Nutt. ex Torr. & A. Gray","Acer","tripartitum","Aceraceae"
"ACGLN2",NA,"ACGLN2","Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles","Acer","glabrum","Aceraceae"
"ACGLN2","ACGLN","ACGLN","Acer glabrum Torr. ssp. neomexicanum (Greene) A.E. Murray","Acer","glabrum","Aceraceae"
"ACGLN2","ACGLP","ACGLP","Acer glabrum Torr. var. parviflorum A.E. Murray","Acer","glabrum","Aceraceae"
"ACGLN2","ACNE6","ACNE6","Acer neomexicanum Greene","Acer","neomexicanum","Aceraceae"
"ACGR3",NA,"ACGR3","Acer grandidentatum Nutt.","Acer","grandidentatum","Aceraceae"
"ACGRG",NA,"ACGRG","Acer grandidentatum Nutt. var. grandidentatum","Acer","grandidentatum","Aceraceae"
"ACGRG","ACSAG2","ACSAG2","Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais","Acer","saccharum","Aceraceae"
"ACGRG","ACSAG3","ACSAG3","Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.","Acer","saccharum","Aceraceae"
"ACGRG","SAGR17","SAGR17","Saccharodendron grandidentatum (Nutt.) Nieuwl.","Saccharodendron","grandidentatum","Aceraceae"
"ACHIL",NA,"ACHIL","Achillea L.","Achillea","L","Asteraceae"
"ACHNA",NA,"ACHNA","Achnatherum P. Beauv.","Achnatherum","P","Poaceae"
"ACHY",NA,"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","Achnatherum","hymenoides","Poaceae"
"ACHY","ERCU9","ERCU9","Eriocoma cuspidata Nutt.","Eriocoma","cuspidata","Poaceae"
"ACHY","ORHY","ORHY","Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper","Oryzopsis","hymenoides","Poaceae"
"ACHY","STHY6","STHY6","Stipa hymenoides Roem. & Schult.","Stipa","hymenoides","Poaceae"
"ACLE9",NA,"ACLE9","Achnatherum lettermanii (Vasey) Barkworth","Achnatherum","lettermanii","Poaceae"
