"SYMBOL","BINOMIAL_NAT","BINOMIAL_ACKER","DURATION","NATIVITY"
"COOR","Conringia orientalis","Conringia orientalis","Annual","Introduced"
"COAR4","Convolvulus arvensis","Convolvulus arvensis","Perennial","Introduced"
"COEQ","Convolvulus equitans","Convolvulus equitans","Annual, Perennial","Native"
"COCA5","Conyza canadensis","Conyza canadensis","Annual, Biennial","Native"
"COMA25","Corallorhiza maculata","Corallorhiza maculata","Perennial","Native"
"COST19","Corallorhiza striata","Corallorhiza striata","Perennial","Native"
"COTR18","Corallorhiza trifida","Corallorhiza trifida","Perennial","Native"
"COWI5","Corallorhiza wisteriana","Corallorhiza wisteriana","Perennial","Native"
"COKI","Cordylanthus kingii","Cordylanthus kingii","Annual","Native"
"CORA5","Cordylanthus ramosus","Cordylanthus ramosus","Annual","Native"
"COWR2","Cordylanthus wrightii","Cordylanthus wrightii","Annual","Native"
"COGR5","Coreopsis grandiflora","Coreopsis grandiflora","Perennial","Native"
"COLA5","Coreopsis lanceolata","Coreopsis lanceolata","Perennial","Native"
"COTI3","Coreopsis tinctoria","Coreopsis tinctoria","Annual, Biennial, Perennial","Native"
"COAM8","Corispermum americanum","Corispermum americanum","Annual","Native"
"COHY","Corispermum hyssopifolium","Corispermum hyssopifolium","Annual","Introduced"
"CONA4","Corispermum navicula","Corispermum navicula","Annual","Native"
"COVI5","Corispermum villosum","Corispermum villosum","Annual","Native"
"COCA13","Cornus canadensis","Cornus canadensis","Perennial","Native"
"COSES","Cornus sericea ssp. sericea","Cornus sericea ssp. sericea","Perennial","Native"
"COAU2","Corydalis aurea","Corydalis aurea","Annual, Biennial","Native"
"COAU2","Corydalis aurea","Corydalis aurea ssp. aurea","Annual, Biennial","Native"
"COCUO","Corydalis curvisiliqua ssp. occidentalis","Corydalis aurea ssp. occidentalis","Biennial, Annual","Native"
"COCAB2","Corydalis caseana ssp. brandegeei","Corydalis caseana ssp. brandegeei","Perennial","Native"
"COCOC2","Corylus cornuta var. cornuta","Corylus cornuta var. cornuta","Perennial","Native"
"ESMI3","Escobaria missouriensis","Coryphantha missouriensis","Perennial","Native"
"ESVIV","Escobaria vivipara var. vivipara","Coryphantha vivipara","Perennial","Native"
"COBI2","Cosmos bipinnatus","Cosmos bipinnatus","Annual","Introduced"
"COPA12","Cosmos parviflorus","Cosmos parviflorus","Annual","Native"
"COLU5","Cotoneaster lucidus","Cotoneaster lucidus","Perennial","Introduced"
"CRAQ","Crassula aquatica","Crassula aquatica","Annual","Native"
"CRMO3","Crataegus monogyna","Crataegus monogyna","Perennial","Introduced"
"CRRI","Crataegus rivularis","Crataegus rivularis","Perennial","Native"
"CRSA2","Crataegus saligna","Crataegus saligna","Perennial","Native"
"CRSU5","Crataegus succulenta","Crataegus succulenta","Perennial","Native"
"CRAC2","Crepis acuminata","Crepis acuminata","Perennial","Native"
"CRAT","Crepis atribarba","Crepis atribarba","Perennial","Native"
"CRCA3","Crepis capillaris","Crepis capillaris","Annual, Biennial","Introduced"
"CRIN4","Crepis intermedia","Crepis intermedia","Perennial","Native"
"CRMOM","Crepis modocensis ssp. modocensis","Crepis modocensis ssp. modocensis","Perennial","Native"
"CRNA","Crepis nana","Crepis nana","Perennial","Native"
"CROC","Crepis occidentalis","Crepis occidentalis","Annual, Perennial","Native"
"CROCC","Crepis occidentalis ssp. conjuncta","Crepis occidentalis ssp. conjuncta","Annual, Perennial","Native"
"CROCC2","Crepis occidentalis ssp. costata","Crepis occidentalis ssp. costata","Perennial, Annual","Native"
"CROCO2","Crepis occidentalis ssp. occidentalis","Crepis occidentalis ssp. occidentalis","Annual, Perennial","Native"
"CRRU3","Crepis runcinata","Crepis runcinata","Perennial","Native"
"CRRUG","Crepis runcinata ssp. glauca","Crepis runcinata ssp. glauca","Perennial","Native"
"CRRUH2","Crepis runcinata ssp. hispidulosa","Crepis runcinata ssp. hispidulosa","Perennial","Native"
"CRRUR","Crepis runcinata ssp. runcinata","Crepis runcinata ssp. runcinata","Perennial","Native"
"CRTE4","Croton texensis","Croton texensis","Annual","Native"
"CRAL2","Crypsis alopecuroides","Crypsis alopecuroides","Annual","Introduced"
"CRAF","Cryptantha affinis","Cryptantha affinis","Annual","Native"
"CRAM3","Cryptantha ambigua","Cryptantha ambigua","Annual","Native"
"CRCI2","Cryptantha circumscissa","Cryptantha circumscissa","Annual","Native"
"CRCRE","Cryptantha crassisepala var. elachantha","Cryptantha crassisepala var. elachantha","Annual","Native"
"CRFE3","Cryptantha fendleri","Cryptantha fendleri","Annual","Native"
"CRGR3","Cryptantha gracilis","Cryptantha gracilis","Annual","Native"
"CRKE","Cryptantha kelseyana","Cryptantha kelseyana","Annual","Native"
"CRMI5","Cryptantha minima","Cryptantha minima","Annual","Native"
"CRPT","Cryptantha pterocarya","Cryptantha pterocarya","Annual","Native"
"CRPTC","Cryptantha pterocarya var. cycloptera","Cryptantha pterocarya var. cycloptera","Annual","Native"
"CRPTP2","Cryptantha pterocarya var. pterocarya","Cryptantha pterocarya var. pterocarya","Annual","Native"
"CRRE5","Cryptantha recurvata","Cryptantha recurvata","Annual","Native"
"CRSC2","Cryptantha scoparia","Cryptantha scoparia","Annual","Native"
"CRWA2","Cryptantha watsonii","Cryptantha watsonii","Annual","Native"
"CRAC3","Cryptogramma acrostichoides","Cryptogramma acrostichoides","Perennial","Native"
"CRST2","Cryptogramma stelleri","Cryptogramma stelleri","Perennial","Native"
"CUFO","Cucurbita foetidissima","Cucurbita foetidissima","Perennial","Native"
"CUAP2","Cuscuta approximata","Cuscuta approximata","Annual, Perennial","Introduced"
"CUCU2","Cuscuta cuspidata","Cuscuta cuspidata","Perennial","Native"
"CUDE2","Cuscuta denticulata","Cuscuta denticulata","Perennial","Native"
"CUIN","Cuscuta indecora","Cuscuta indecora","Perennial","Native"
"CUME4","Cuscuta megalocarpa","Cuscuta megalocarpa","Perennial","Native"
"CUCAB","Cuscuta californica var. breviflora","Cuscuta occidentalis","Perennial","Native"
"CUPEP3","Cuscuta pentagona","Cuscuta pentagona","Perennial","Native"
"CUUM","Cuscuta umbellata","Cuscuta umbellata","Annual","Native"
"CYXA","Cyclachaena xanthifolia","Cyclachaena xanthifolia","Annual","Native"
"CYDI","Cyclanthera dissecta","Cyclanthera dissecta","Annual","Native"
"CYAT","Cycloloma atriplicifolium","Cycloloma atriplicifolium","Annual","Native"
"CYIMI","Cylindropuntia imbricata var. imbricata","Cylindropuntia imbricata var. imbricata","Perennial","Native"
"CYWH","Cylindropuntia whipplei","Cylindropuntia whipplei","Perennial","Native"
"CYAC","Cymopterus acaulis","Cymopterus acaulis","Perennial","Native"
"ORAL","Oreoxis alpina","Cymopterus alpinus","Perennial","Native"
"ALAN3","Aletes anisatus","Cymopterus anisatus","Perennial","Native"
"ORBA","Oreoxis bakeri","Cymopterus bakeri","Perennial","Native"
"CYBU","Cymopterus bulbosus","Cymopterus bulbosus","Perennial","Native"
"CYCO22","Cymopterus constancei","Cymopterus constancei","Perennial","Native"
"CYDU","Cymopterus duchesnensis","Cymopterus duchesnensis","Perennial","Native"
"CYACF","Cymopterus acaulis var. fendleri","Cymopterus fendleri","Perennial","Native"
"ORHU","Oreoxis humilis","Cymopterus humilis","Perennial","Native"
"PSMO","Pseudocymopterus montanus","Cymopterus lemmonii","Perennial","Native"
"PTHE","Pteryxia hendersonii","Cymopterus longilobus","Perennial","Native"
"CYMO","Cymopterus montanus","Cymopterus montanus","Perennial","Native"
"PTPE","Pteryxia petraea","Cymopterus petraeus","Perennial","Native"
"CYPL","Cymopterus planosus","Cymopterus planosus","Perennial","Native"
"CYPU2","Cymopterus purpureus","Cymopterus purpureus","Perennial","Native"
"ALSE5","Aletes sessiliflorus","Cymopterus sessiliflorus","Perennial","Native"
"PTTEA","Pteryxia terebinthina var. albiflora","Cymopterus terebinthus var. albiflorus","Perennial","Native"
"CYDA","Cynodon dactylon","Cynodon dactylon","Perennial","Introduced"
"CYOF","Cynoglossum officinale","Cynoglossum officinale","Biennial","Introduced"
"CYAC2","Cyperus acuminatus","Cyperus acuminatus","Annual, Perennial","Native"
"CYBI6","Cyperus bipartitus","Cyperus bipartitus","Annual","Native"
"CYER2","Cyperus erythrorhizos","Cyperus erythrorhizos","Annual, Perennial","Native"
"CYES","Cyperus esculentus","Cyperus esculentus","Perennial","Introduced"
"CYFE2","Cyperus fendlerianus","Cyperus fendlerianus","Perennial","Native"
"CYLU2","Cyperus lupulinus","Cyperus lupulinus","Perennial","Native"
"CYOD","Cyperus odoratus","Cyperus odoratus","Annual, Perennial","Native"
"CYSC3","Cyperus schweinitzii","Cyperus schweinitzii","Perennial","Native"
"CYSQ","Cyperus squarrosus","Cyperus squarrosus","Annual","Native"
"CYFA","Cypripedium fasciculatum","Cypripedium fasciculatum","Perennial","Native"
"CYPAP3","Cypripedium parviflorum var. pubescens","Cypripedium parviflorum var. pubescens","Perennial","Native"
"CYFR2","Cystopteris fragilis","Cystopteris fragilis","Perennial","Native"
"CYMO3","Cystopteris montana","Cystopteris montana","Perennial","Native"
"CYUT2","Cystopteris utahensis","Cystopteris utahensis","Perennial","Native"
"DAGL","Dactylis glomerata","Dactylis glomerata","Perennial","Introduced"
"DAAE","Dactyloctenium aegyptium","Dactyloctenium aegyptium","Annual","Introduced"
"DAAU","Dalea aurea","Dalea aurea","Perennial","Native"
"DACAO","Dalea candida var. oligophylla","Dalea candida var. oligophylla","Perennial","Native"
"DACY","Dalea cylindriceps","Dalea cylindriceps","Perennial","Native"
"DAEN","Dalea enneandra","Dalea enneandra","Perennial","Native"
"DAFO","Dalea formosa","Dalea formosa","Perennial","Native"
"DAJA","Dalea jamesii","Dalea jamesii","Perennial","Native"
"DALA3","Dalea lanata","Dalea lanata","Perennial","Native"
"DALE3","Dalea leporina","Dalea leporina","Annual","Native"
"DANAN","Dalea nana var. nana","Dalea nana var. nana","Perennial","Native"
"DAPU5","Dalea purpurea","Dalea purpurea","Perennial","Native"
"DATE5","Dalea tenuifolia","Dalea tenuifolia","Perennial","Native"
"DAVIV","Dalea villosa var. villosa","Dalea villosa var. villosa","Perennial","Native"
"DACA3","Danthonia californica","Danthonia californica","Perennial","Native"
"DAIN","Danthonia intermedia","Danthonia intermedia","Perennial","Native"
"DAPA2","Danthonia parryi","Danthonia parryi","Perennial","Native"
"DASP2","Danthonia spicata","Danthonia spicata","Perennial","Native"
"DAUN","Danthonia unispicata","Danthonia unispicata","Perennial","Native"
"DAPU7","Dasyochloa pulchella","Dasyochloa pulchella","Perennial","Native"
"DAQU","Datura quercifolia","Datura quercifolia","Annual","Native"
"DAST","Datura stramonium","Datura stramonium","Annual","Introduced"
"DAWR2","Datura wrightii","Datura wrightii","Annual, Perennial","Native"
"DACA6","Daucus carota","Daucus carota","Biennial","Introduced"
"DEAL","Delphinium alpestre","Delphinium alpestre","Perennial","Native"
"DEBA2","Delphinium barbeyi","Delphinium barbeyi","Perennial","Native"
"DECAV2","Delphinium carolinianum ssp. virescens","Delphinium carolinianum ssp. virescens","Perennial","Native"
"DEGE2","Delphinium geyeri","Delphinium geyeri","Perennial","Native"
"DENU2","Delphinium nuttallianum","Delphinium nuttallianum","Perennial","Native"
"DEGL3","Delphinium glaucum","Delphinium occidentale","Perennial","Native"
"DERA","Delphinium ramosum","Delphinium ramosum","Perennial","Native"
"DESC","Delphinium scaposum","Delphinium scaposum","Perennial","Native"
"DEBR2","Deschampsia brevifolia","Deschampsia brevifolia","Perennial","Native"
"DECE","Deschampsia cespitosa","Deschampsia cespitosa","Perennial","Native"
"DEEL","Deschampsia elongata","Deschampsia elongata","Perennial","Native"
"DEFL","Deschampsia flexuosa","Deschampsia flexuosa","Perennial","Native"
"DECA6","Descurainia californica","Descurainia californica","Annual, Biennial","Native"
"DEIN5","Descurainia incana","Descurainia incana","Annual, Biennial, Perennial","Native"
"DEINI2","Descurainia incana ssp. incisa","Descurainia incisa","Biennial","Native"
"DEINI2","Descurainia incana ssp. incisa","Descurainia incisa ssp. incisa","Biennial","Native"
"DEPIP2","Descurainia pinnata ssp. paysonii","Descurainia incisa ssp. paysonii","Biennial, Annual","Native"
"DEPIF","Descurainia pinnata ssp. filipes","Descurainia longepedicellata","Annual, Biennial","Native"
"DEPIB","Descurainia pinnata ssp. brachycarpa","Descurainia pinnata ssp. brachycarpa","Biennial, Annual","Native"
"DESO2","Descurainia sophia","Descurainia sophia","Annual, Biennial","Introduced"
"DECO2","Desmanthus cooleyi","Desmanthus cooleyi","Perennial","Native"
"DEIL","Desmanthus illinoensis","Desmanthus illinoensis","Perennial","Native"
"DEOB5","Desmodium obtusum","Desmodium obtusum","Perennial","Native"
"DIAR","Dianthus armeria","Dianthus armeria","Annual, Biennial","Introduced"
"DIDE","Dianthus deltoides","Dianthus deltoides ssp. deltoides","Perennial","Introduced"
"DIAC2","Dichanthelium acuminatum","Dichanthelium acuminatum","Perennial","Native"
"DILI2","Dichanthelium linearifolium","Dichanthelium linearifolium","Perennial","Native"
"DIOLS","Dichanthelium oligosanthes var. scribnerianum","Dichanthelium oligosanthes var. scribnerianum","Perennial","Native"
"DIWI5","Dichanthelium wilcoxianum","Dichanthelium wilcoxianum","Perennial","Native"
"DICA4","Dicoria canescens","Dicoria canescens","Annual","Native"
"MABIB","Machaeranthera bigelovii var. bigelovii","Dieteria bigelovii var. bigelovii","Biennial, Perennial","Native"
"MACA2","Machaeranthera canescens","Dieteria canescens","Annual, Biennial, Perennial","Native"
"DIPUP2","Digitalis purpurea ssp. purpurea","Digitalis purpurea var. purpurea","Biennial","Introduced"
"DICA8","Digitaria californica","Digitaria californica","Perennial","Native"
"DIIS","Digitaria ischaemum","Digitaria ischaemum","Annual","Introduced"
"DISA","Digitaria sanguinalis","Digitaria sanguinalis","Annual","Introduced"
"DIWI2","Dimorphocarpa wislizeni","Dimorphocarpa wislizeni","Annual","Native"
"LEPA6","Leptochloa panicea","Dinebra panicea","Annual, Perennial","Native"
"LEFUF","Leptochloa fusca ssp. fascicularis","Diplachne fusca ssp. fasciculata","Annual","Native"
"DIMU2","Diplotaxis muralis","Diplotaxis muralis","Annual, Biennial","Introduced"
"DIFU2","Dipsacus fullonum","Dipsacus fullonum","Biennial","Introduced"
"DILA4","Dipsacus laciniatus","Dipsacus laciniatus","Biennial","Introduced"
"LEDU","Leptochloa dubia","Disakisperma dubia","Perennial","Native"
"DISP","Distichlis spicata","Distichlis stricta","Perennial","Native"
"DOPU","Dodecatheon pulchellum","Dodecatheon pulchellum","Perennial","Native"
"DOPUP2","Dodecatheon pulchellum ssp. pulchellum","Dodecatheon pulchellum var. pulchellum","Perennial","Native"
"DOPUP2","Dodecatheon pulchellum ssp. pulchellum","Dodecatheon pulchellum var. zionense","Perennial","Native"
"DOLA2","Downingia laeta","Downingia laeta","Annual","Native"
"DRAL4","Draba albertina","Draba albertina","Annual, Perennial, Biennial","Native"
"DRAU","Draba aurea","Draba aurea","Perennial","Native"
"DRBO","Draba borealis","Draba borealis","Perennial","Native"
"DRBRC","Draba breweri var. cana","Draba cana","Perennial","Native"
"DRCR","Draba crassa","Draba crassa","Perennial","Native"
"DRCR2","Draba crassifolia","Draba crassifolia","Annual, Biennial, Perennial","Native"
"DRCU","Draba cuneifolia","Draba cuneifolia","Annual","Native"
"DREX3","Draba exunguiculata","Draba exunguiculata","Perennial","Native"
"DRFL","Draba fladnizensis","Draba fladnizensis","Perennial","Native"
"DRGL6","Draba globosa","Draba globosa","Perennial","Native"
"DRGR2","Draba graminea","Draba graminea","Perennial","Native"
"DRGR3","Draba grayana","Draba grayana","Perennial","Native"
"DRHE","Draba helleriana","Draba helleriana","Biennial, Perennial","Native"
"DRIN2","Draba incerta","Draba incerta","Perennial","Native"
"DRLO","Draba lonchocarpa","Draba lonchocarpa","Perennial","Native"
"DRNE","Draba nemorosa","Draba nemorosa","Annual","Native"
"DROL","Draba oligosperma","Draba oligosperma","Perennial","Native"
"DRRE","Draba rectifructa","Draba rectifructa","Annual, Biennial","Native"
"DRRE2","Draba reptans","Draba reptans","Annual","Native"
"DRSM","Draba smithii","Draba smithii","Perennial","Native"
"DRSP","Draba spectabilis","Draba spectabilis","Perennial","Native"
"DRST5","Draba streptobrachia","Draba streptobrachia","Perennial","Native"
"DRST4","Draba streptocarpa","Draba streptocarpa","Perennial","Native"
"DRVE","Draba ventosa","Draba ventosa","Perennial","Native"
"DRWE","Draba weberi","Draba weberi","Perennial","Native"
"DRPA2","Dracocephalum parviflorum","Dracocephalum parviflorum","Annual, Perennial, Biennial","Native"
"DRAN","Drosera anglica","Drosera anglica","Perennial","Native"
"DRRO","Drosera rotundifolia","Drosera rotundifolia","Perennial","Native"
"DROCH","Dryas octopetala ssp. hookeriana","Dryas octopetala var. hookeriana","Perennial","Native"
"DREFD","Drymaria effusa var. depressa","Drymaria depressa","Annual","Native"
"DREX2","Dryopteris expansa","Dryopteris expansa","Perennial","Native"
"DRFI2","Dryopteris filix-mas","Dryopteris filix-mas","Perennial","Native"
"DYAM","Dysphania ambrosioides","Dysphania ambrosioides","Annual","Introduced"
"DYBO","Dysphania botrys","Dysphania botrys","Annual","Introduced"
"DYGR","Dysphania graveolens","Dysphania graveolens","Annual","Both"
"DYPA","Dyssodia papposa","Dyssodia papposa","Annual","Native"
"ECAN2","Echinacea angustifolia","Echinacea angustifolia","Perennial","Native"
"ECPU","Echinacea purpurea","Echinacea purpurea","Perennial","Native"
"ECFE","Echinocereus fendleri","Echinocereus fendleri","Perennial","Native"
"ECRE","Echinocereus reichenbachii","Echinocereus reichenbachii","Perennial","Native"
"ECTR","Echinocereus triglochidiatus","Echinocereus triglochidiatus","Perennial","Native"
"ECVI2","Echinocereus viridiflorus","Echinocereus viridiflorus","Perennial","Native"
"ECCR","Echinochloa crus-galli","Echinochloa crus-galli","Annual","Introduced"
"ECFR","Echinochloa frumentacea","Echinochloa frumentacea","Annual","Introduced"
"ECMUM","Echinochloa muricata var. microstachya","Echinochloa muricata var. microstachya","Annual","Native"
"ECLO","Echinocystis lobata","Echinocystis lobata","Annual","Native"
"ECSP","Echinops sphaerocephalus","Echinops sphaerocephalus","Perennial","Introduced"
"EICR","Eichhornia crassipes","Eichhornia crassipes","Perennial","Introduced"
"ELAN","Elaeagnus angustifolia","Elaeagnus angustifolia","Perennial","Introduced"
"ELCO","Elaeagnus commutata","Elaeagnus commutata","Perennial","Native"
"ELBR5","Elatine brachysperma","Elatine brachysperma","Annual","Native"
"ELRU","Elatine rubella","Elatine rubella","Annual","Native"
"ELAC","Eleocharis acicularis","Eleocharis acicularis","Annual, Perennial","Native"
"ELAT","Eleocharis atropurpurea","Eleocharis atropurpurea","Annual","Native"
"ELBO","Eleocharis bolanderi","Eleocharis bolanderi","Perennial","Native"
"ELCO2","Eleocharis compressa","Eleocharis compressa","Perennial","Native"
"ELEN","Eleocharis engelmannii","Eleocharis engelmannii","Annual","Native"
"ELOB2","Eleocharis obtusa","Eleocharis obtusa","Annual, Perennial","Native"
"ELPA3","Eleocharis palustris","Eleocharis palustris","Perennial","Native"
"ELPA5","Eleocharis parvula","Eleocharis parvula","Annual, Perennial","Native"
"ELQU2","Eleocharis quinqueflora","Eleocharis pauciflora","Perennial","Native"
"ELRO2","Eleocharis rostellata","Eleocharis rostellata","Perennial","Native"
"ELSU2","Eleocharis suksdorfiana","Eleocharis suksdorfiana","Perennial","Native"
"ELWO","Eleocharis wolfii","Eleocharis wolfii","Perennial","Native"
"ELIN3","Eleusine indica","Eleusine indica","Annual","Introduced"
"ELNY","Ellisia nyctelea","Ellisia nyctelea","Annual","Native"
"ELBI2","Elodea bifoliata","Elodea bifoliata","Perennial","Native"
"ELCA7","Elodea canadensis","Elodea canadensis","Perennial","Native"
"ELNU2","Elodea nuttallii","Elodea nuttallii","Perennial","Native"
"ELAL7","Elymus albicans","Elymus albicans","Perennial","Native"
"ELBA3","Elymus bakeri","Elymus bakeri","Perennial","Native"
"ELCA4","Elymus canadensis","Elymus canadensis","Perennial","Native"
"ELSU","Elymus submuticus","Elymus curvatus","Perennial","Native"
"ELEL5","Elymus elymoides","Elymus elymoides","Perennial","Native"
"ELGLG","Elymus glaucus ssp. glaucus","Elymus glaucus ssp. glaucus","Perennial","Native"
"ELLA3","Elymus lanceolatus","Elymus lanceolatus","Perennial","Native"
"ELMU3","Elymus multisetus","Elymus multisetus","Perennial","Native"
"ELRE4","Elymus repens","Elymus repens","Perennial","Introduced"
"ELSC4","Elymus scribneri","Elymus scribneri","Perennial","Native"
"ELTR7","Elymus trachycaulus","Elymus trachycaulus","Perennial","Native"
"ELALL","Elymus alaskanus ssp. latiglumis","Elymus violaceus","Perennial","Native"
"ELVI3","Elymus virginicus","Elymus virginicus","Perennial","Native"
"ENNU4","Encelia nutans","Encelia nutans","Perennial","Native"
"ENNU","Enceliopsis nudicaulis","Enceliopsis nudicaulis","Perennial","Native"
"ENPE4","Engelmannia peristenia","Engelmannia pinnatifida","Perennial","Native"
"ENDE","Enneapogon desvauxii","Enneapogon desvauxii","Perennial","Native"
"EPTO","Ephedra torreyana","Ephedra torreyana","Perennial","Native"
"EPVI","Ephedra viridis","Ephedra viridis","Perennial","Native"
"EPVI","Ephedra viridis","Ephedra viridis var. viridis","Perennial","Native"
"EPCU","Ephedra cutleri","Ephedra viridis var. viscida","Perennial","Native"
"EPAN4","Epilobium anagallidifolium","Epilobium anagallidifolium","Perennial","Native"
"EPBR3","Epilobium brachycarpum","Epilobium brachycarpum","Annual","Native"
"EPCI","Epilobium ciliatum","Epilobium ciliatum","Perennial","Native"
"EPCIC","Epilobium ciliatum ssp. ciliatum","Epilobium ciliatum ssp. ciliatum","Perennial","Native"
"EPCIG","Epilobium ciliatum ssp. glandulosum","Epilobium ciliatum ssp. glandulosum","Perennial","Native"
"EPCL","Epilobium clavatum","Epilobium clavatum","Perennial","Native"
"EPHA","Epilobium halleanum","Epilobium halleanum","Perennial","Native"
"EPHI","Epilobium hirsutum","Epilobium hirsutum","Perennial","Introduced"
"EPHO","Epilobium hornemannii","Epilobium hornemannii","Perennial","Native"
"EPOR2","Epilobium oregonense","Epilobium oregonense","Perennial","Native"
"EPPA","Epilobium palustre","Epilobium palustre","Perennial","Native"
"EPLE2","Epilobium leptophyllum","Epilobium palustre var. gracile","Perennial","Native"
"EPPA","Epilobium palustre","Epilobium palustre var. palustre","Perennial","Native"
"EPSA","Epilobium saximontanum","Epilobium saximontanum","Perennial","Native"
"EPGI","Epipactis gigantea","Epipactis gigantea","Perennial","Native"
"EPHE","Epipactis helleborine","Epipactis helleborine","Perennial","Introduced"
"EQAR","Equisetum arvense","Equisetum arvense","Perennial","Native"
"EQHYA","Equisetum hyemale var. affine","Equisetum hyemale ssp. affine","Perennial","Native"
"EQLA","Equisetum laevigatum","Equisetum laevigatum","Perennial","Native"
"EQVAV","Equisetum variegatum var. variegatum","Equisetum variegatum ssp. variegatum","Perennial","Native"
"ERBA2","Eragrostis barrelieri","Eragrostis barrelieri","Annual","Introduced"
"ERCI","Eragrostis cilianensis","Eragrostis cilianensis","Annual","Introduced"
"ERCU","Eragrostis curtipedicellata","Eragrostis curtipedicellata","Perennial","Native"
"ERCU2","Eragrostis curvula","Eragrostis curvula","Perennial","Introduced"
"ERHY","Eragrostis hypnoides","Eragrostis hypnoides","Annual","Native"
"ERLU2","Eragrostis lutescens","Eragrostis lutescens","Annual","Native"
"ERMEV","Eragrostis mexicana ssp. virescens","Eragrostis mexicana ssp. virescens","Annual","Native"
"ERMI5","Eragrostis minor","Eragrostis minor","Annual","Introduced"
"ERPE","Eragrostis pectinacea","Eragrostis pectinacea","Annual, Perennial","Native"
"ERPI2","Eragrostis pilosa","Eragrostis pilosa","Annual","Introduced"
"ERSEO","Eragrostis secundiflora ssp. oxylepis","Eragrostis secundiflora ssp. oxylepis","Perennial","Native"
"ERSP","Eragrostis spectabilis","Eragrostis spectabilis","Perennial","Native"
"ERTR3","Eragrostis trichodes","Eragrostis trichodes","Perennial","Native"
"ARCO5","Arenaria congesta","Eremogone congesta","Perennial","Native"
"ARCOC4","Arenaria congesta var. congesta","Eremogone congesta var. congesta","Perennial","Native"
"ARCOL","Arenaria congesta var. lithophila","Eremogone congesta var. lithophila","Perennial","Native"
"AREA","Arenaria eastwoodiae","Eremogone eastwoodiae","Perennial","Native"
"AREAA","Arenaria eastwoodiae var. adenophora","Eremogone eastwoodiae var. adenophora","Perennial","Native"
"AREAE","Arenaria eastwoodiae var. eastwoodiae","Eremogone eastwoodiae var. eastwoodiae","Perennial","Native"
"ARFE3","Arenaria fendleri","Eremogone fendleri","Perennial","Native"
"ARHO4","Arenaria hookeri","Eremogone hookeri","Perennial","Native"
"ARHOH3","Arenaria hookeri ssp. hookeri","Eremogone hookeri var. hookeri","Perennial","Native"
"ARHOP","Arenaria hookeri ssp. pinetorum","Eremogone hookeri var. pinetorum","Perennial","Native"
"ERTR13","Eremopyrum triticeum","Eremopyrum triticeum","Annual","Introduced"
"CAMI23","Camissonia minor","Eremothera minor","Annual","Native"
"ERDI2","Eriastrum diffusum","Eriastrum diffusum","Annual","Native"
"ERDID","Ericameria discoidea var. discoidea","Ericameria discoidea var. discoidea","Perennial","Native"
"ERNA10","Ericameria nauseosa","Ericameria nauseosa","Perennial","Native"
"ERNAB2","Ericameria nauseosa ssp. nauseosa var. bigelovii","Ericameria nauseosa var. bigelovii","Perennial","Native"
"ERNAG","Ericameria nauseosa ssp. nauseosa var. glabrata","Ericameria nauseosa var. graveolens","Perennial","Native"
"ERNAJ","Ericameria nauseosa ssp. consimilis var. juncea","Ericameria nauseosa var. juncea","Perennial","Native"
"ERNAL","Ericameria nauseosa ssp. consimilis var. leiosperma","Ericameria nauseosa var. leiosperma","Perennial","Native"
"ERNAN3","Ericameria nauseosa ssp. nauseosa","Ericameria nauseosa var. nauseosa","Perennial","Native"
"ERNAO","Ericameria nauseosa ssp. consimilis var. oreophila","Ericameria nauseosa var. oreophila","Perennial","Native"
"ERNAS2","Ericameria nauseosa ssp. nauseosa var. speciosa ","Ericameria nauseosa var. speciosa","Perennial","Native"
"ERPA30","Ericameria parryi","Ericameria parryi","Perennial","Native"
"ERPAA4","Ericameria parryi var. attenuata","Ericameria parryi var. attenuata","Perennial","Native"
"ERPAH","Ericameria parryi var. howardii","Ericameria parryi var. howardii","Perennial","Native"
"ERPAP10","Ericameria parryi var. parryi","Ericameria parryi var. parryi","Perennial","Native"
"ERAC2","Erigeron acris","Erigeron acris","Annual, Biennial, Perennial","Native"
"ERAP","Erigeron aphanactis","Erigeron aphanactis","Biennial, Perennial","Native"
"ERAR3","Erigeron argentatus","Erigeron argentatus","Perennial","Native"
"ERBE2","Erigeron bellidiastrum","Erigeron bellidiastrum","Annual","Native"
"ERCA2","Erigeron caespitosus","Erigeron caespitosus","Perennial","Native"
"ERCA4","Erigeron canus","Erigeron canus","Perennial","Native"
"ERCO4","Erigeron compositus","Erigeron compositus","Perennial","Native"
"ERCO27","Erigeron concinnus","Erigeron concinnus","Perennial","Native"
"ERCO15","Erigeron consimilis","Erigeron consimilis","Perennial","Native"
"ERCO6","Erigeron coulteri","Erigeron coulteri","Perennial","Native"
"ERDI4","Erigeron divergens","Erigeron divergens","Biennial","Native"
"EREAE","Erigeron eatonii var. eatonii","Erigeron eatonii var. eatonii","Perennial","Native"
"EREL9","Erigeron elatior","Erigeron elatior","Perennial","Native"
"EREN","Erigeron engelmannii","Erigeron engelmannii","Perennial","Native"
"EREX4","Erigeron eximius","Erigeron eximius","Perennial","Native"
"ERFL","Erigeron flagellaris","Erigeron flagellaris","Biennial","Native"
"ERFO3","Erigeron formosissimus","Erigeron formosissimus","Perennial","Native"
"ERGL2","Erigeron glabellus","Erigeron glabellus","Perennial, Biennial","Native"
