"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"1","ABLA","ABBI3","FQA_SciName","Pinaceae","Abies bifolia A. Murray bis","Abies bifolia","Abies","bifolia",NA,"5",5,"Native","Ackerfield 2015","Abies lasiocarpa","Abies bifolia","Perennial"
"2","ABCO","ABCO","FQA_SciName","Pinaceae","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","Abies concolor","Abies","concolor",NA,"5",5,"Native","Ackerfield 2015","Abies concolor","Abies concolor","Perennial"
"3","ABEL","ABEL","FQA_SciName","Nyctaginaceae","Abronia elliptica A. Nelson","Abronia elliptica","Abronia","elliptica",NA,"4",4,"Native","Ackerfield 2015","Abronia elliptica","Abronia elliptica","Perennial"
"4","ABFR2","ABFR2","FQA_SciName","Nyctaginaceae","Abronia fragrans Nutt. ex Hook.","Abronia fragrans","Abronia","fragrans",NA,"6",6,"Native","Ackerfield 2015","Abronia fragrans","Abronia fragrans","Perennial"
"5","ABAR","ABAR","National_SciName","Nyctaginaceae","Abronia glabrifolia Standl.","Abronia glabrifolia","Abronia","glabrifolia",NA,"9",9,"Native","Ackerfield 2015","Abronia argillosa","Abronia glabrifolia","Perennial"
"6","ABNAN","ABNAN","FQA_SciName","Nyctaginaceae","Abronia nana S. Watson var. nana","Abronia nana var. nana","Abronia","nana","var. nana","9",9,"Native","Ackerfield 2015","Abronia nana var. nana","Abronia nana var. nana","Perennial"
"7","ABIN","ABIN","FQA_SciName","Malvaceae","Abutilon incanum (Link) Sweet","Abutilon incanum","Abutilon","incanum",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Abutilon incanum","Abutilon incanum","Perennial"
"8","ABPA3","ABPA3","FQA_SciName","Malvaceae","Abutilon parvulum A. Gray","Abutilon parvulum","Abutilon","parvulum",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Abutilon parvulum","Abutilon parvulum","Perennial"
"9","ABTH","ABTH","FQA_SciName","Malvaceae","Abutilon theophrasti Medik.","Abutilon theophrasti","Abutilon","theophrasti",NA,"0",0,"Non-native","Ackerfield 2015","Abutilon theophrasti","Abutilon theophrasti","Annual"
"10","ACGLG2","ACGLG2","FQA_SciName","Sapindaceae","Acer glabrum Torr. var. glabrum","Acer glabrum var. glabrum","Acer","glabrum","var. glabrum","7",7,"Native","Ackerfield 2015","Acer glabrum var. glabrum","Acer glabrum var. glabrum","Perennial"
"11","ACGRG","ACGRG","FQA_SciName","Sapindaceae","Acer grandidentatum Nutt. var. grandidentatum","Acer grandidentatum var. grandidentatum","Acer","grandidentatum","var. grandidentatum","10",10,"Native","Ackerfield 2015","Acer grandidentatum var. grandidentatum","Acer grandidentatum var. grandidentatum","Perennial"
"12","ACNE2","ACNE2","FQA_SciName","Sapindaceae","Acer negundo L.","Acer negundo","Acer","negundo",NA,"4",4,"Native","Ackerfield 2015","Acer negundo","Acer negundo","Perennial"
"13","ACNEI2","ACNEI2","FQA_SciName","Sapindaceae","Acer negundo L. var. interius (Britton) Sarg.","Acer negundo var. interius","Acer","negundo","var. interius","4",4,"Native","Ackerfield 2015","Acer negundo var. interius","Acer negundo var. interius","Perennial"
"14","ACNEV","ACNEV","FQA_SciName","Sapindaceae","Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger","Acer negundo var. violaceum","Acer","negundo","var. violaceum","4",4,"Native","Ackerfield 2015","Acer negundo var. violaceum","Acer negundo var. violaceum","Perennial"
"15","ACFI","ACFI","FQA_SciName","Asteraceae","Achillea filipendulina Lam.","Achillea filipendulina","Achillea","filipendulina",NA,"0",0,"Non-native","Ackerfield 2015","Achillea filipendulina","Achillea filipendulina","Perennial"
"16","ACMI2","ACMI2","FQA_SciName","Asteraceae","Achillea millefolium L.","Achillea millefolium","Achillea","millefolium",NA,"4",4,"Native","Ackerfield 2015","Achillea millefolium","Achillea millefolium","Perennial"
"17","ACPT","ACPT","FQA_SciName","Asteraceae","Achillea ptarmica L.","Achillea ptarmica","Achillea","ptarmica",NA,"0",0,"Non-native","Ackerfield 2015","Achillea ptarmica","Achillea ptarmica","Perennial"
"18","ACBL","ACBL","FQA_SciName","Poaceae","Achnatherum ×bloomeri (Bol.) Barkworth","Achnatherum ×bloomeri","Achnatherum","×bloomeri",NA,"10",10,"Native","Ackerfield 2015","Achnatherum ×bloomeri","Achnatherum ×bloomeri","Perennial"
"19","ACAR14","ACAR14","FQA_SciName","Poaceae","Achnatherum aridum (M.E. Jones) Barkworth","Achnatherum aridum","Achnatherum","aridum",NA,"7",7,"Native","Ackerfield 2015","Achnatherum aridum","Achnatherum aridum","Perennial"
"20","ACHY","ACHY","FQA_SciName","Poaceae","Achnatherum hymenoides (Roem. & Schult.) Barkworth","Achnatherum hymenoides","Achnatherum","hymenoides",NA,"5",5,"Native","Ackerfield 2015","Achnatherum hymenoides","Achnatherum hymenoides","Perennial"
"21","ACLE9","ACLE9","FQA_SciName","Poaceae","Achnatherum lettermanii (Vasey) Barkworth","Achnatherum lettermanii","Achnatherum","lettermanii",NA,"6",6,"Native","Ackerfield 2015","Achnatherum lettermanii","Achnatherum lettermanii","Perennial"
"22","ACNE9","ACNE9","FQA_SciName","Poaceae","Achnatherum nelsonii (Scribn.) Barkworth","Achnatherum nelsonii","Achnatherum","nelsonii",NA,"6",6,"Native","Ackerfield 2015","Achnatherum nelsonii","Achnatherum nelsonii","Perennial"
"23","ACPE13","ACPE13","FQA_SciName","Poaceae","Achnatherum perplexum Hoge & Barkworth","Achnatherum perplexum","Achnatherum","perplexum",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Achnatherum perplexum","Achnatherum perplexum","Perennial"
"24","ACPI2","ACPI2","FQA_SciName","Poaceae","Achnatherum pinetorum (M.E. Jones) Barkworth","Achnatherum pinetorum","Achnatherum","pinetorum",NA,"6",6,"Native","Ackerfield 2015","Achnatherum pinetorum","Achnatherum pinetorum","Perennial"
"25","ACRI8","ACRI8","FQA_SciName","Poaceae","Achnatherum richardsonii (Link) Barkworth","Achnatherum richardsonii","Achnatherum","richardsonii",NA,"6",6,"Native","Ackerfield 2015","Achnatherum richardsonii","Achnatherum richardsonii","Perennial"
"26","ACRO7","ACRO7","FQA_SciName","Poaceae","Achnatherum robustum (Vasey) Barkworth","Achnatherum robustum","Achnatherum","robustum",NA,"3",3,"Native","Ackerfield 2015","Achnatherum robustum","Achnatherum robustum","Perennial"
"27","ACSC11","ACSC11","FQA_SciName","Poaceae","Achnatherum scribneri (Vasey) Barkworth","Achnatherum scribneri","Achnatherum","scribneri",NA,"7",7,"Native","Ackerfield 2015","Achnatherum scribneri","Achnatherum scribneri","Perennial"
"28","ACWE3","ACWE3","FQA_SciName","Poaceae","Achnatherum webberi (Thurb.) Barkworth","Achnatherum webberi","Achnatherum","webberi",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Achnatherum webberi","Achnatherum webberi","Perennial"
"29","ACCO4","ACCO4","FQA_SciName","Ranunculaceae","Aconitum columbianum Nutt.","Aconitum columbianum","Aconitum","columbianum",NA,"8",8,"Native","Ackerfield 2015","Aconitum columbianum","Aconitum columbianum","Perennial"
"30","ACCA4","ACCA4","FQA_SciName","Acoraceae","Acorus calamus L.","Acorus calamus","Acorus","calamus",NA,"5",5,"Native","Ackerfield 2015","Acorus calamus","Acorus calamus","Perennial"
"31","ACRE3","ACRE3","FQA_SciName","Asteraceae","Acroptilon repens (L.) DC.","Acroptilon repens","Acroptilon","repens",NA,"0",0,"Non-native","Ackerfield 2015","Acroptilon repens","Acroptilon repens","Perennial"
"32","ACRU2","ACRU2","FQA_SciName","Ranunculaceae","Actaea rubra (Aiton) Willd.","Actaea rubra","Actaea","rubra",NA,"9",9,"Native","Ackerfield 2015","Actaea rubra","Actaea rubra","Perennial"
"33","ADAL","ADAL","FQA_SciName","Pteridaceae","Adiantum aleuticum (Rupr.) Paris","Adiantum aleuticum","Adiantum","aleuticum",NA,"8",8,"Native","Ackerfield 2015","Adiantum aleuticum","Adiantum aleuticum","Perennial"
"34","ADCA","ADCA","FQA_SciName","Pteridaceae","Adiantum capillus-veneris L.","Adiantum capillus-veneris","Adiantum","capillus-veneris",NA,"9",9,"Native","Ackerfield 2015","Adiantum capillus-veneris","Adiantum capillus-veneris","Perennial"
"35","ADMO","ADMO","FQA_SciName","Adoxaceae","Adoxa moschatellina L.","Adoxa moschatellina","Adoxa","moschatellina",NA,"10",10,"Native","Ackerfield 2015","Adoxa moschatellina","Adoxa moschatellina","Perennial"
"36","AECY","AECY","FQA_SciName","Poaceae","Aegilops cylindrica Host","Aegilops cylindrica","Aegilops","cylindrica",NA,"0",0,"Non-native","Ackerfield 2015","Aegilops cylindrica","Aegilops cylindrica","Annual"
"37","AGTEP2","AGTEP2","FQA_SciName","Orobanchaceae","Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell","Agalinis tenuifolia var. parviflora","Agalinis","tenuifolia","var. parviflora","10",10,"Native","Ackerfield 2015","Agalinis tenuifolia var. parviflora","Agalinis tenuifolia var. parviflora","Annual"
"38","AGFO","AGFO","FQA_SciName","Lamiaceae","Agastache foeniculum (Pursh) Kuntze","Agastache foeniculum","Agastache","foeniculum",NA,"3",3,"Native","Ackerfield 2015","Agastache foeniculum","Agastache foeniculum","Perennial"
"39","AGPA","AGPA","FQA_SciName","Lamiaceae","Agastache pallidiflora (A. Heller) Rydb","Agastache pallidiflora","Agastache","pallidiflora",NA,"5",5,"Native","Ackerfield 2015","Agastache pallidiflora","Agastache pallidiflora","Perennial"
"40","AGUR","AGUR","FQA_SciName","Lamiaceae","Agastache urticifolia (Benth.) Kuntze","Agastache urticifolia","Agastache","urticifolia",NA,"5",5,"Native","Ackerfield 2015","Agastache urticifolia","Agastache urticifolia","Perennial"
"41","AGHE5","AGHE5","FQA_SciName","Asteraceae","Ageratina herbacea (A. Gray) King & H. Rob.","Ageratina herbacea","Ageratina","herbacea",NA,"6",6,"Native","Ackerfield 2015","Ageratina herbacea","Ageratina herbacea","Perennial"
"42","AGAU2","AGAU2","FQA_SciName","Asteraceae","Agoseris aurantiaca (Hook.) Greene","Agoseris aurantiaca","Agoseris","aurantiaca",NA,"6",6,"Native","Ackerfield 2015","Agoseris aurantiaca","Agoseris aurantiaca","Perennial"
"43","AGAUA","AGAUA","FQA_SciName","Asteraceae","Agoseris aurantiaca (Hook.) Greene var. aurantiaca","Agoseris aurantiaca var. aurantiaca","Agoseris","aurantiaca","var. aurantiaca","6",6,"Native","Ackerfield 2015","Agoseris aurantiaca var. aurantiaca","Agoseris aurantiaca var. aurantiaca","Perennial"
"44","AGAUP","AGAUP","FQA_SciName","Asteraceae","Agoseris aurantiaca (Hook.) Greene var. purpurea (A. Gray) Cronquist","Agoseris aurantiaca var. purpurea","Agoseris","aurantiaca","var. purpurea","6",6,"Native","Ackerfield 2015","Agoseris aurantiaca var. purpurea","Agoseris aurantiaca var. purpurea","Perennial"
"45","AGGL","AGGL","FQA_SciName","Asteraceae","Agoseris glauca (Pursh) Raf.","Agoseris glauca","Agoseris","glauca",NA,"7",7,"Native","Ackerfield 2015","Agoseris glauca","Agoseris glauca","Perennial"
"46","AGGLD","AGGLD","FQA_SciName","Asteraceae","Agoseris glauca (Pursh) Raf. var. dasycephala (Torr. & A. Gray) Jeps.","Agoseris glauca var. dasycephala","Agoseris","glauca","var. dasycephala","7",7,"Native","Ackerfield 2015","Agoseris glauca var. dasycephala","Agoseris glauca var. dasycephala","Perennial"
"47","AGGLG","AGGLG","FQA_SciName","Asteraceae","Agoseris glauca (Pursh) Raf. var. glauca","Agoseris glauca var. glauca","Agoseris","glauca","var. glauca","7",7,"Native","Ackerfield 2015","Agoseris glauca var. glauca","Agoseris glauca var. glauca","Perennial"
"48","AGHEH","AGHEH","FQA_SciName","Asteraceae","Agoseris heterophylla (Nutt.) Greene var. heterophylla","Agoseris heterophylla var. heterophylla","Agoseris","heterophylla","var. heterophylla","Not Assigned",NA,"Native","Ackerfield 2015","Agoseris heterophylla var. heterophylla","Agoseris heterophylla var. heterophylla","Annual"
"49","AGGLL","AGPA14","FQA_SciName","Asteraceae","Agoseris parviflora (Nutt.) Greene","Agoseris parviflora","Agoseris","parviflora",NA,"7",7,"Native","Ackerfield 2015","Agoseris glauca var. laciniata","Agoseris parviflora","Perennial"
"50","AGST","AGST","FQA_SciName","Rosaceae","Agrimonia striata Michx.","Agrimonia striata","Agrimonia","striata",NA,"7",7,"Native","Ackerfield 2015","Agrimonia striata","Agrimonia striata","Perennial"
"51","AGCR","AGCR","FQA_SciName","Poaceae","Agropyron cristatum (L.) Gaertn.","Agropyron cristatum","Agropyron","cristatum",NA,"0",0,"Non-native","Ackerfield 2015","Agropyron cristatum","Agropyron cristatum","Perennial"
"52","AGFR","AGFR","FQA_SciName","Poaceae","Agropyron fragile (Roth) P. Candargy","Agropyron fragile","Agropyron","fragile",NA,"0",0,"Non-native","Ackerfield 2015","Agropyron fragile","Agropyron fragile","Perennial"
"53","AGGI","AGGI","FQA_SciName","Caryophyllaceae","Agrostemma githago L.","Agrostemma githago","Agrostemma","githago",NA,"0",0,"Non-native","Ackerfield 2015","Agrostemma githago","Agrostemma githago","Annual"
"54","AGEX","AGEX","FQA_SciName","Poaceae","Agrostis exarata Trin.","Agrostis exarata","Agrostis","exarata",NA,"7",7,"Native","Ackerfield 2015","Agrostis exarata","Agrostis exarata","Perennial"
"55","AGGI2","AGGI2","FQA_SciName","Poaceae","Agrostis gigantea Roth","Agrostis gigantea","Agrostis","gigantea",NA,"0",0,"Non-native","Ackerfield 2015","Agrostis gigantea","Agrostis gigantea","Perennial"
"56","AGID","AGID","FQA_SciName","Poaceae","Agrostis idahoensis Nash","Agrostis idahoensis","Agrostis","idahoensis",NA,"7",7,"Native","Ackerfield 2015","Agrostis idahoensis","Agrostis idahoensis","Perennial"
"57","AGME3","AGME3","FQA_SciName","Poaceae","Agrostis mertensii Trin.","Agrostis mertensii","Agrostis","mertensii",NA,"6",6,"Native","Ackerfield 2015","Agrostis mertensii","Agrostis mertensii","Perennial"
"58","AGSC5","AGSC5","FQA_SciName","Poaceae","Agrostis scabra Willd.","Agrostis scabra","Agrostis","scabra",NA,"4",4,"Native","Ackerfield 2015","Agrostis scabra","Agrostis scabra","Perennial"
"59","AGST2","AGST2","FQA_SciName","Poaceae","Agrostis stolonifera L.","Agrostis stolonifera","Agrostis","stolonifera",NA,"0",0,"Non-native","Ackerfield 2015","Agrostis stolonifera","Agrostis stolonifera","Perennial"
"60","AGVA","AGVA","FQA_SciName","Poaceae","Agrostis variabilis Rydb.","Agrostis variabilis","Agrostis","variabilis",NA,"4",4,"Native","Ackerfield 2015","Agrostis variabilis","Agrostis variabilis","Perennial"
"61","AIAL","AIAL","FQA_SciName","Simaroubaceae","Ailanthus altissima (Mill.) Swingle","Ailanthus altissima","Ailanthus","altissima",NA,"0",0,"Non-native","Ackerfield 2015","Ailanthus altissima","Ailanthus altissima","Perennial"
"62","ALRO3","ALRO3","FQA_SciName","Malvaceae","Alcea rosea L.","Alcea rosea","Alcea","rosea",NA,"0",0,"Non-native","Ackerfield 2015","Alcea rosea","Alcea rosea","Biennial, Perennial"
"63","ALAC2","ALAC2","FQA_SciName","Apiaceae","Aletes acaulis (Torr.) J.M. Coult. & Rose","Aletes acaulis","Aletes","acaulis",NA,"7",7,"Native","Ackerfield 2015","Aletes acaulis","Aletes acaulis","Perennial"
"64","ALHU","ALHU","FQA_SciName","Apiaceae","Aletes humilis J.M. Coult. & Rose","Aletes humilis","Aletes","humilis",NA,"7",7,"Native","Ackerfield 2015","Aletes humilis","Aletes humilis","Perennial"
"65","ALMAB","ALMAB","FQA_SciName","Apiaceae","Aletes macdougalii J.M. Coult. & Rose ssp. breviradiatus W.L. Theobald & C.C. Tseng","Aletes macdougalii ssp. breviradiatus","Aletes","macdougalii","ssp. breviradiatus","10",10,"Native","USDA PLANTS","Aletes macdougalii ssp. breviradiatus",NA,"Perennial"
"66","ALMA12","ALMA12","FQA_SciName","Fabaceae","Alhagi maurorum Medik.","Alhagi maurorum","Alhagi","maurorum",NA,"0",0,"Non-native","Ackerfield 2015","Alhagi maurorum","Alhagi maurorum","Perennial"
"67","ALHA6","ALHA6","FQA_SciName","Polemoniaceae","Aliciella haydenii (A. Gray) J.M. Porter","Aliciella haydenii","Aliciella","haydenii",NA,"4",4,"Native","Ackerfield 2015","Aliciella haydenii","Aliciella haydenii","Annual, Biennial"
"68","ALLE7","ALLE7","FQA_SciName","Polemoniaceae","Aliciella leptomeria (A. Gray) J.M. Porter","Aliciella leptomeria","Aliciella","leptomeria",NA,"6",6,"Native","Ackerfield 2015","Aliciella leptomeria","Aliciella leptomeria","Annual"
"69","ALMC","ALMC","FQA_SciName","Polemoniaceae","Aliciella mcvickerae (M.E. Jones) J.M. Porter","Aliciella mcvickerae","Aliciella","mcvickerae",NA,"6",6,"Native","Ackerfield 2015","Aliciella mcvickerae","Aliciella mcvickerae","Annual, Biennial"
"70","ALMI10","ALMI10","FQA_SciName","Polemoniaceae","Aliciella micromeria (A. Gray) J.M. Porter","Aliciella micromeria","Aliciella","micromeria",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Aliciella micromeria","Aliciella micromeria","Annual"
"71","ALPE11","ALPE11","FQA_SciName","Polemoniaceae","Aliciella penstemonoides (M.E. Jones) J.M. Porter","Aliciella penstemonoides","Aliciella","penstemonoides",NA,"10",10,"Native","Ackerfield 2015","Aliciella penstemonoides","Aliciella penstemonoides","Biennial, Perennial"
"72","ALPI2","ALPI2","FQA_SciName","Polemoniaceae","Aliciella pinnatifida (Nutt. ex A. Gray) J.M. Porter","Aliciella pinnatifida","Aliciella","pinnatifida",NA,"5",5,"Native","Ackerfield 2015","Aliciella pinnatifida","Aliciella pinnatifida","Annual, Biennial, Perennial"
"73","ALSE11","ALSE11","FQA_SciName","Polemoniaceae","Aliciella sedifolia (Brandegee) J.M. Porter","Aliciella sedifolia","Aliciella","sedifolia",NA,"10",10,"Native","Ackerfield 2015","Aliciella sedifolia","Aliciella sedifolia","Annual"
"74","ALST12","ALST12","FQA_SciName","Polemoniaceae","Aliciella stenothyrsa (A. Gray) J.M. Porter","Aliciella stenothyrsa","Aliciella","stenothyrsa",NA,"9",9,"Native","Ackerfield 2015","Aliciella stenothyrsa","Aliciella stenothyrsa","Perennial"
"75","ALTR14","ALTR14","FQA_SciName","Polemoniaceae","Aliciella triodon (Eastw.) Brand","Aliciella triodon","Aliciella","triodon",NA,"9",9,"Native","Ackerfield 2015","Aliciella triodon","Aliciella triodon","Annual"
"76","ALGR","ALGR","FQA_SciName","Alismataceae","Alisma gramineum Lej.","Alisma gramineum","Alisma","gramineum",NA,"4",4,"Native","Ackerfield 2015","Alisma gramineum","Alisma gramineum","Perennial"
"77","ALSU","ALSU","FQA_SciName","Alismataceae","Alisma subcordatum Raf.","Alisma subcordatum","Alisma","subcordatum",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Alisma subcordatum","Alisma subcordatum","Perennial"
"78","ALTR7","ALTR7","FQA_SciName","Alismataceae","Alisma triviale Pursh","Alisma triviale","Alisma","triviale",NA,"3",3,"Native","Ackerfield 2015","Alisma triviale","Alisma triviale","Perennial"
"79","ALPE4","ALPE4","FQA_SciName","Brassicaceae","Alliaria petiolata (M. Bieb.) Cavara & Grande","Alliaria petiolata","Alliaria","petiolata",NA,"0",0,"Non-native","Ackerfield 2015","Alliaria petiolata","Alliaria petiolata","Annual, Biennial"
"80","ALIN","ALIN","FQA_SciName","Nyctaginaceae","Allionia incarnata L.","Allionia incarnata","Allionia","incarnata",NA,"6",6,"Native","Ackerfield 2015","Allionia incarnata","Allionia incarnata","Annual, Perennial"
"81","ALAC4","ALAC4","FQA_SciName","Alliaceae","Allium acuminatum Hook.","Allium acuminatum","Allium","acuminatum",NA,"8",8,"Native","Ackerfield 2015","Allium acuminatum","Allium acuminatum","Perennial"
"82","ALBR","ALBR","FQA_SciName","Alliaceae","Allium brandegeei S. Watson","Allium brandegeei","Allium","brandegeei",NA,"9",9,"Native","Ackerfield 2015","Allium brandegeei","Allium brandegeei","Perennial"
"83","ALBR2","ALBR2","FQA_SciName","Alliaceae","Allium brevistylum S. Watson","Allium brevistylum","Allium","brevistylum",NA,"8",8,"Native","Ackerfield 2015","Allium brevistylum","Allium brevistylum","Perennial"
"84","ALCE2","ALCE2","FQA_SciName","Alliaceae","Allium cernuum Roth","Allium cernuum","Allium","cernuum",NA,"5",5,"Native","Ackerfield 2015","Allium cernuum","Allium cernuum","Perennial"
"85","ALGE","ALGE","FQA_SciName","Alliaceae","Allium geyeri S. Watson","Allium geyeri","Allium","geyeri",NA,"5",5,"Native","Ackerfield 2015","Allium geyeri","Allium geyeri","Perennial"
"86","ALGEG","ALGEG","FQA_SciName","Alliaceae","Allium geyeri S. Watson var. geyeri","Allium geyeri var. geyeri","Allium","geyeri","var. geyeri","5",5,"Native","Ackerfield 2015","Allium geyeri var. geyeri","Allium geyeri var. geyeri","Perennial"
"87","ALGET","ALGET","FQA_SciName","Alliaceae","Allium geyeri S. Watson var. tenerum M.E. Jones","Allium geyeri var. tenerum","Allium","geyeri","var. tenerum","5",5,"Native","Ackerfield 2015","Allium geyeri var. tenerum","Allium geyeri var. tenerum","Perennial"
"88","ALMA4","ALMA4","FQA_SciName","Alliaceae","Allium macropetalum Rydb.","Allium macropetalum","Allium","macropetalum",NA,"7",7,"Native","Ackerfield 2015","Allium macropetalum","Allium macropetalum","Perennial"
"89","ALNE","ALNE","FQA_SciName","Alliaceae","Allium nevadense S. Watson","Allium nevadense","Allium","nevadense",NA,"8",8,"Native","Ackerfield 2015","Allium nevadense","Allium nevadense","Perennial"
"90","ALSA2","ALSA2","FQA_SciName","Alliaceae","Allium sativum L.","Allium sativum","Allium","sativum",NA,"0",0,"Non-native","Ackerfield 2015","Allium sativum","Allium sativum","Perennial"
"91","ALSCS","ALSCS","FQA_SciName","Alliaceae","Allium schoenoprasum L.","Allium schoenoprasum","Allium","schoenoprasum",NA,"7",7,"Native","Ackerfield 2015","Allium schoenoprasum","Allium schoenoprasum","Perennial"
"92","ALTE","ALTE","FQA_SciName","Alliaceae","Allium textile A. Nelson & J.F. Macbr.","Allium textile","Allium","textile",NA,"5",5,"Native","Ackerfield 2015","Allium textile","Allium textile","Perennial"
"93","ALPA14","ALPA14","FQA_SciName","Asteraceae","Almutaster pauciflorus (Nutt.) A. Löve & D. Löve","Almutaster pauciflorus","Almutaster","pauciflorus",NA,"4",4,"Native","Ackerfield 2015","Almutaster pauciflorus","Almutaster pauciflorus","Perennial"
"94","ALINT","ALINT","FQA_SciName","Betulaceae","Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung","Alnus incana ssp. tenuifolia","Alnus","incana","ssp. tenuifolia","6",6,"Native","Ackerfield 2015","Alnus incana ssp. tenuifolia","Alnus incana ssp. tenuifolia","Perennial"
"95","ALAE","ALAE","FQA_SciName","Poaceae","Alopecurus aequalis Sobol.","Alopecurus aequalis","Alopecurus","aequalis",NA,"4",4,"Native","Ackerfield 2015","Alopecurus aequalis","Alopecurus aequalis","Perennial"
"96","ALAR","ALAR","FQA_SciName","Poaceae","Alopecurus arundinaceus Poir.","Alopecurus arundinaceus","Alopecurus","arundinaceus",NA,"0",0,"Non-native","Ackerfield 2015","Alopecurus arundinaceus","Alopecurus arundinaceus","Perennial"
"97","ALCA4","ALCA4","FQA_SciName","Poaceae","Alopecurus carolinianus Walter","Alopecurus carolinianus","Alopecurus","carolinianus",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Alopecurus carolinianus","Alopecurus carolinianus","Annual"
"98","ALGE2","ALGE2","FQA_SciName","Poaceae","Alopecurus geniculatus L.","Alopecurus geniculatus","Alopecurus","geniculatus",NA,"0",0,"Non-native","Ackerfield 2015","Alopecurus geniculatus","Alopecurus geniculatus","Perennial"
"99","ALMA8","ALMA8","FQA_SciName","Poaceae","Alopecurus magellanicus Lam.","Alopecurus magellanicus","Alopecurus","magellanicus",NA,"7",7,"Native","Ackerfield 2015","Alopecurus magellanicus","Alopecurus magellenicus","Perennial"
"100","ALPR3","ALPR3","FQA_SciName","Poaceae","Alopecurus pratensis L.","Alopecurus pratensis","Alopecurus","pratensis",NA,"0",0,"Non-native","Ackerfield 2015","Alopecurus pratensis","Alopecurus pratensis","Perennial"
"101","ALAL3","ALAL3","FQA_SciName","Brassicaceae","Alyssum alyssoides (L.) L.","Alyssum alyssoides","Alyssum","alyssoides",NA,"0",0,"Non-native","Ackerfield 2015","Alyssum alyssoides","Alyssum alyssoides","Annual, Biennial"
"102","ALDE","ALDE","FQA_SciName","Brassicaceae","Alyssum desertorum Stapf","Alyssum desertorum","Alyssum","desertorum",NA,"0",0,"Non-native","Ackerfield 2015","Alyssum desertorum","Alyssum desertorum","Annual"
"103","ALMU","ALMU","FQA_SciName","Brassicaceae","Alyssum murale Waldst. & Kit.","Alyssum murale","Alyssum","murale",NA,"0",0,"Non-native","Ackerfield 2015","Alyssum murale","Alyssum murale","Perennial"
"104","ALSI8","ALSI8","FQA_SciName","Brassicaceae","Alyssum simplex Rudolphi","Alyssum simplex","Alyssum","simplex",NA,"0",0,"Non-native","Ackerfield 2015","Alyssum simplex","Alyssum simplex","Annual"
"105","AMAL","AMAL","FQA_SciName","Amaranthaceae","Amaranthus albus L.","Amaranthus albus","Amaranthus","albus",NA,"0",0,"Non-native","Ackerfield 2015","Amaranthus albus","Amaranthus albus","Annual"
"106","AMAR","AMAR","FQA_SciName","Amaranthaceae","Amaranthus arenicola I.M. Johnst.","Amaranthus arenicola","Amaranthus","arenicola",NA,"5",5,"Native","Ackerfield 2015","Amaranthus arenicola","Amaranthus arenicola","Annual"
"107","AMBL","AMBL","FQA_SciName","Amaranthaceae","Amaranthus blitoides S. Watson","Amaranthus blitoides","Amaranthus","blitoides",NA,"4",4,"Native","Ackerfield 2015","Amaranthus blitoides","Amaranthus blitoides","Annual"
"108","AMHY","AMHY","FQA_SciName","Amaranthaceae","Amaranthus hybridus L.","Amaranthus hybridus","Amaranthus","hybridus",NA,"3",3,"Native","Ackerfield 2015","Amaranthus hybridus","Amaranthus hybridus","Annual"
"109","AMPA","AMPA","FQA_SciName","Amaranthaceae","Amaranthus palmeri S. Watson","Amaranthus palmeri","Amaranthus","palmeri",NA,"3",3,"Native","Ackerfield 2015","Amaranthus palmeri","Amaranthus palmeri","Annual"
"110","AMPO2","AMPO2","FQA_SciName","Amaranthaceae","Amaranthus powellii S. Watson","Amaranthus powellii","Amaranthus","powellii",NA,"5",5,"Native","Ackerfield 2015","Amaranthus powellii","Amaranthus powellii","Annual"
"111","AMRE","AMRE","FQA_SciName","Amaranthaceae","Amaranthus retroflexus L.","Amaranthus retroflexus","Amaranthus","retroflexus",NA,"0",0,"Non-native","Ackerfield 2015","Amaranthus retroflexus","Amaranthus retroflexus","Annual"
"112","AMWR","AMWR","FQA_SciName","Amaranthaceae","Amaranthus wrightii S. Watson","Amaranthus wrightii","Amaranthus","wrightii",NA,"6",6,"Native","Ackerfield 2015","Amaranthus wrightii","Amaranthus wrightii","Annual"
"113","AMAC2","AMAC2","FQA_SciName","Asteraceae","Ambrosia acanthicarpa Hook.","Ambrosia acanthicarpa","Ambrosia","acanthicarpa",NA,"4",4,"Native","Ackerfield 2015","Ambrosia acanthicarpa","Ambrosia acanthicarpa","Annual"
