"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"2032","SAOR2","MIOR2","FQA_SciName","Saxifragaceae","Micranthes oregana (Howell) Small","Micranthes oregana","Micranthes","oregana",NA,"8",8,"Native","Ackerfield 2015","Saxifraga oregana","Micranthes oregana","Perennial"
"2033","SARH2","MIRH","FQA_SciName","Saxifragaceae","Micranthes rhomboidea (Greene) Small","Micranthes rhomboidea","Micranthes","rhomboidea",NA,"8",8,"Native","Ackerfield 2015","Saxifraga rhomboidea","Micranthes rhomboidea","Perennial"
"2034","MOPU3","MOPU3","National_SciName","Chenopodiaceae","Micromonolepis pusilla (Torr. Ex S. Watson) Ulbr.","Micromonolepis pusilla","Micromonolepis","pusilla",NA,"1",1,"Native","Ackerfield 2015","Monolepis pusilla","Micromonolepis pusilla","Annual"
"2035","MINU","MINU","FQA_SciName","Asteraceae","Microseris nutans (Hook.) Sch. Bip.","Microseris nutans","Microseris","nutans",NA,"5",5,"Native","Ackerfield 2015","Microseris nutans","Microseris nutans","Perennial"
"2036","MIGR","MIGR","FQA_SciName","Polemoniaceae","Microsteris gracilis (Hook.) Greene","Microsteris gracilis","Microsteris","gracilis",NA,"7",7,"Native","Ackerfield 2015","Microsteris gracilis","Microsteris gracilis","Annual"
"2037","MIBO2","MIBO2","FQA_SciName","Fabaceae","Mimosa borealis A. Gray","Mimosa borealis","Mimosa","borealis",NA,"6",6,"Native","Ackerfield 2015","Mimosa borealis","Mimosa borealis","Perennial"
"2038","MINU6","MINU6","FQA_SciName","Fabaceae","Mimosa nuttallii (DC. ex Britton & Rose) B.L. Turner","Mimosa nuttallii","Mimosa","nuttallii",NA,"6",6,"Native","Ackerfield 2015","Mimosa nuttallii","Mimosa nuttallii","Perennial"
"2039","MIRU5","MIRU5","FQA_SciName","Fabaceae","Mimosa rupertiana B.L. Turner","Mimosa rupertiana","Mimosa","rupertiana",NA,"7",7,"Native","Ackerfield 2015","Mimosa rupertiana","Mimosa rupertiana","Perennial"
"2040","MIEA","MIEA","FQA_SciName","Phrymaceae","Mimulus eastwoodiae Rydb.","Mimulus eastwoodiae","Mimulus","eastwoodiae",NA,"10",10,"Native","Ackerfield 2015","Mimulus eastwoodiae","Mimulus eastwoodiae","Perennial"
"2041","MIFL2","MIFL2","FQA_SciName","Phrymaceae","Mimulus floribundus Lindl.","Mimulus floribundus","Mimulus","floribundus",NA,"10",10,"Native","Ackerfield 2015","Mimulus floribundus","Mimulus floribundus","Annual"
"2042","MIGE","MIGE","FQA_SciName","Phrymaceae","Mimulus gemmiparus W.A. Weber","Mimulus gemmiparus","Mimulus","gemmiparus",NA,"9",9,"Native","Ackerfield 2015","Mimulus gemmiparus","Mimulus gemmiparus","Annual"
"2043","MIGL","MIGL","FQA_SciName","Phrymaceae","Mimulus glabratus Kunth","Mimulus glabratus","Mimulus","glabratus",NA,"5",5,"Native","Ackerfield 2015","Mimulus glabratus","Mimulus glabratus","Perennial"
"2044","MIGU","MIGU","FQA_SciName","Phrymaceae","Mimulus guttatus DC.","Mimulus guttatus","Mimulus","guttatus",NA,"8",8,"Native","Ackerfield 2015","Mimulus guttatus","Mimulus guttatus","Annual, Perennial"
