"","GNAME","SNAME","SCOMNAME","GRANK","SRANK","ENDEMIC","USESA","BLM_RANK","National_USDASymbol","FQA_SciName_noAuthority","National_SciName_noAuthority"
"428","Thamnosma texana","Thamnosma texana","Dutchman's Breeches","G5","SH","N",NA,FALSE,"THTE2","Thamnosma texana",NA
"429","Thelypodiopsis juniperorum","Thelypodiopsis juniperorum","Juniper Tumble Mustard","G2","S2","N",NA,FALSE,"THJU","Thelypodiopsis juniperorum",NA
"430","Thelypodium paniculatum","Thelypodium paniculatum","Northwestern Thelypody","G2","SH","N",NA,FALSE,"THPA6","Thelypodium paniculatum",NA
"431","Townsendia fendleri","Townsendia fendleri","Fendler's Townsend- daisy","G3","S2","N",NA,FALSE,"TOFE","Townsendia fendleri",NA
"432","Townsendia glabella","Townsendia glabella","Smooth Easter Daisy","G2","S2","Y",NA,FALSE,"TOGL4","Townsendia glabella",NA
"433","Townsendia rothrockii","Townsendia rothrockii","Rothrock Townsend- daisy","G3","S3","Y",NA,FALSE,"TORO","Townsendia rothrockii",NA
"434","Townsendia strigosa","Townsendia strigosa","Strigose Easter- daisy","G4","S1S2","N",NA,TRUE,"TOST","Townsendia strigosa",NA
"435","Trautvetteria caroliniensis","Trautvetteria caroliniensis","Tasslerue","G5","S2","N",NA,FALSE,"TRCA","Trautvetteria caroliniensis",NA
"436","Trichophorum pumilum","Trichophorum pumilum","Little Bulrush","G5","S2","N",NA,TRUE,"TRPU18","Trichophorum pumilum",NA
"437","Trifolium dasyphyllum ssp. anemophilum","Trifolium dasyphyllum ssp. anemophilum","Laramie Hills Clover","G5T2?","S1","N",NA,FALSE,"TRDAA","Trifolium anemophilum",NA
"438","Triodanis holzingeri","Triodanis holzingeri","Holzinger's Venus' Looking- glass","G4","S1?","N",NA,FALSE,"TRHO2","Triodanis holzingeri",NA
"439","Triodanis leptocarpa","Triodanis leptocarpa","Slim- pod Venus' Looking- glass","G5?","S1","N",NA,FALSE,"TRLE3","Triodanis leptocarpa",NA
"440","Utricularia intermedia","Utricularia intermedia","Flatleaf Bladderwort","G5","S1","N",NA,FALSE,"UTIN2","Utricularia intermedia",NA
"441","Utricularia minor","Utricularia minor","Lesser Bladderwort","G5","S3","N",NA,FALSE,"UTMI","Utricularia minor",NA
"442","Utricularia ochroleuca","Utricularia ochroleuca","Northern Bladderwort","G4G5","S1","N",NA,FALSE,"UTOC","Utricularia ochroleuca",NA
"443","Verbena plicata","Verbena plicata","Fanleaf Vervain","G5","S1","N",NA,FALSE,"VEPL","Verbena plicata",NA
"444","Vernonia baldwinii","Vernonia baldwinii","Baldwin's Ironweed","G5","S2","N",NA,FALSE,"VEBA","Vernonia baldwinii",NA
"445","Vernonia fasciculata","Vernonia fasciculata","Fascicled Ironweed","G5","SH","N",NA,FALSE,"VEFA2","Vernonia fasciculata",NA
"446","Vernonia marginata","Vernonia marginata","Plains Ironweed","G5?","S1","N",NA,FALSE,"VEMA2","Vernonia marginata",NA
"447","Viola pedatifida","Viola pedatifida","Prairie Violet","G5","S2","N",NA,FALSE,"VIPE2","Viola pedatifida",NA
"448","Viola selkirkii","Viola selkirkii","Selkirk Violet","G5","S2","N",NA,FALSE,"VISE2","Viola selkirkii",NA
"449","Wolffia borealis","Wolffia borealis","Dotted Watermeal","G5","S1","N",NA,FALSE,"WOBO","Wolffia borealis",NA
"450","Wolffia columbiana","Wolffia columbiana","Columbia Watermeal","G5","S1","N",NA,FALSE,"WOCO","Wolffia columbiana",NA
"451","Woodsia neomexicana","Woodsia neomexicana","New Mexico Cliff Fern","G4?","S2","N",NA,FALSE,"WONE","Woodsia neomexicana",NA
"452","Woodsia plummerae","Woodsia plummerae","Plummer's Cliff Fern","G5","S1","N",NA,FALSE,"WOPL","Woodsia plummerae",NA
"453","Zeltnera exaltata","Centaurium exaltatum","Great Basin Centaury","G5","S1","N",NA,FALSE,"CEEX","Centaurium exaltatum",NA
"454","Potentilla effusa var. rupincola","Potentilla rupincola","Rocky Mountain Cinquefoil","G5?T2","S2","Y",NA,FALSE,"PORU4","Potentilla rupincola",NA
"455","Schoenoplectiella saximontana","Schoenoplectus saximontanus","Rocky Mountain Bulrush","G5","S1","N",NA,FALSE,"SCSA8","Schoenoplectus saximontanus",NA
"456","Arabidopsis salsuginea","Thellungiella salsuginea","Salt- lick Mustard","G5?","S1","N",NA,FALSE,"THSA","Eutrema salsugineum",NA
"457","Adiantum capillus-veneris","Adiantum capillus - veneris","Southern Maiden- hair","G5","S2","N",NA,FALSE,"ADCA","Adiantum capillus-veneris",NA
"458","Lomatium latilobum","Aletes latilobus","Canyonlands Aletes","G1G2","S1","N",NA,TRUE,"LOLA4","Lomatium latilobum",NA
"459","Neoparrya lithophila","Aletes lithophilus","Rock- loving Neoparrya","G3","S3","N",NA,TRUE,"NELI2","Neoparrya lithophila",NA
"460","Lomatium nuttallii","Aletes nuttallii","Dog Parsley","G3","S1","N",NA,FALSE,"LONU3","Lomatium nuttallii",NA
"461","Musineon tenuifolium","Aletes tenuifolius","Slender Parsley","G4","S2","N",NA,FALSE,"MUTE3","Musineon tenuifolium",NA
"462","Minuartia macrantha","Alsinanthe macrantha","House's Sandwort","G3","S3","N",NA,FALSE,"MIMA3","Minuartia macrantha",NA
"463","Minuartia stricta","Alsinanthe stricta","Rock Sandwort","G5","S2","N",NA,FALSE,"MIST5","Minuartia stricta",NA
"464","Zigadenus vaginatus","Anticlea vaginatus","Alcove Death Camas","G2","S2","N",NA,FALSE,"ZIVA","Zigadenus vaginatus",NA
"465","Festuca dasyclada","Argillochloa dasyclada","False Ricegrass","G3","S3","N",NA,FALSE,"FEDA","Festuca dasyclada",NA
"466","Armeria maritima ssp. sibirica","Armeria scabra ssp. sibirica","Sea Pink","G5T5","S1","N",NA,FALSE,"ARMAS","Armeria maritima ssp. sibirica",NA
"467","Arnica angustifolia ssp. tomentosa","Arnica alpina var. tomentosa","Alpine Arnica","G5T5","S1","N",NA,FALSE,"ARANT","Arnica angustifolia ssp. tomentosa",NA
"468","Asplenium adiantum-nigrum","Asplenium adiantum - nigrum","Black Spleenwort","G5","S1","N",NA,FALSE,"ASAD","Asplenium adiantum-nigrum",NA
"469","Symphyotrichum oblongifolium","Aster oblongifolius","Aromatic Aster","G5","S1","N",NA,FALSE,"SYOB","Symphyotrichum oblongifolium",NA
"470","Astragalus allochrous var. playanus","Astragalus wootonii var. wootonii","Wooton Milkvetch","G4T4","S1","N",NA,FALSE,"ASALP","Astragalus allochrous var. playanus",NA
"471","Arabis oxylobula","Boechera oxylobula","Glenwood Springs Rockcress","G3","S3","Y",NA,FALSE,"AROX","Boechera oxylobula",NA
"472","Parthenium alpinum","Bolophyta alpina","Wyoming Feverfew","G3","S2","N",NA,FALSE,"PAAL6","Parthenium alpinum",NA
"473","Parthenium alpinum","Bolophyta alpina","Wyoming Feverfew","G3","S2","N",NA,FALSE,"PAAL6","Parthenium alpinum var. alpinum",NA
"474","Parthenium ligulatum","Bolophyta ligulata","Ligulate Feverfew","G3","S1","N",NA,TRUE,"PALI6","Parthenium ligulatum",NA
"475","Parthenium tetraneuris","Bolophyta tetraneuris","Barneby's Feverfew","G3","S3","Y",NA,FALSE,"PATE12","Parthenium alpinum var. tetraneuris",NA
"476","Botrychium virginianum","Botrypus virginianus","Rattlesnake Fern","G5","S1","N",NA,FALSE,"BOVI","Botrypus virginianus",NA
