"","GNAME","SNAME","SCOMNAME","GRANK","SRANK","ENDEMIC","USESA","BLM_RANK","National_USDASymbol","FQA_SciName_noAuthority","National_SciName_noAuthority"
"25","Argyrochosma fendleri","Argyrochosma fendleri","Fendler Cloak- fern","G3","S3","N",NA,FALSE,"ARFE5","Argyrochosma fendleri",NA
"26","Argythamnia humilis","Argythamnia humilis","Low Silverbush","G5","S2","N",NA,FALSE,"ARHU5","Argythamnia humilis",NA
"27","Aristida basiramea","Aristida basiramea","Forktip Threeawn","G5","S2","N",NA,FALSE,"ARBA2","Aristida basiramea",NA
"28","Aristida havardii","Aristida havardii","Havard's Threeawn","G5","S1","N",NA,FALSE,"ARHA3","Aristida havardii",NA
"29","Aristida purpurea var. wrightii","Aristida purpurea var. wrightii","Wright's Threeawn","G5TNR","S1","N",NA,FALSE,"ARPUW","Aristida purpurea var. wrightii",NA
"30","Artemisia parryi","Artemisia parryi","Parry's Wormwood","G3","S3","N",NA,FALSE,"ARPA17","Artemisia parryi",NA
"31","Artemisia pattersonii","Artemisia pattersonii","Patterson's Wormwood","G3G4","S2S3","N",NA,FALSE,"ARPA18","Artemisia pattersonii",NA
"32","Asclepias hallii","Asclepias hallii","Hall's Milkweed","G3","S3","N",NA,FALSE,"ASHA6","Asclepias hallii",NA
"33","Asclepias involucrata","Asclepias involucrata","Dwarf Milkweed","G5","S1","N",NA,FALSE,"ASIN14","Asclepias involucrata",NA
"34","Asclepias involucrata","Asclepias involucrata","Dwarf Milkweed","G5","S1","N",NA,FALSE,"ASIN14","Asclepias macrosperma",NA
"35","Asclepias macrotis","Asclepias macrotis","Long- hood Milkweed","G4","S2","N",NA,FALSE,"ASMA","Asclepias macrotis",NA
"36","Asclepias oenotheroides","Asclepias oenotheroides","Zizotes Milkweed","G4G5","S1","N",NA,FALSE,"ASOE","Asclepias oenotheroides",NA
"37","Asclepias stenophylla","Asclepias stenophylla","Narrow- leaved Milkweed","G4G5","S2","N",NA,FALSE,"ASST","Asclepias stenophylla",NA
"38","Asplenium platyneuron","Asplenium platyneuron","Ebony Spleenwort","G5","S1","N",NA,FALSE,"ASPL","Asplenium platyneuron",NA
"39","Asplenium resiliens","Asplenium resiliens","Black- stemmed Spleenwort","G5","S1","N",NA,FALSE,"ASRE","Asplenium resiliens",NA
"40","Asplenium septentrionale","Asplenium septentrionale","Grass- fern","G5","S3S4","N",NA,FALSE,"ASSE","Asplenium septentrionale",NA
"41","Aster alpinus var. vierhapperi","Aster alpinus var. vierhapperi","Alpine Aster","G5T5","S1","N",NA,FALSE,"ASALV","Aster alpinus var. vierhapperi",NA
"42","Astragalus albulus","Astragalus albulus","Cibola Milkvetch","G3G4","S1","N",NA,FALSE,"ASAL5","Astragalus albulus",NA
"43","Astragalus americanus","Astragalus americanus","American Milkvetch","G5","SH","N",NA,FALSE,"ASAM3","Astragalus americanus",NA
"44","Astragalus anisus","Astragalus anisus","Gunnison Milkvetch","G2G3","S3","Y",NA,TRUE,"ASAN4","Astragalus anisus",NA
"45","Astragalus argophyllus var. martinii","Astragalus argophyllus var. martinii","Meadow Milkvetch","G5T4","S2","N",NA,FALSE,"ASARM","Astragalus argophyllus var. martinii",NA
"46","Astragalus bodinii","Astragalus bodinii","Bodin Milkvetch","G4","S2","N",NA,FALSE,"ASBO","Astragalus bodinii",NA
"47","Astragalus brandegeei","Astragalus brandegeei","Brandegee Milkvetch","G3G4","S1S2","N",NA,FALSE,"ASBR5","Astragalus brandegeei",NA
"48","Astragalus calycosus var. scaposus","Astragalus calycosus var. scaposus","Torrey's Milkvetch","G5T3?","S2","N",NA,FALSE,"ASCAS","Astragalus calycosus var. scaposus",NA
"49","Astragalus cerussatus","Astragalus cerussatus","Powdery Milkvetch","G3G4","S3S4","Y",NA,FALSE,"ASCE2","Astragalus cerussatus",NA
"50","Astragalus cibarius","Astragalus cibarius","Browse Milkvetch","G4","S2","N",NA,FALSE,"ASCI2","Astragalus cibarius",NA
"51","Astragalus coltonii var. moabensis","Astragalus coltonii var. moabensis","Colton Milkvetch","G4T3?","S2S3","N",NA,FALSE,"ASCOM2","Astragalus coltonii var. moabensis",NA
"52","Astragalus cronquistii","Astragalus cronquistii","Cronquist's Milkvetch","G2","S2","N",NA,FALSE,"ASCR4","Astragalus cronquistii",NA
"53","Astragalus debequaeus","Astragalus debequaeus","DeBeque Milkvetch","G2","S2","Y",NA,TRUE,"ASDE11","Astragalus debequaeus",NA
"54","Astragalus desperatus var. neeseae","Astragalus desperatus var. neeseae","Horseshoe Milkvetch","G5T2","S1","N",NA,TRUE,"ASDEN","Astragalus desperatus var. neeseae",NA
"55","Astragalus deterior","Astragalus deterior","Cliff Palace Milkvetch","G1G2","S1S2","Y",NA,FALSE,"ASDE4","Astragalus deterior",NA
"56","Astragalus detritalis","Astragalus detritalis","Debris Milkvetch","G3","S2S3","N",NA,TRUE,"ASDE5","Astragalus detritalis",NA
"57","Astragalus duchesnensis","Astragalus duchesnensis","Duchesne Milkvetch","G3","S1S2","N",NA,TRUE,"ASDU2","Astragalus duchesnensis",NA
"58","Astragalus eastwoodiae","Astragalus eastwoodiae","Eastwood Milkvetch","G3","S2S3","N",NA,FALSE,"ASEA2","Astragalus eastwoodiae",NA
"59","Astragalus gilviflorus","Astragalus gilviflorus","Plains Milkvetch","G5","S2","N",NA,FALSE,"ASGI5","Astragalus gilviflorus",NA
"60","Astragalus humillimus","Astragalus humillimus","Mancos Milkvetch","G1","S1","N","LE",FALSE,"ASHU","Astragalus humillimus",NA
"61","Astragalus iodopetalus","Astragalus iodopetalus","Violet Milkvetch","G3","S2","N",NA,FALSE,"ASIO2","Astragalus iodopetalus",NA
"62","Astragalus jejunus","Astragalus jejunus","Starveling Milkvetch","G3","S1","N",NA,FALSE,"ASJE2","Astragalus jejunus",NA
"63","Astragalus leptaleus","Astragalus leptaleus","Park Milkvetch","G3G4","S2","N",NA,FALSE,"ASLE9","Astragalus leptaleus",NA
"64","Astragalus lutosus","Astragalus lutosus","Dragon Milkvetch","G4","S3S4","N",NA,FALSE,"ASLU2","Astragalus lutosus",NA
"65","Astragalus microcymbus","Astragalus microcymbus","Skiff Milkvetch","G1","S1","Y",NA,TRUE,"ASMI3","Astragalus microcymbus",NA
"66","Astragalus missouriensis var. humistratus","Astragalus missouriensis var. humistratus","Missouri Milkvetch","G5T1","S1","N",NA,FALSE,"ASMIH2","Astragalus missouriensis var. humistratus",NA
"67","Astragalus molybdenus","Astragalus molybdenus","Leadville Milkvetch","G3","S3","Y",NA,FALSE,"ASMO8","Astragalus molybdenus",NA
"68","Astragalus monumentalis var. cottamii","Astragalus monumentalis var. cottamii","Monument Valley Milkvetch","G4T4","S1S2","N",NA,FALSE,"ASMOC2","Astragalus monumentalis var. cottamii",NA
"69","Astragalus musiniensis","Astragalus musiniensis","Ferron's Milkvetch","G3","S1","N",NA,TRUE,"ASMU3","Astragalus musiniensis",NA
"70","Astragalus naturitensis","Astragalus naturitensis","Naturita Milkvetch","G3?","S3","N",NA,TRUE,"ASNA","Astragalus naturitensis",NA
"71","Astragalus nelsonianus","Astragalus nelsonianus","Nelson Milkvetch","G3","S1","N",NA,FALSE,"ASNE3","Astragalus pectinatus var. platyphyllus",NA
"72","Astragalus oocalycis","Astragalus oocalycis","Arboles Milkvetch","G4","S3","N",NA,FALSE,"ASOO","Astragalus oocalycis",NA
"73","Astragalus osterhoutii","Astragalus osterhoutii","Kremmling Osterhout Milkvetch","G1","S1","Y","LE",FALSE,"ASOS","Astragalus osterhoutii",NA
"74","Astragalus piscator","Astragalus piscator","Fisher Towers Milkvetch","G2G3","S1","N",NA,TRUE,"ASPI6","Astragalus piscator",NA
"75","Astragalus plattensis","Astragalus plattensis","Platte River Milkvetch","G5","S1","N",NA,FALSE,"ASPL2","Astragalus plattensis",NA
"76","Astragalus proximus","Astragalus proximus","Aztec Milkvetch","G4","S2","N",NA,FALSE,"ASPR8","Astragalus proximus",NA
"77","Astragalus rafaelensis","Astragalus rafaelensis","San Rafael Milkvetch","G3","S2S3","N",NA,TRUE,"ASRA3","Astragalus rafaelensis",NA
"78","Astragalus ripleyi","Astragalus ripleyi","Ripley Milkvetch","G3","S2","N",NA,TRUE,"ASRI2","Astragalus ripleyi",NA
"79","Astragalus schmolliae","Astragalus schmolliae","Chapin Mesa Milkvetch","G1","S1","Y","C",FALSE,"ASSC5","Astragalus schmolliae",NA
"80","Astragalus sesquiflorus","Astragalus sesquiflorus","Sandstone Milkvetch","G3G4","S1","N",NA,TRUE,"ASSE7","Astragalus sesquiflorus",NA
"81","Astragalus sparsiflorus","Astragalus sparsiflorus","Front Range Milkvetch","G2","S2","Y",NA,FALSE,"ASSP5","Astragalus sparsiflorus",NA
"82","Astragalus tortipes","Astragalus tortipes","Sleeping Ute Milkvetch","G1","S1","Y",NA,FALSE,"ASTO9","Astragalus tortipes",NA
"83","Astragalus wetherillii","Astragalus wetherillii","Wetherill's Milkvetch","G3","S3","N",NA,FALSE,"ASWE2","Astragalus wetherillii",NA
"84","Astrolepis integerrima","Astrolepis integerrima","Southwestern Cloak Fern","G5","S1","N",NA,FALSE,"ASIN19","Astrolepis integerrima",NA
"85","Bergia texana","Bergia texana","Texas Bergia","G5","S2","N",NA,FALSE,"BETE","Bergia texana",NA
"86","Besseya ritteriana","Besseya ritteriana","Ritter's Coral- drops","G3G4","S3S4","Y",NA,FALSE,"BERI","Besseya ritteriana",NA
"87","Besseya wyomingensis","Besseya wyomingensis","Kittentail","G5","S1","N",NA,FALSE,"BEWY","Besseya wyomingensis",NA
"88","Bothriochloa springfieldii","Bothriochloa springfieldii","Springfield Bluestem","G5","S1","N",NA,FALSE,"BOSP3","Bothriochloa springfieldii",NA
"89","Botrychium ascendens","Botrychium ascendens","Upward Lobed Moonwort","G3","S1","N",NA,FALSE,"BOAS2","Botrychium ascendens",NA
"90","Botrychium crenulatum","Botrychium crenulatum","Crenulate Moonwort","G4","S1","N",NA,FALSE,"BOCR","Botrychium lunaria var. crenulatum",NA
"91","Botrychium echo","Botrychium echo","Reflected Moonwort","G4","S3S4","N",NA,FALSE,"BOEC","Botrychium echo",NA
"92","Botrychium hesperium","Botrychium hesperium","Western Moonwort","G4","S3","N",NA,FALSE,"BOHE5","Botrychium hesperium",NA
"93","Botrychium lanceolatum var. lanceolatum","Botrychium lanceolatum var. lanceolatum","Lance- leaved Moonwort","G5T4T5","S3","N",NA,FALSE,"BOLAL","Botrychium lanceolatum ssp. lanceolatum",NA
"94","Botrychium minganense","Botrychium minganense","Mingan's moonwort","G5","S3","N",NA,FALSE,"BOMI","Botrychium minganense",NA
"95","Botrychium multifidum","Botrychium multifidum","Leathery Grape Fern","G5","S1S2","N",NA,FALSE,"BOMU","Sceptridium multifidum",NA
"96","Botrychium paradoxum","Botrychium paradoxum","Paradox Moonwort","G3G4","S1","N",NA,FALSE,"BOPA9","Botrychium paradoxum",NA
"97","Botrychium pinnatum","Botrychium pinnatum","Northern Moonwort","G5","S2","N",NA,FALSE,"BOPI","Botrychium pinnatum",NA
"98","Botrychium simplex","Botrychium simplex","Least Moonwort","G5","S2","N",NA,FALSE,"BOSI","Botrychium simplex",NA
"99","Botrychium simplex","Botrychium simplex","Least Moonwort","G5","S2","N",NA,FALSE,"BOSI","Botrychium simplex var. compositum",NA
"100","Botrychium simplex","Botrychium simplex","Least Moonwort","G5","S2","N",NA,FALSE,"BOSI","Botrychium simplex var. simplex",NA
"101","Botrychium spathulatum","Botrychium spathulatum","Spatulate Moonwort","G3","S1","N",NA,FALSE,"BOSP4","Botrychium spathulatum",NA
"102","Botrychium tunux","Botrychium tunux","Moosewort","G3G4","S2","N",NA,FALSE,"BOTU3","Botrychium tunux",NA
"103","Braya glabella ssp. glabella","Braya glabella ssp. glabella","Arctic Braya","G5T5?","S1S2","N",NA,FALSE,"BRGLG","Braya glabella ssp. glabella",NA
"104","Calochortus flexuosus","Calochortus flexuosus","Weak- stemmed Mariposa Lily","G4","S2","N",NA,FALSE,"CAFL","Calochortus flexuosus",NA
"105","Camissonia andina","Camissonia andina","Mountain Camissonia","G4","S1","N",NA,FALSE,"CAAN14","Holmgrenia andina",NA
"106","Camissonia eastwoodiae","Camissonia eastwoodiae","Eastwood Evening- primrose","G3","S2","N",NA,TRUE,"CAEA","Chylismia eastwoodiae",NA
"107","Campanula aparinoides","Campanula aparinoides","Marsh Bellflower","G5","S1","N",NA,FALSE,"CAAP2","Campanula aparinoides",NA
"108","Carex backii","Carex backii","Back's sedge","G5","S1","N",NA,FALSE,"CABA3","Carex backii",NA
"109","Carex capitata","Carex capitata","Capitate Sedge","G5","S2","N",NA,FALSE,"CACA13","Carex capitata",NA
"110","Carex concinna","Carex concinna","Low Northern Sedge","G5","S1","N",NA,FALSE,"CACO10","Carex concinna",NA
"111","Carex conoidea","Carex conoidea","Open Field Sedge","G5","S1","N",NA,FALSE,"CACO14","Carex conoidea",NA
"112","Carex crawei","Carex crawei","Crawe Sedge","G5","S1","N",NA,FALSE,"CACR3","Carex crawei",NA
"113","Carex crawfordii","Carex crawfordii","Crawford's Sedge","G5","S1","N",NA,FALSE,"CACR4","Carex crawfordii",NA
"114","Carex diandra","Carex diandra","Lesser Panicled Sedge","G5","S2","N",NA,FALSE,"CADI4","Carex diandra",NA
"115","Carex exsiccata","Carex exsiccata","Western inflated sedge","G5","S1","N",NA,FALSE,"CAEX5","Carex exsiccata",NA
"116","Carex gravida","Carex gravida","Heavy Sedge","G5","S3","N",NA,FALSE,"CAGR4","Carex gravida",NA
"117","Carex infirminervia","Carex infirminervia","Weak- nerved Sedge","G5","S1","N",NA,FALSE,"CAIN7","Carex infirminervia",NA
"118","Carex laeviculmis","Carex laeviculmis","Smoothstem sedge","G5","S1","N",NA,FALSE,"CALA13","Carex laeviculmis",NA
"119","Carex lasiocarpa","Carex lasiocarpa","Slender Sedge","G5","S2","N",NA,FALSE,"CALA11","Carex lasiocarpa",NA
"120","Carex leporinella","Carex leporinella","Sierra Hare Sedge","G5","S2","N",NA,FALSE,"CALE9","Carex leporinella",NA
"121","Carex leptalea","Carex leptalea","Bristle- stalk Sedge","G5","S1","N",NA,FALSE,"CALE10","Carex leptalea",NA
"122","Carex limosa","Carex limosa","Mud Sedge","G5","S2S3","N",NA,FALSE,"CALI7","Carex limosa",NA
"123","Carex livida","Carex livida","Livid Sedge","G5","S1","N",NA,FALSE,"CALI","Carex livida",NA
"124","Carex microglochin","Carex microglochin","Small- tipped sedge","G5","S2","N",NA,FALSE,"CAMI6","Carex microglochin",NA
"125","Carex norvegica","Carex norvegica","Norway Sedge","G5","S1","N",NA,FALSE,"CANO2","Carex norvegica",NA
"126","Carex oreocharis","Carex oreocharis","Grassy- slope Sedge","G3","S3","N",NA,FALSE,"CAOR","Carex oreocharis",NA
"127","Carex peckii","Carex peckii","Peck Sedge","G5","S1","N",NA,FALSE,"CAPE11","Carex peckii",NA
"128","Carex perglobosa","Carex perglobosa","Globe Sedge","G3G4","S3","N",NA,FALSE,"CAPE12","Carex perglobosa",NA
"129","Carex retrorsa","Carex retrorsa","Retrorse Sedge","G5","S1","N",NA,FALSE,"CARE4","Carex retrorsa",NA
"130","Carex sartwellii","Carex sartwellii","Sartwell's Sedge","G5","S2","N",NA,FALSE,"CASA8","Carex sartwellii",NA
"131","Carex saximontana","Carex saximontana","Rocky Mountain Sedge","G5","S1","N",NA,FALSE,"CASA9","Carex saximontana",NA
"132","Carex scirpoidea","Carex scirpoidea","Canadian Single- spike Sedge","G5","S2","N",NA,FALSE,"CASC10","Carex scirpoidea",NA
"133","Carex sprengelii","Carex sprengelii","Sprengel's Sedge","G5","S2","N",NA,FALSE,"CASP7","Carex sprengelii",NA
"134","Carex stenoptila","Carex stenoptila","Small- winged Sedge","G3","S3","N",NA,FALSE,"CAST4","Carex stenoptila",NA
"135","Carex sychnocephala","Carex sychnocephala","Many- headed Sedge","G5","SH","N",NA,FALSE,"CASY","Carex sychnocephala",NA
"136","Carex tenera","Carex tenera","Quill Sedge","G5","S1","N",NA,FALSE,"CATE3","Carex tenera var. tenera",NA
"137","Carex tenuiflora","Carex tenuiflora","Slender- flower Sedge","G5","S1","N",NA,FALSE,"CATE5","Carex tenuiflora",NA
"138","Carex torreyi","Carex torreyi","Torrey Sedge","G4G5","S1","N",NA,FALSE,"CATO3","Carex torreyi",NA
"139","Carex wootonii","Carex wootonii","Wooton's Sedge","G3G4","S1","N",NA,FALSE,"CAWO","Carex wootonii",NA
"140","Castilleja lineata","Castilleja lineata","Marsh- meadow Indian- paintbrush","G4?","S2S3","N",NA,FALSE,"CALI5","Castilleja lineata",NA
"141","Castilleja puberula","Castilleja puberula","Downy Indian- paintbrush","G3","S2S3","N",NA,FALSE,"CAPU19","Castilleja puberula",NA
"142","Ceanothus martinii","Ceanothus martinii","Utah Mountain Lilac","G4","S1","N",NA,FALSE,"CEMA2","Ceanothus martinii",NA
"143","Centaurium arizonicum","Centaurium arizonicum","Arizona Centaury","G5?","S1","N",NA,FALSE,"CEAR12","Centaurium arizonicum",NA
"144","Chamaesyce parryi","Chamaesyce parryi","Dune Spurge","G5","S2","N",NA,FALSE,"CHPA28","Chamaesyce parryi",NA
"145","Cheilanthes eatonii","Cheilanthes eatonii","Eaton's Lip Fern","G5?","S3","N",NA,FALSE,"CHEA","Cheilanthes eatonii",NA
"146","Cheilanthes wootonii","Cheilanthes wootonii","Wooton's Lip Fern","G5","S1","N",NA,FALSE,"CHWO","Cheilanthes wootonii",NA
"147","Chenopodium cycloides","Chenopodium cycloides","Sandhill Goosefoot","G3G4","S2","N",NA,FALSE,"CHCY","Chenopodium cycloides",NA
"148","Chionophila jamesii","Chionophila jamesii","Rocky Mountain Snowlover","G4?","S3S4","N",NA,FALSE,"CHJA","Chionophila jamesii",NA
"149","Cirsium barnebyi","Cirsium barnebyi","Barneby's Thistle","G3G4","S3","N",NA,FALSE,"CIBA","Cirsium barnebyi",NA
"150","Cirsium ownbeyi","Cirsium ownbeyi","Ownbey's Thistle","G3","S2","N",NA,FALSE,"CIOW","Cirsium ownbeyi",NA
"151","Cirsium perplexans","Cirsium perplexans","Adobe Hills Thistle","G3","S3","Y",NA,FALSE,"CIPE5","Cirsium perplexans",NA
"152","Claytonia rubra","Claytonia rubra","Redstem Spring Beauty","G5","S1","N",NA,FALSE,"CLRU2","Claytonia rubra",NA
"153","Cleomella angustifolia","Cleomella angustifolia","Northern Rhombopod","G5","SH","N",NA,FALSE,"CLAN","Cleomella angustifolia",NA
"154","Cleomella palmeriana","Cleomella palmeriana","Rocky Mountain Rhombopod","G3G4","S3","N",NA,FALSE,"CLPA3","Cleomella palmeriana",NA
"155","Collomia grandiflora","Collomia grandiflora","Showy Collomia","G5","S1","N",NA,FALSE,"COGR4","Collomia grandiflora",NA
"156","Commelina dianthifolia","Commelina dianthifolia","Birdbill Day- flower","G5","S1","N",NA,FALSE,"CODI4","Commelina dianthifolia",NA
"157","Conimitella williamsii","Conimitella williamsii","Williams Bishop's Cap","G4","S1","N",NA,FALSE,"COWI","Conimitella williamsii",NA
"158","Conopholis alpina var. mexicana","Conopholis alpina var. mexicana","Squaw- root","G5T5","S1","N",NA,FALSE,"COALM","Conopholis alpina var. mexicana",NA
"159","Corispermum navicula","Corispermum navicula","North Park Bugseed","G1Q","S1","Y",NA,TRUE,"CONA4","Corispermum navicula",NA
"160","Corydalis caseana ssp. brandegeei","Corydalis caseana ssp. brandegeei","Sierra Corydalis","G5T3T4","S3S4","N",NA,FALSE,"COCAB2","Corydalis caseana ssp. brandegeei",NA
"161","Crassula aquatica","Crassula aquatica","Water Pygmyweed","G5","S1","N",NA,FALSE,"CRAQ","Crassula aquatica",NA
"162","Crataegus chrysocarpa","Crataegus chrysocarpa","Yellow Hawthorn","G5","S1","N",NA,FALSE,"CRCH","Crataegus chrysocarpa",NA
"163","Crataegus saligna","Crataegus saligna","Willow Hawthorn","G3G4","S3","Y",NA,FALSE,"CRSA2","Crataegus saligna",NA
"164","Cryptogramma stelleri","Cryptogramma stelleri","Slender Rock- brake","G5","S2","N",NA,TRUE,"CRST2","Cryptogramma stelleri",NA
"165","Cymopterus duchesnensis","Cymopterus duchesnensis","Uinta Basin Spring- parsley","G3","S2","N",NA,TRUE,"CYDU","Cymopterus duchesnensis",NA
"166","Cymopterus planosus","Cymopterus planosus","Rocky Mountain Wavewing","G3G4","S3S4","Y",NA,FALSE,"CYPL","Cymopterus planosus",NA
"167","Cypripedium fasciculatum","Cypripedium fasciculatum","Clustered Lady's- slipper","G4","S3S4","N",NA,FALSE,"CYFA","Cypripedium fasciculatum",NA
"168","Cystopteris montana","Cystopteris montana","Mountain Bladder Fern","G5","S1","N",NA,FALSE,"CYMO3","Cystopteris montana",NA
"169","Cystopteris utahensis","Cystopteris utahensis","Utah Bladderfern","G3?","S1","N",NA,FALSE,"CYUT2","Cystopteris utahensis",NA
"170","Dalea cylindriceps","Dalea cylindriceps","Andean Prairie- clover","G3","S2S3","N",NA,FALSE,"DACY","Dalea cylindriceps",NA
"171","Delphinium robustum","Delphinium robustum","Wahatoya Creek Larkspur","G2G3","S2?","N",NA,FALSE,"DERO","Delphinium robustum",NA
"172","Desmodium obtusum","Desmodium obtusum","Stiff Tick- trefoil","G4G5","SH","N",NA,FALSE,"DEOB5","Desmodium obtusum",NA
"173","Dimorphocarpa wislizeni","Dimorphocarpa wislizeni","Spectacle- pod","G4G5","S2","N",NA,FALSE,"DIWI2","Dimorphocarpa wislizeni",NA
"174","Draba borealis","Draba borealis","Northern Rockcress","G5?","S2","N",NA,FALSE,"DRBO","Draba borealis",NA
"175","Draba crassa","Draba crassa","Thick- leaf Whitlow- grass","G3G4","S3","N",NA,FALSE,"DRCR","Draba crassa",NA
"176","Draba exunguiculata","Draba exunguiculata","Clawless Draba","G2","S2","Y",NA,FALSE,"DREX3","Draba exunguiculata",NA
"177","Draba fladnizensis","Draba fladnizensis","Arctic Draba","G5","S3","N",NA,FALSE,"DRFL","Draba fladnizensis",NA
"178","Draba globosa","Draba globosa","Rockcress Draba","G3","S1","N",NA,FALSE,"DRGL6","Draba globosa",NA
"179","Draba graminea","Draba graminea","San Juan Draba","G3","S3","Y",NA,FALSE,"DRGR2","Draba graminea",NA
"180","Draba grayana","Draba grayana","Gray's Peak Whitlow- grass","G3","S3","N",NA,FALSE,"DRGR3","Draba grayana",NA
"181","Draba incerta","Draba incerta","Yellowstone Whitlow- grass","G5","S1","N",NA,FALSE,"DRIN2","Draba incerta",NA
"182","Draba oligosperma","Draba oligosperma","Woods Draba","G5","S3","N",NA,FALSE,"DROL","Draba oligosperma",NA
"183","Draba rectifructa","Draba rectifructa","Mountain Draba","G3G4","S3","N",NA,FALSE,"DRRE","Draba rectifructa",NA
"184","Draba smithii","Draba smithii","Smith Whitlow- grass","G2","S2","N",NA,FALSE,"DRSM","Draba smithii",NA
"185","Draba streptobrachia","Draba streptobrachia","Colorado Divide Draba","G3","S3","N",NA,FALSE,"DRST5","Draba streptobrachia",NA
"186","Draba ventosa","Draba ventosa","Wind River Draba","G3","S1","N",NA,FALSE,"DRVE","Draba ventosa",NA
"187","Draba weberi","Draba weberi","Weber's Draba","G1","S1","Y",NA,FALSE,"DRWE","Draba weberi",NA
"188","Drosera anglica","Drosera anglica","English Sundew","G5","S1","N",NA,FALSE,"DRAN","Drosera anglica",NA
"189","Drosera rotundifolia","Drosera rotundifolia","Roundleaf Sundew","G5","S2","N",NA,FALSE,"DRRO","Drosera rotundifolia",NA
"190","Drymaria effusa var. depressa","Drymaria effusa var. depressa","Spreading Drymaria","G4T4","S1","N",NA,FALSE,"DREFD","Drymaria depressa",NA
"191","Dryopteris expansa","Dryopteris expansa","Spreading Wood Fern","G5","S1","N",NA,FALSE,"DREX2","Dryopteris expansa",NA
"192","Elatine rubella","Elatine rubella","Southwestern Waterwort","G5","S2","N",NA,FALSE,"ELRU","Elatine rubella",NA
"193","Eleocharis wolfii","Eleocharis wolfii","Wolf's Spikerush","G3G5","S1","N",NA,FALSE,"ELWO","Eleocharis wolfii",NA
"194","Enceliopsis nudicaulis","Enceliopsis nudicaulis","Nakedstem","G5","S1","N",NA,FALSE,"ENNU","Enceliopsis nudicaulis",NA
"195","Enneapogon desvauxii","Enneapogon desvauxii","Spike Pappusgrass","G5","S2","N",NA,FALSE,"ENDE","Enneapogon desvauxii",NA
"196","Epipactis gigantea","Epipactis gigantea","Giant Helleborine","G4","S1S2","N",NA,FALSE,"EPGI","Epipactis gigantea",NA
"197","Eragrostis curtipedicellata","Eragrostis curtipedicellata","Gummy Lovegrass","G5","S1","N",NA,FALSE,"ERCU","Eragrostis curtipedicellata",NA
"198","Erigeron abajoensis","Erigeron abajoensis","Abajo Daisy","G1G2","S1","N",NA,FALSE,"ERAB3","Erigeron abajoensis",NA
"199","Erigeron humilis","Erigeron humilis","Low Fleabane","G5","S1","N",NA,FALSE,"ERHU","Erigeron humilis",NA
"200","Erigeron kachinensis","Erigeron kachinensis","Kachina Daisy","G3","S1","N",NA,TRUE,"ERKA","Erigeron kachinensis",NA
"201","Erigeron lanatus","Erigeron lanatus","Woolly Fleabane","G4","S2","N",NA,FALSE,"ERLA","Erigeron lanatus",NA
"202","Erigeron nematophyllus","Erigeron nematophyllus","Needleleaf Daisy","G3","S3","N",NA,FALSE,"ERNE2","Erigeron nematophyllus",NA
"203","Erigeron radicatus","Erigeron radicatus","Taproot Daisy","G3G4","S1","N",NA,FALSE,"ERRA2","Erigeron radicatus",NA
"204","Erigeron scopulinus","Erigeron scopulinus","Winn Falls Fleabane","G3?","S1","N",NA,FALSE,"ERSC7","Erigeron scopulinus",NA
"205","Erigeron wilkenii","Erigeron wilkenii","Wilken Fleabane","G1","S1","Y",NA,FALSE,"ERWI2","Erigeron wilkenii",NA
"206","Eriogonum acaule","Eriogonum acaule","Single- stemmed Wild Buckwheat","G3","S1","N",NA,TRUE,"ERAC3","Eriogonum acaule",NA
"207","Eriogonum bicolor","Eriogonum bicolor","Pretty Buckwheat","G3G4","S2","N",NA,FALSE,"ERBI","Eriogonum bicolor",NA
"208","Eriogonum brandegeei","Eriogonum brandegeei","Brandegee Wild Buckwheat","G1G2","S1S2","Y",NA,TRUE,"ERBR9","Eriogonum brandegeei",NA
"209","Eriogonum clavellatum","Eriogonum clavellatum","Comb Wash Buckwheat","G2","S1","N",NA,TRUE,"ERCL2","Eriogonum clavellatum",NA
"210","Eriogonum coloradense","Eriogonum coloradense","Colorado Wild Buckwheat","G2","S2","Y",NA,TRUE,"ERCO11","Eriogonum coloradense",NA
"211","Eriogonum contortum","Eriogonum contortum","Grand Buckwheat","G3","S2","N",NA,TRUE,"ERCO13","Eriogonum contortum",NA
"212","Eriogonum ephedroides","Eriogonum ephedroides","Ephedra Buckwheat","G3","S1","N",NA,TRUE,"EREP","Eriogonum ephedroides",NA
"213","Eriogonum exilifolium","Eriogonum exilifolium","Dropleaf Buckwheat","G3","S3","N",NA,FALSE,"EREX2","Eriogonum exilifolium",NA
"214","Eriogonum leptocladon var. leptocladon","Eriogonum leptocladon var. leptocladon","Sand Buckwheat","G5T3T4","S1","N",NA,FALSE,"ERLEL","Eriogonum leptocladon var. leptocladon",NA
"215","Eriogonum leptocladon var. ramosissimum","Eriogonum leptocladon var. ramosissimum","Eastwood Sand Buckwheat","G5T5","S1","N",NA,FALSE,"ERLER","Eriogonum leptocladon var. ramosissimum",NA
"216","Eriogonum leptophyllum","Eriogonum leptophyllum","Slenderleaf Buckwheat","G3G4","S2","N",NA,FALSE,"ERLE10","Eriogonum leptophyllum",NA
"217","Eriogonum palmerianum","Eriogonum palmerianum","Palmer Buckwheat","G4","S1","N",NA,FALSE,"ERPA11","Eriogonum palmerianum",NA
